mpid,firstname,surname,party
687,Diane,Abbott,Lab
689,Irene,Adams,Lab
690,Nick,Ainger,Lab
691,Bob,Ainsworth,Lab
692,Peter,Ainsworth,Con
693,Douglas,Alexander,Lab
694,Richard,Allan,LDem
695,Graham,Allen,Lab
696,David,Amess,Con
697,Michael,Ancram,Con
698,Donald,Anderson,Lab
699,Janet,Anderson,Lab
700,James,Arbuthnot,Con
701,Hilary,Armstrong,Lab
702,Candy,Atherton,Lab
703,Charlotte,Atkins,Lab
704,David,Atkinson,Con
705,Peter,Atkinson,Con
706,John,Austin,Lab
707,Richard,Bacon,Con
708,Adrian,Bailey,Lab
709,Vera,Baird,Lab
710,Norman,Baker,LDem
711,Tony,Baldry,Con
712,Tony,Banks,Lab
713,Gregory,Barker,Con
714,Harry,Barnes,Lab
715,John,Baron,Con
716,John,Barrett,LDem
717,Kevin,Barron,Lab
718,John,Battle,Lab
719,Hugh,Bayley,Lab
720,Nigel,Beard,Lab
721,Margaret,Beckett,Lab
722,Anne,Begg,Lab
723,Roy,Beggs,UUP
724,Alan,Beith,LDem
725,Stuart,Bell,Lab
726,Henry,Bellingham,Con
727,Hilary,Benn,Lab
728,Andrew,Bennett,Lab
729,Joe,Benton,Lab
730,John,Bercow,Con
731,Paul,Beresford,Con
732,Roger,Berry,Lab
733,Harold,Best,Lab
734,Clive,Betts,Lab
735,Liz,Blackman,Lab
736,Tony,Blair,Lab
737,Hazel,Blears,Lab
738,Bob,Blizzard,Lab
739,David,Blunkett,Lab
740,Crispin,Blunt,Con
741,Paul,Boateng,Lab
742,David,Borrow,Lab
743,Tim,Boswell,Con
744,Peter,Bottomley,Con
745,Virginia,Bottomley,Con
746,Keith,Bradley,Lab
747,Peter,Bradley,Lab
748,Ben,Bradshaw,Lab
749,Graham,Brady,Con
750,Tom,Brake,LDem
751,Julian,Brazier,Con
752,Colin,Breed,LDem
753,Kevin,Brennan,Lab
754,Annette,Brooke,LDem
755,Gordon,Brown,Lab
756,Nick,Brown,Lab
757,Russell,Brown,Lab
758,Des,Browne,Lab
759,Angela,Browning,Con
760,Malcolm,Bruce,LDem
761,Chris,Bryant,Lab
762,Karen,Buck,Lab
763,Richard,Burden,Lab
764,Colin,Burgon,Lab
765,John,Burnett,LDem
766,Andy,Burnham,Lab
767,Simon,Burns,Con
768,David,Burnside,UUP
769,Paul,Burstow,LDem
770,Alistair,Burt,Con
771,John,Butterfill,Con
772,Stephen,Byers,Lab
773,Vincent,Cable,LDem
774,Richard,Caborn,Lab
775,David,Cairns,Lab
