ID,Date,Newspaper,Page,First Head?,Head Size,Text Size,Continuation Size,Number of Columns,Top Half?,External source credited?,Gender: reporter1,Gender: reporter2,Reporter location,Embedded reporter used?,Story Type,Story setting/ occasion,Overall tone of story,Reporter Disdain?,Reporter Correction?,Prognosis1,Prognosis2,Prognosis3,Prognosis4,Prognosis5,Prognosis6,Prognosis7,Prognosis8,Prognosis9,Prognosis10,Prognosis11,Prognosis12,Prognosis13,Prognosis14,Prognosis15,Prognosis16
1,17/03/2003,The Sun,1,Game Over,57.23,37.2,,1,TRUE,None,1,9,Other: No location,9,Straight: events over last 24 hours,Political: International Event/ Summit,40,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2,17/03/2003,The Sun,4,Moment of Truth,294.15,187.22,,4,TRUE,None,1,9,Summit of International leaders,9,Straight: events over last 24 hours,Political: International Event/ Summit,40,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
3,17/03/2003,The Sun,4,MP wobblers back off,32.3,105.45,,5,FALSE,None,1,9,Other: No location,9,Comment: Reporter evaluation,Political: Legislative,25,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
4,17/03/2003,The Sun,5,"I'm really proud, says youngest squaddie",26,78,,1,TRUE,None,1,9,Other: No location,9,Straight: events over last 24 hours,Other causes or occasions,33,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
5,17/03/2003,The Sun,6,"30,000 Saddam troops go AWOL",278.46,165.5,,3,TRUE,None,1,1,CentCom/Qatar/ Kuwait,9,Straight: events over last 24 hours,Conflict zone: Mil briefing/ rpt. from Centcom,11,No/ N/A,No/ N/A,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
6,17/03/2003,The Sun,8,Time's Up,4.5,95.14,,1,TRUE,None,9,9,Other: No location,9,Editorial,Media: Journalist rpt./ News analysis,48,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
7,17/03/2003,The Sun,8,Loose Talk,4.8,56.1,,1,FALSE,None,9,9,Other: No location,9,Editorial,Media: Journalist rpt./ News analysis,15,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
8,17/03/2003,The Sun,8,"In time it takes to read this headline, our new Minimi gun can fire 75 rounds",270.83,209.76,,4,TRUE,None,1,9,Kuwaiti desert,8,Straight: events over last 24 hours,Conflict zone: Report from battle/action,33,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
9,17/03/2003,The Sun,8,Divers dice with death,27.3,55.2,,3,FALSE,None,1,9,Aircraft carrier/ Military ship,1,Straight: events over last 24 hours,Conflict zone: Report from battle/action,33,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
10,17/03/2003,Daily Mirror,1,Moment of madness,365.76,0,,0,TRUE,None,9,9,Cartoon/photo/graphic,9,Photo (+ headline) only,Political: International Event/ Summit,16,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
11,17/03/2003,Daily Mirror,2,'160 MPs' will join rebellion,12,70.95,,1,TRUE,None,2,9,Other: No location,9,Straight: events over last 24 hours,Political: Legislative,17,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
12,17/03/2003,Daily Mirror,2,One day left,261.36,216.4,,2,TRUE,None,1,9,Summit of International leaders,9,Straight: events over last 24 hours,Political: International Event/ Summit,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
13,17/03/2003,Daily Mirror,3,"Get the message, Dubya?",36,39.44,,3,TRUE,None,1,9,Summit of International leaders,9,Straight: events over last 24 hours,Media: other media actions,16,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
14,17/03/2003,Daily Mirror,4,"30,000 desert: scared Iraqi conscripts return home",344,188.94,,8,TRUE,None,1,9,CentCom/Qatar/ Kuwait,2,Straight: events over last 24 hours,Conflict zone: Mil briefing/ rpt. from Centcom,19,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
15,17/03/2003,Daily Mirror,4,Hi-tech heart of the campaign,9.38,16.4,,2,FALSE,None,1,9,CentCom/Qatar/ Kuwait,2,Straight: events over last 24 hours,Conflict zone: Mil briefing/ rpt. from Centcom,08,No/ N/A,No/ N/A,9,9,9,9,4,9,9,9,9,9,9,9,9,9,9,9
16,17/03/2003,Daily Mirror,5,Troops get new beast of a gun,5.5,55,,1,TRUE,None,1,9,Kuwaiti desert,8,Straight: events over last 24 hours,Conflict zone: Report from battle/action,25,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
17,17/03/2003,Daily Mirror,6,Pushed into war by liars and cheats,27.95,174.08,,1,TRUE,None,9,9,Analysis: not applicable,9,Editorial,Media: Journalist rpt./ News analysis,16,US administration,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
18,17/03/2003,Daily Mirror,7,Robbie's scared for future,9.45,29.16,,1,TRUE,None,2,9,Other: No location,9,Straight: events over last 24 hours,Other causes or occasions,24,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
19,17/03/2003,Daily Mirror,7,Rock gig blast at 'idiot' PM,9.45,30.71,,1,FALSE,None,2,9,Other: No location,9,Straight: events over last 24 hours,Political: Interest Group/ Anti-war protest,24,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
20,17/03/2003,Daily Mirror,7,Hope: peace album is to raise money for Iraqi children,213.9,118.8,,3,TRUE,None,2,9,Other: No location,9,Straight: events over last 24 hours,Other causes or occasions,24,No/ N/A,No/ N/A,9,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9
21,17/03/2003,Daily Mirror,8,Why Iraq is doling out the guns like biscuits,230.28,371,,4,TRUE,None,1,1,Baghdad,2,Postcard/ Experience/ 'Novelistic' description,Political: Other political actions,27,Iraq administration,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
22,17/03/2003,Daily Mail,1,Saddam's last day,325.24,64.05,161.13,1,TRUE,None,1,9,Summit of International leaders,9,Straight: events over last 24 hours,Political: International Event/ Summit,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
23,17/03/2003,Daily Mail,2,A clunky diplomatic failure,30.26,134.4,,4,FALSE,None,1,9,White House,9,Comment: Reporter evaluation,Political: International Event/ Summit,10,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
24,17/03/2003,Daily Mail,4,The Labour rebellion grows,241.71,221.4,,4,TRUE,None,1,9,Other: No location,9,Straight: events over last 24 hours,Political: Legislative,17,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
25,17/03/2003,Daily Mail,5,We will stop the country,7.2,29.14,,1,FALSE,None,9,9,Other: No location,9,Straight: events over last 24 hours,Political: Interest Group/ Anti-war protest,05,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
26,17/03/2003,Daily Mail,5,A commanding role for the brute they call Chemical Ali,20.4,73.5,,2,TRUE,None,9,9,Other: No location,9,Straight: events over last 24 hours,Political: Other political actions,19,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
27,17/03/2003,Daily Mail,6,Iraq will face 48 hours from hell,214,198,,5,TRUE,None,1,9,Other: No location,9,Analysis: info from different points in time,Media: Journalist rpt./ News analysis,40,No/ N/A,No/ N/A,9,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9
28,17/03/2003,Daily Mail,6,"Here just in time, the Army's new supergun",27.75,98.8,,4,TRUE,None,2,9,Other: No location,8,Straight: events over last 24 hours,Conflict zone: Report from battle/action,33,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
29,17/03/2003,Daily Mail,6,The new Stalingrad with 5m sitting ducks,38.25,169.98,,5,FALSE,None,1,9,Baghdad,2,Comment: Reporter evaluation,Conflict zone: Report from battle/action,19,No/ N/A,No/ N/A,5,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9
30,17/03/2003,Daily Mail,8,"As we stand on the brink of war, a Mail writer sends a powerful dispatch…",267.75,561.15,,7,TRUE,None,1,9,Northern Iraq,8,Postcard/ Experience/ 'Novelistic' description,Conflict zone: Report from battle/action,11,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
31,17/03/2003,Daily Mail,10,Diplomacy given its last chance,8.58,217,,1,TRUE,None,9,9,Other: No location,9,Editorial,Political: International Event/ Summit,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
32,17/03/2003,The Independent,1,A watershed for the world,108.5,210.33,,6,TRUE,None,1,1,Summit of International leaders,9,Straight: events over last 24 hours,Political: International Event/ Summit,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
33,17/03/2003,The Independent,1,Troops admit lack of public support 'nags' at them,28.56,114.24,,2,TRUE,None,2,1,Kuwaiti desert,8,Straight: events over last 24 hours,Conflict zone: Report from battle/action,25,No/ N/A,No/ N/A,5,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
34,17/03/2003,The Independent,2,US troops would face elite Iraqi soldiers defending Baghdad 'street by street',78.4,187.15,,6,TRUE,None,2,1,Baghdad,8,Straight: events over last 24 hours,Conflict zone: Report from battle/action,27,No/ N/A,No/ N/A,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9
35,17/03/2003,The Independent,2,Israel warns it may fight back if Iraq attacks,25.84,118.49,,2,TRUE,None,1,9,Israel,9,Straight: events over last 24 hours,Political: Other political actions,31,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
36,17/03/2003,The Independent,2,Washington dismisses Chirac proposal of 30-day deadline for Saddam to disarm,31,148.83,,4,FALSE,Wire service,2,9,Other European location,9,Straight: events over last 24 hours,Political: Other political actions,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
37,17/03/2003,The Independent,2,Pentagon press centre gets Hollywood glitz,13.5,64.8,,2,FALSE,None,9,9,,9,Other: 'light' or jokey/ 4th+ story,Conflict zone: Other/ human interest,,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
38,17/03/2003,The Independent,3,British soldiers will deal with civilians caught in 'catastrophe',93.98,233.7,,7,TRUE,None,1,9,CentCom/Qatar/ Kuwait,9,Straight: events over last 24 hours,Conflict zone: Aid delivery/ humanitarian,24,No/ N/A,No/ N/A,9,9,9,1,9,9,2,9,9,9,9,9,9,9,9,9
39,17/03/2003,The Independent,3,"Prepare for horror and be nice to prisoners, says colonel",16.8,81.18,,1,TRUE,None,2,9,Kuwaiti desert,8,Straight: events over last 24 hours,Conflict zone: Report from battle/action,25,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
40,17/03/2003,The Independent,3,US special forces join local troops in build-up on northern front,39.1,204.59,,4,FALSE,None,1,9,Northern Iraq,8,Straight: events over last 24 hours,Conflict zone: Report from battle/action,32,No/ N/A,No/ N/A,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9
41,17/03/2003,The Independent,4,Ministers go on charm offensive for Blair as rebel numbers grow,63,199.95,,5,TRUE,None,1,9,Other: No location,9,Straight: events over last 24 hours,Political: Government,17,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
42,17/03/2003,The Independent,4,Goldsmith will advise that war on Iraq is legal,25.9,136.94,,2,TRUE,None,2,9,Other: No location,9,Straight: events over last 24 hours,Political: Government,33,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
43,17/03/2003,The Independent,4,Kennedy promises to back British forces,11.52,88.15,,2,FALSE,None,2,9,Other: No location,9,Straight: events over last 24 hours,Political: Legislative,24,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
44,17/03/2003,The Independent,5,Peace activists plot campaign for the day war starts,48,326.87,,7,TRUE,None,1,9,Other: No location,9,Straight: events over last 24 hours,Political: Interest Group/ Anti-war protest,37,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
45,17/03/2003,The Independent,5,Not in our name! Protesters struggle to revive a forgotten art,25.85,139.47,,6,FALSE,None,1,9,London: other (not in the street),9,Straight: events over last 24 hours,Political: Interest Group/ Anti-war protest,29,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
46,17/03/2003,The Independent,14,Today is the day when everyone must show their cards at the UN,27.9,206.46,,2,TRUE,None,9,9,Other: No location,9,Editorial,Political: International Event/ Summit,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
47,17/03/2003,The Guardian,1,Iraq: the final 24 hours,143.31,216.72,,4,TRUE,None,1,1,Summit of International leaders,9,Straight: events over last 24 hours,Political: International Event/ Summit,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
48,17/03/2003,The Guardian,1,Hain spells out price for backing Blair,13.94,54.6,,2,FALSE,None,2,9,Other: No location,9,Straight: events over last 24 hours,Media: interviews,25,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
49,17/03/2003,The Guardian,3,"Preparing for battle: wisecracks, war films and thoughts of loved ones",128.06,394.24,,6,TRUE,None,2,9,Kuwaiti desert,1,Postcard/ Experience/ 'Novelistic' description,Conflict zone: Report from battle/action,25,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
50,17/03/2003,The Guardian,3,Saddam keeps defence in the family as country moves to war footing,33.6,170,,4,FALSE,None,1,9,Other: No location,9,Straight: events over last 24 hours,Political: Other political actions,27,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
51,17/03/2003,The Guardian,4,Wake-up call to UN as deadline approaches,88.9,457.68,,8,TRUE,None,1,9,Other: No location,9,Straight: events over last 24 hours,Political: International Event/ Summit,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9
52,17/03/2003,The Guardian,4,Powell will take the rap for failed diplomacy,10.4,65.6,,1,FALSE,None,1,9,White House,9,Straight: events over last 24 hours,Political: Other political actions,18,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2
53,17/03/2003,The Guardian,5,Threats fly after Ankara's flight ban,49.4,153.72,,2,TRUE,None,1,1,Northern Iraq,8,Straight: events over last 24 hours,Political: International Event/ Summit,26,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
54,17/03/2003,The Guardian,5,Kurds flee as secret police step up arrests,41.44,195.21,,6,TRUE,None,1,9,Northern Iraq,8,Straight: events over last 24 hours,Conflict zone: Other/ human interest,19,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
55,17/03/2003,The Guardian,5,Rebels claim 160 MPs will defy party,16.5,152.7,,4,FALSE,None,1,9,Other: No location,9,Straight: events over last 24 hours,Political: Legislative,17,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
56,17/03/2003,The Guardian,5,Attorney backs war,5.2,39.48,,2,FALSE,None,9,9,,9,Other: 'light' or jokey/ 4th+ story,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
57,17/03/2003,The Guardian,6,Mortal fear rules Saddam's inner circle,54.3,409.5,,4,TRUE,None,1,9,Other: No location,9,Analysis: info from different points in time,Media: Journalist rpt./ News analysis,19,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
58,17/03/2003,The Guardian,21,Blair's moment of truth,30,263.68,,2,TRUE,None,9,9,Other: No location,9,Editorial,Political: International Event/ Summit,24,No/ N/A,No/ N/A,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9
59,17/03/2003,The Times,1,World faces moment of truth today,86.4,222.6,,6,TRUE,None,1,9,Summit of International leaders,9,Straight: events over last 24 hours,Political: International Event/ Summit,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
60,17/03/2003,The Times,1,The talking is over - now is the time for decisions,30.6,182.5,,5,FALSE,None,9,9,,9,Political/ Commons sketch,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
61,17/03/2003,The Times,11,"Beware of 'suicide prisoners', troops told",50.4,188.58,,2,TRUE,None,1,9,Kuwaiti desert,1,Straight: events over last 24 hours,Conflict zone: Report from battle/action,26,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
62,17/03/2003,The Times,11,Bored troops just killing time,19.8,173.46,,4,TRUE,None,1,9,Other: No location,8,Straight: events over last 24 hours,Conflict zone: Other/ human interest,08,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
63,17/03/2003,The Times,11,Women take their place on the front line of war,33.6,162.54,,2,TRUE,None,1,9,Kuwaiti desert,1,Straight: events over last 24 hours,Conflict zone: Other/ human interest,01,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
64,17/03/2003,The Times,12,UN prepares to quit Baghdad as insurer bails out,54,199.92,,3,TRUE,None,1,9,New York,9,Straight: events over last 24 hours,Conflict zone: Other/ human interest,32,No/ N/A,No/ N/A,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
65,17/03/2003,The Times,12,"Saddam should run, says Cheney",18.72,76.44,,4,TRUE,None,2,9,White House,9,Straight: events over last 24 hours,Political: Planned Media opportunity,34,No/ N/A,No/ N/A,5,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9
66,17/03/2003,The Times,12,Another lesson in the danger of divided counsels,46.2,180.2,,2,TRUE,None,1,9,,9,Expert/politician,,,,,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
67,17/03/2003,The Times,13,Planners gamble on support from Iraqis,46.8,249.06,,8,TRUE,None,1,9,Other: No location,9,Analysis: info from different points in time,Media: Journalist rpt./ News analysis,32,No/ N/A,No/ N/A,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9
