ID	Source
371	805
371	803
371	791
372	999
373	906
373	773
373	847
373	998
377	792
378	518
378	612
378	764
379	693
379	677
379	600
379	814
379	999
383	550
383	543
385	832
386	608
386	656
388	525
388	500
391	527
391	509
391	543
391	555
392	500
393	526
393	573
395	677
397	670
397	621
397	665
400	640
402	842
406	850
408	600
408	832
409	540
409	525
409	600
409	500
411	623
411	649
412	818
294	999
425	500
425	514
425	800
426	721
431	999
432	889
437	818
437	702
437	680
437	677
437	803
437	802
437	801
437	783
438	526
438	999
440	677
440	522
442	500
442	503
446	842
448	540
449	866
449	887
449	656
450	721
451	782
451	781
451	872
451	998
454	813
454	774
454	818
457	693
458	697
459	998
459	792
459	774
459	805
459	620
459	600
460	534
463	720
464	656
465	620
465	608
469	534
470	677
471	731
473	667
476	
477	646
477	656
477	608
477	612
478	646
478	643
479	999
480	543
480	784
484	677
484	774
484	998
485	998
485	805
485	664
485	665
485	660
488	612
488	774
488	623
488	620
489	616
489	774
490	889
490	623
490	600
492	526
494	600
495	761
496	849
496	761
497	816
500	522
500	761
503	731
503	921
504	774
504	999
506	764
506	602
507	998
507	612
507	792
507	890
507	677
512	907
512	664
516	805
516	620
517	526
518	761
519	512
523	881
523	889
523	890
523	872
525	831
526	620
529	500
529	506
530	998
532	764
534	534
534	649
534	640
534	999
536	907
537	646
538	889
538	608
539	850
540	641
542	522
545	999
546	612
546	623
548	532
549	533
549	619
552	805
552	602
553	608
554	999
557	500
557	501
557	543
557	526
560	920
560	533
562	591
562	526
563	820
567	543
567	580
568	998
570	679
575	522
576	500
576	518
576	526
500	543
577	872
577	608
577	600
580	889
582	818
582	816
582	910
584	500
584	543
585	533
588	514
593	999
593	600
595	801
598	500
598	998
599	649
599	681
600	656
600	998
602	649
604	908
605	681
605	697
606	782
609	781
609	640
612	697
613	901
613	640
613	998
615	533
620	656
620	998
620	623
622	998
622	649
622	522
623	693
623	998
624	774
626	782
631	656
632	721
632	818
632	804
632	533
634	623
634	656
635	774
635	643
636	640
636	783
636	600
640	677
641	866
643	656
643	620
643	680
643	612
643	801
644	602
647	623
647	674
647	602
650	514
652	620
652	656
652	765
655	640
656	555
658	792
660	602
660	611
661	612
661	620
661	774
661	623
661	998
662	500
662	640
663	623
663	607
663	906
663	522
663	764
663	998
663	905
663	887
663	903
666	764
666	698
667	612
667	850
668	805
669	815
669	998
669	774
669	656
670	804
670	813
670	818
670	791
671	781
672	998
675	602
675	603
676	600
676	801
676	803
676	998
678	731
678	533
679	620
683	531
683	602
683	526
684	600
684	522
684	620
684	805
686	620
688	677
688	674
688	908
688	849
688	998
691	500
691	542
691	531
691	526
692	623
692	540
692	501
693	998
693	612
693	873
694	612
697	526
698	612
701	656
701	693
702	815
702	692
704	605
704	620
704	677
705	514
705	600
705	693
706	643
706	815
706	693
708	847
710	999
710	812
710	791
711	772
712	620
713	872
715	503
716	774
716	532
716	998
720	525
722	500
723	656
723	608
724	998
724	600
724	501
724	608
728	512
729	612
729	522
729	600
729	677
730	998
730	600
733	999
733	600
738	612
738	999
738	872
739	998
739	693
739	534
739	781
739	656
739	681
739	815
740	815
740	620
743	677
745	722
747	526
747	731
747	533
750	803
752	774
752	600
755	905
756	664
757	764
757	814
757	998
758	623
758	690
758	600
758	607
759	501
760	526
764	602
765	720
766	612
766	998
766	656
766	623
766	501
766	500
767	998
768	782
772	600
776	998
778	619
779	640
779	643
782	910
785	526
785	602
785	601
785	500
786	842
787	816
787	791
787	802
787	998
788	514
789	802
790	998
792	526
792	504
792	533
792	525
793	781
793	543
793	555
797	722
798	832
798	850
800	643
800	905
801	600
801	999
803	998
804	623
806	620
808	500
811	998
812	998
812	691
812	999
812	814
815	681
815	522
816	801
821	998
821	640
821	667
822	656
823	697
830	620
830	670
830	656
830	998
830	805
835	677
836	526
838	612
839	664
841	867
844	800
845	656
845	697
845	612
675	998
846	518
848	998
853	600
853	790
853	805
855	693
855	612
855	998
855	620
856	620
856	623
857	612
857	623
857	998
857	640
857	774
858	805
859	620
859	677
859	612
863	677
865	541
867	677
867	693
869	645
870	514
871	652
872	612
872	805
872	620
872	998
873	501
873	522
873	543
873	514
873	665
873	623
873	526
873	620
873	803
874	872
874	884
874	667
874	602
874	608
874	612
874	600
875	998
875	620
876	867
876	623
876	850
879	681
880	998
880	693
880	501
881	999
881	514
881	801
882	761
887	500
887	525
887	518
890	602
891	697
893	602
893	665
893	998
894	783
894	500
895	999
895	676
896	620
896	999
897	998
897	908
897	500
897	620
897	999
898	998
898	815
898	999
899	500
899	833
899	555
900	999
901	998
901	612
901	623
901	677
901	526
903	998
903	543
904	677
906	693
906	910
906	873
906	664
906	612
906	640
906	998
906	677
906	867
906	805
906	850
907	620
907	526
907	612
910	873
910	681
910	697
910	620
910	656
911	691
911	501
912	998
914	901
914	891
914	884
914	998
918	533
918	766
887	774
919	830
921	999
923	600
923	889
923	620
924	526
924	800
924	802
925	998
925	602
926	804
926	500
927	620
927	814
929	681
930	998
930	612
930	817
930	532
930	690
931	693
932	649
933	774
933	620
935	677
941	614
941	998
942	693
942	998
943	693
945	722
948	526
948	999
950	620
954	526
955	998
955	816
955	817
956	526
956	693
958	623
959	602
959	677
960	500
960	801
961	623
961	677
962	677
963	677
963	697
963	691
964	998
964	681
965	677
965	693
965	815
966	692
966	600
966	998
967	522
969	677
970	677
974	522
975	643
975	772
976	805
976	620
976	664
978	681
983	526
983	800
984	616
984	526
984	801
985	905
985	711
985	816
986	998
986	623
986	884
986	891
988	500
988	863
990	733
991	925
991	889
992	518
993	805
993	620
993	998
996	501
998	656
1000	656
1000	850
1000	643
1001	998
1001	901
1003	612
1003	623
1009	693
1010	832
1011	783
1011	890
1013	731
1015	920
1015	527
1017	612
1017	887
1017	681
1017	522
1017	677
1017	998
1019	641
1019	656
1019	774
1021	693
1021	696
1021	903
1021	670
1023	612
1025	656
1025	763
1025	905
1026	998
1027	681
1027	677
1029	692
1030	500
1031	656
1031	850
1037	514
1038	790
1039	791
1042	526
1042	999
1044	998
1046	675
1046	998
1048	522
1048	500
1049	998
1049	681
1049	670
1050	681
1050	697
1050	522
1052	677
1052	693
1052	501
1052	903
1052	998
1053	677
1053	681
1054	623
1057	612
1058	612
1058	620
1058	901
1058	640
1060	664
1060	620
1061	998
1061	620
1063	681
1063	880
1064	998
1064	533
1064	999
1065	533
1068	998
1068	502
1068	600
1068	620
1071	831
1072	645
1072	620
1072	907
1072	648
1073	612
1073	907
1073	526
1073	623
1073	534
1073	677
1073	681
1073	697
1073	656
1074	998
1074	772
1075	620
1077	774
1078	620
1078	802
1078	805
1078	670
1078	998
1079	998
1079	681
1079	501
1079	863
1079	526
1082	903
1082	765
1082	998
1083	607
1083	600
1083	602
1083	601
1087	731
1089	526
1089	500
1089	509
1089	518
1089	534
1089	525
1089	512
1090	531
1091	999
1092	800
1093	901
1093	677
1093	998
1094	998
1094	664
1096	664
1096	620
1098	774
1098	850
1098	998
1098	765
1099	600
1099	620
1100	620
1100	664
1100	660
