ID	Coding frame used	Tone
1	Not applicable	
2	Justification: WMDs	40
2	Justification: Humanitarian (Blairite)	40
3	Not applicable	
4	Not applicable	
5	Battle	19
7	Not applicable	
8	Not applicable	
9	Not applicable	
10	Not applicable	
11	Not applicable	
12	Justification: WMDs	32
13	Not applicable	
14	Battle	19
15	Not applicable	
16	Not applicable	
17	Not applicable	
18	Not applicable	
19	Not applicable	
20	Humanitarian issues (aid delivery)	24
21	Not applicable	
22	Justification: Humanitarian (Blairite)	40
23	Not applicable	
24	Not applicable	
25	Not applicable	
26	Justification: WMDs	33
27	Strategy	40
28	Not applicable	
29	Strategy	19
30	Justification: Humanitarian (Blairite)	40
31	Not applicable	
32	Not applicable	
33	Not applicable	
34	Strategy	27
35	Not applicable	
36	Not applicable	
37		
38	Humanitarian issues (aid delivery)	24
39	Not applicable	
40	Strategy	32
41	Not applicable	
42	Not applicable	
43	Justification: Humanitarian (Blairite)	17
43	Justification: War on Terror	18
44	Not applicable	
45	Not applicable	
46	Not applicable	
47	Not applicable	
48	Not applicable	
49	Not applicable	
50	Not applicable	
51	Not applicable	
52	Not applicable	
53	Not applicable	
54	Not applicable	
55	Not applicable	
57	Justification: Humanitarian (Blairite)	19
58	Justification: Humanitarian (Blairite)	24
59	Not applicable	
61	Not applicable	
62	Not applicable	
63	Not applicable	
64	Not applicable	
65	Not applicable	
67	Strategy	32
68	Not applicable	
69	Not applicable	
70	Humanitarian issues (aid delivery)	24
71	Not applicable	
6	Not applicable	
72	Not applicable	
73	Not applicable	
74	Not applicable	
75	Not applicable	
78	Not applicable	
79	Not applicable	
82	Not applicable	
83	Battle	40
84	Not applicable	
85	Not applicable	
86	Strategy	40
87	Not applicable	
89	Not applicable	
90	Not applicable	
91	Not applicable	
92	Justification: Humanitarian (Blairite)	32
93	Justification: Humanitarian (Blairite)	19
94	Not applicable	
95	Not applicable	
96	Not applicable	
97	Not applicable	
98	Not applicable	
99	Not applicable	
100	Not applicable	
101	Not applicable	
103	Battle	40
104	Not applicable	
105	Not applicable	
106	Not applicable	
109	Not applicable	
110	Not applicable	
111	Not applicable	
112	Not applicable	
113	Not applicable	
116	Not applicable	
117	Not applicable	
120	Battle	40
121	Not applicable	
122	Not applicable	
123	Not applicable	
124	Not applicable	
125	Not applicable	
126	Not applicable	
127	Not applicable	
128	Not applicable	
129	Justification: WMDs	17
130	Justification: WMDs	17
132	Strategy	32
133	Not applicable	
134	Strategy	32
135	Not applicable	
136	Justification: Humanitarian (Blairite)	48
136	Justification: WMDs	48
137	Justification: WMDs	16
137	Justification: Humanitarian (Blairite)	16
137	Justification: War on Terror	24
138	Not applicable	
139	Not applicable	
140	Not applicable	
142	Not applicable	
143	Not applicable	
144	Not applicable	
145	Not applicable	
147	Not applicable	
148	Not applicable	
149	Not applicable	
150	Not applicable	
152	Battle	40
153	Not applicable	
154	Not applicable	
155	Strategy	32
156	Not applicable	
158	Not applicable	
159	Not applicable	
160	Not applicable	
161	Not applicable	
162	Not applicable	
163	Not applicable	
164	Not applicable	
165	Justification: Humanitarian (Blairite)	33
166	Not applicable	
167	Not applicable	
168	Not applicable	
169	Not applicable	
170	Not applicable	
171	Not applicable	
172	Not applicable	
173	Not applicable	
174	Not applicable	
175	Justification: WMDs	24
176	Not applicable	
177	Not applicable	
178	Not applicable	
179	Not applicable	
180	Not applicable	
181	Not applicable	
182	Not applicable	
183	Not applicable	
184	Not applicable	
185	Not applicable	
186	Not applicable	
187	Not applicable	
191	Not applicable	
192	Strategy	32
193	Battle	33
194	Strategy	32
195	Strategy	19
195	Battle	19
197	Not applicable	
200	Justification: Humanitarian (Blairite)	24
201	Not applicable	
202	Not applicable	
203	Not applicable	
204	Not applicable	
205	Strategy	40
205	Battle	40
206	Not applicable	
209	Not applicable	
211	Not applicable	
216	Not applicable	
217	Not applicable	
218	Not applicable	
219	Not applicable	
220	Not applicable	
221	Strategy	40
222	Strategy	32
223	Not applicable	
224	Not applicable	
225	Justification: WMDs	19
226	Not applicable	
227	Not applicable	
228	Not applicable	
229	Not applicable	
230	Not applicable	
232	Justification: War on Terror	34
232	Battle	34
233	Strategy	25
234	Battle	33
235	Not applicable	
236	Not applicable	
237	Not applicable	
242	Not applicable	
243	Justification: Humanitarian (Blairite)	19
244	Not applicable	
245	Justification: War on Terror	40
246	Not applicable	
247	Not applicable	
248	Not applicable	
249	Not applicable	
250	Justification: Humanitarian (Blairite)	33
250	Justification: War on Terror	33
251	Not applicable	
252	Not applicable	
254	Not applicable	
255	Battle	33
255	Justification: WMDs	11
256	Not applicable	
257	Battle	33
260	Not applicable	
261	Justification: War on Terror	42
262	Battle	33
263	Not applicable	
264	Justification: War on Terror	41
265	Not applicable	
266	Not applicable	
267	Not applicable	
268	Not applicable	
269	Not applicable	
270	Not applicable	
271	Not applicable	
272	Justification: WMDs	24
273	Strategy	27
275	Not applicable	
276	Not applicable	
278	Battle	33
279	Not applicable	
281	Not applicable	
282	Not applicable	
283	Not applicable	
284	Not applicable	
285	Justification: War on Terror	10
286	Not applicable	
287	Not applicable	
288	Not applicable	
289	Not applicable	
292	Justification: War on Terror	19
293	Not applicable	
294	Not applicable	
295	Not applicable	
296	Not applicable	
298	Battle	33
299	Not applicable	
300	Justification: War on Terror	40
301	Strategy	40
302	Justification: WMDs	19
303	Not applicable	
304	Justification: Humanitarian (Blairite)	19
305	Not applicable	
306	Not applicable	
307	Not applicable	
308	Battle	27
309	Not applicable	
310	Not applicable	
312	Not applicable	
316	Not applicable	
317	Strategy	32
318	Not applicable	
321	Not applicable	
322	Not applicable	
323	Not applicable	
324	Not applicable	
325	Not applicable	
326	Justification: War on Terror	18
326	Justification: WMDs	18
327	Justification: War on Terror	18
328	Justification: WMDs	27
329	Not applicable	
330	Not applicable	
331	Not applicable	
333	Justification: War on Terror	26
334	Not applicable	
335	Not applicable	
336	Not applicable	
337	Battle	32
338	Not applicable	
339	Not applicable	
340	Not applicable	
341	Not applicable	
342	Not applicable	
344	Not applicable	
345	Not applicable	
348	Not applicable	
349	Not applicable	
350	Not applicable	
351	Justification: WMDs	27
352	Not applicable	
353	Justification: WMDs	19
355	Not applicable	
356	Not applicable	
357	Not applicable	
358	Not applicable	
359	Battle	40
360	Strategy	26
361	Not applicable	
363	Justification: Humanitarian (Blairite)	19
364	Battle	40
366	Not applicable	
367	Not applicable	
368	Not applicable	
369	Not applicable	
370	Not applicable	
371	Not applicable	
372	Not applicable	
373	Not applicable	
375	Not applicable	
376	Not applicable	
377	Not applicable	
378	Not applicable	
379	Not applicable	
381	Not applicable	
382	Not applicable	
383	Not applicable	
385	Not applicable	
386	Not applicable	
388	Not applicable	
391	Not applicable	
392	Not applicable	
393	Not applicable	
394	Not applicable	
395	Strategy	40
396	Not applicable	
397	Not applicable	
400	Battle	34
300	Justification: WMDs	40
302	Justification: Humanitarian (Blairite)	19
401	Not applicable	
402	Not applicable	
403	Justification: Humanitarian (Blairite)	19
403	Justification: WMDs	19
406	Justification: Humanitarian (Blairite)	19
407	Not applicable	
408	Not applicable	
409	Not applicable	
410	Battle	11
411	Battle	11
412	Battle	40
413	Battle	33
413	Justification: Humanitarian (Blairite)	33
414	Justification: WMDs	19
414	Justification: Humanitarian (Blairite)	19
415	Not applicable	
419	Not applicable	
380	Not applicable	
420	Civilian casualties	33
354	Not applicable	
420	Strategy	40
165	Civilian casualties	33
421	Not applicable	
424	Not applicable	
425	Not applicable	
426	Not applicable	
427	Not applicable	
428	Not applicable	
429	Not applicable	
430	Not applicable	
431	Not applicable	
432	Not applicable	
436	Not applicable	
437	Battle	40
438	Not applicable	
439	Not applicable	
440	Battle	32
441	Battle	33
441	Justification: Humanitarian (Blairite)	33
442	Not applicable	
