ID	Justification	Subject (Whom)	Tone
12	04	600	Reinforcing
12	01	500	Reinforcing
12	14	801	Reinforcing
17	33	862	Reinforcing
21	27	850	Deflating
21	29	850	Reinforcing
22	15	640	Reinforcing
22	02	600	Reinforcing
22	25	500	Reinforcing
22	01	500	Reinforcing
24	01	500	Assumed
30	04	862	Reinforcing
31	01	862	Assumed
32	01	502	Reinforcing
36	14	802	Reinforcing
36	01	601	Reinforcing
36	22	801	Reinforcing
42	01	525	Reinforcing
42	01	583	Questioned
42	01	502	Reinforcing
42	01	512	Reinforcing
42	12	780	Assumed
43	12	580	Reinforcing
43	13	580	Assumed
43	31	580	Reinforcing
46	01	525	Assumed
47	24	500	Reinforcing
47	01	500	Reinforcing
47	25	500	Reinforcing
47	28	500	Reinforcing
51	01	600	Reinforcing
51	07	600	Reinforcing
51	11	600	Reinforcing
51	02	600	Reinforcing
51	03	600	Reinforcing
51	01	500	Reinforcing
51	03	500	Reinforcing
51	02	500	Reinforcing
55	04	550	Reinforcing
58	13	862	Reinforcing
58	12	862	Reinforcing
59	11	600	Reinforcing
64	01	601	Reinforcing
64	14	801	Assumed
72	25	502	Reinforcing
72	02	502	Reinforcing
74	01	525	Assumed
74	01	502	Assumed
74	01	790	Assumed
74	01	783	Questioned
75	14	580	Reinforcing
78	01	502	Assumed
79	03	600	Reinforcing
79	01	500	Reinforcing
79	25	500	Reinforcing
79	02	791	Reinforcing
79	01	502	Assumed
82	01	502	Assumed
82	22	543	Assumed
90	22	801	Assumed
90	19	801	Reinforcing
12	01	503	Reinforcing
30	02	850	Reinforcing
30	02	850	Reinforcing
94	01	502	Reinforcing
94	01	790	Assumed
94	01	862	Reinforcing
96	22	540	Reinforcing
104	22	540	Reinforcing
104	01	500	Reinforcing
105	12	509	Assumed
110	01	862	Reinforcing
113	01	502	Reinforcing
113	01	525	Assumed
124	12	862	Reinforcing
124	21	862	Reinforcing
125	12	862	Reinforcing
125	21	862	Reinforcing
125	15	862	Reinforcing
125	17	862	Reinforcing
125	29	862	Reinforcing
125	02	862	Assumed
126	12	801	Reinforcing
126	19	803	Reinforcing
126	22	780	Reinforcing
126	01	601	Reinforcing
126	15	640	Reinforcing
126	01	503	Reinforcing
127	01	525	Reinforcing
127	12	731	Reinforcing
127	12	770	Assumed
127	12	770	Assumed
129	15	540	Assumed
130	15	540	Reinforcing
130	12	862	Assumed
130	21	862	Assumed
136	14	862	Deflating
136	05	862	Reinforcing
136	01	862	Reinforcing
137	15	862	Reinforcing
137	17	862	Reinforcing
137	16	862	Reinforcing
137	12	862	Reinforcing
137	29	862	Reinforcing
137	31	862	Assumed
138	29	659	Reinforcing
143	22	540	Reinforcing
143	14	503	Deflating
144	22	509	Assumed
147	22	540	Reinforcing
147	01	500	Reinforcing
148	22	731	Assumed
153	12	543	Reinforcing
153	01	525	Reinforcing
158	22	780	Assumed
159	22	540	Assumed
161	22	540	Reinforcing
161	01	500	Reinforcing
164	15	640	Reinforcing
164	01	862	Deflating
165	25	514	Assumed
168	14	801	Reinforcing
169	01	791	Assumed
169	12	737	Reinforcing
169	22	804	Assumed
170	22	780	Reinforcing
171	01	525	Reinforcing
171	22	583	Reinforcing
175	14	862	Reinforcing
175	15	862	Reinforcing
175	01	862	Mixed
176	01	525	Assumed
176	22	540	Assumed
178	22	780	Reinforcing
179	12	803	Reinforcing
179	14	801	Reinforcing
179	22	801	Reinforcing
180	22	780	Reinforcing
180	14	801	Reinforcing
181	01	503	Reinforcing
182	12	862	Assumed
184	03	522	Reinforcing
135	02	697	Mixed
137	02	862	Questioned
179	19	803	Reinforcing
215	27	500	Reinforcing
240	22	540	Reinforcing
241	01	500	Reinforcing
241	27	500	Reinforcing
315	01	527	Reinforcing
389	01	509	Reinforcing
389	02	509	Assumed
389	28	509	Assumed
388	01	525	Assumed
390	02	500	Reinforcing
390	03	500	Reinforcing
390	10	500	Assumed
185	22	509	Reinforcing
185	01	525	Reinforcing
187	17	573	Reinforcing
191	22	540	Reinforcing
197	01	525	Reinforcing
197	12	999	Assumed
200	13	761	Mixed
202	12	731	Reinforcing
203	22	509	Assumed
203	22	540	Assumed
204	22	540	Assumed
204	30	801	Assumed
204	30	803	Reinforcing
204	22	780	Reinforcing
204	01	601	Assumed
209	01	525	Reinforcing
209	12	731	Reinforcing
209	12	543	Reinforcing
209	01	518	Reinforcing
216	31	862	Mixed
216	28	862	Mixed
217	22	543	Assumed
220	14	801	Assumed
220	22	780	Reinforcing
226	04	862	Assumed
226	01	862	Reinforcing
227	22	540	Assumed
227	01	525	Reinforcing
228	01	601	Assumed
228	19	801	Assumed
229	19	543	Assumed
230	22	509	Reinforcing
232	07	681	Reinforcing
237	01	525	Reinforcing
237	12	862	Reinforcing
245	01	862	Reinforcing
245	10	862	Reinforcing
245	28	862	Reinforcing
250	10	500	Reinforcing
250	02	500	Reinforcing
250	28	500	Reinforcing
250	11	500	Reinforcing
252	31	555	Deflating
260	03	607	Reinforcing
261	07	862	Reinforcing
264	10	862	Reinforcing
264	07	862	Reinforcing
264	03	862	Assumed
266	21	543	Assumed
267	12	509	Reinforcing
267	21	573	Assumed
267	22	543	Reinforcing
271	20	850	Reinforcing
272	21	782	Reinforcing
272	14	782	Reinforcing
275	30	803	Reinforcing
275	21	802	Reinforcing
282	22	540	Reinforcing
283	12	862	Assumed
283	21	862	Assumed
285	17	862	Reinforcing
285	33	862	Reinforcing
286	03	500	Assumed
286	10	500	Reinforcing
286	02	500	Reinforcing
286	10	550	Reinforcing
286	31	543	Assumed
287	21	802	Assumed
289	03	550	Reinforcing
289	07	543	Deflating
289	31	543	Assumed
289	21	573	Assumed
289	01	527	Assumed
289	10	500	Reinforcing
289	01	500	Reinforcing
264	11	500	Reinforcing
286	22	543	Assumed
287	22	803	Assumed
293	22	509	Reinforcing
307	02	503	Reinforcing
310	31	543	Reinforcing
321	12	801	Assumed
321	19	801	Reinforcing
323	22	800	Reinforcing
324	15	640	Reinforcing
326	05	603	Reinforcing
326	07	600	Reinforcing
326	05	862	Deflating
326	07	862	Deflating
326	03	600	Reinforcing
329	01	500	Reinforcing
329	02	500	Reinforcing
329	10	500	Reinforcing
329	14	862	Assumed
330	10	500	Reinforcing
331	14	782	Reinforcing
335	14	802	Reinforcing
335	21	802	Reinforcing
335	22	803	Assumed
335	21	721	Assumed
340	21	543	Assumed
344	12	543	Reinforcing
344	21	543	Reinforcing
344	02	550	Reinforcing
344	28	550	Reinforcing
344	01	550	Reinforcing
345	13	583	Reinforcing
345	31	583	Reinforcing
345	30	573	Reinforcing
345	02	555	Assumed
345	12	543	Assumed
348	07	555	Assumed
349	33	543	Reinforcing
355	22	862	Assumed
356	33	543	Assumed
357	10	500	Reinforcing
357	22	543	Assumed
357	31	543	Assumed
367	10	555	Assumed
367	21	573	Reinforcing
367	31	543	Assumed
368	34	500	Reinforcing
