ID	Justification	Subject (Whom)	Tone
12	01	862	Questioned
12	03	600	Reinforcing
13	08	862	Reinforcing
17	01	862	Deflating
19	08	925	Assumed
65	02	603	Reinforcing
82	08	543	Assumed
85	08	656	Reinforcing
90	03	907	Deflating
92	06	850	Reinforcing
94	04	600	Reinforcing
94	08	801	Reinforcing
100	03	862	Reinforcing
137	07	862	Assumed
143	01	531	Reinforcing
150	02	850	Reinforcing
166	01	643	Deflating
181	01	503	Reinforcing
182	08	862	Assumed
203	05	862	Reinforcing
216	06	862	Mixed
219	07	862	Assumed
219	05	862	Assumed
221	02	862	Mixed
232	03	681	Reinforcing
232	04	681	Assumed
254	02	850	Reinforcing
255	01	862	Assumed
260	02	600	Reinforcing
263	02	840	Reinforcing
266	01	531	Assumed
255	01	801	Mixed
22	04	600	Reinforcing
22	03	600	Reinforcing
267	03	500	Reinforcing
267	02	506	Reinforcing
270	05	862	Reinforcing
271	08	862	Assumed
275	01	801	Mixed
275	05	644	Assumed
55	08	580	Reinforcing
1318	04	506	Assumed
137	05	862	Reinforcing
143	01	500	Assumed
164	08	862	Assumed
184	01	862	Mixed
232	02	681	Reinforcing
251	03	862	Reinforcing
251	02	862	Reinforcing
251	04	862	Reinforcing
261	04	619	Assumed
295	04	862	Assumed
306	01	500	Assumed
306	02	500	Assumed
307	03	500	Reinforcing
313	01	583	Mixed
313	02	583	Mixed
313	04	583	Mixed
282	05	540	Reinforcing
283	06	925	Reinforcing
284	05	815	Reinforcing
284	02	815	Assumed
285	07	862	Reinforcing
286	03	555	Reinforcing
287	01	801	Mixed
289	03	555	Reinforcing
295	02	600	Reinforcing
295	04	600	Reinforcing
298	01	697	Assumed
299	02	697	Assumed
300	04	620	Assumed
304	02	850	Reinforcing
307	03	503	Reinforcing
307	02	500	Reinforcing
317	01	694	Assumed
321	01	801	Mixed
325	08	640	Reinforcing
326	07	862	Assumed
324	01	862	Mixed
330	08	543	Assumed
344	04	543	Deflating
330	04	543	Questioned
330	05	543	Assumed
335	01	801	Mixed
336	08	640	Reinforcing
336	02	862	Assumed
355	02	862	Assumed
355	05	862	Assumed
363	02	850	Questioned
363	02	850	Assumed
371	01	801	Mixed
373	06	998	Assumed
382	01	862	Assumed
386	01	608	Assumed
392	01	526	Reinforcing
392	02	526	Reinforcing
396	04	620	Assumed
400	05	850	Mixed
402	01	607	Reinforcing
406	02	862	Reinforcing
406	02	850	Reinforcing
413	01	697	Reinforcing
413	04	697	Reinforcing
426	02	791	Reinforcing
430	01	862	Assumed
437	02	681	Reinforcing
441	02	697	Reinforcing
448	02	697	Reinforcing
450	04	862	Deflating
450	06	862	Assumed
450	07	862	Assumed
451	02	872	Deflating
457	02	697	Assumed
458	02	697	Reinforcing
461	02	697	Reinforcing
461	01	697	Assumed
471	06	730	Assumed
481	02	697	Reinforcing
495	01	999	Questioned
507	02	681	Reinforcing
507	04	608	Reinforcing
511	04	803	Questioned
516	02	862	Assumed
344	04	555	Assumed
346	03	500	Assumed
368	01	500	Assumed
371	08	811	Reinforcing
371	08	804	Reinforcing
371	08	711	Reinforcing
373	02	801	Mixed
378	06	998	Assumed
529	02	500	Assumed
529	05	543	Assumed
380	02	665	Assumed
383	01	550	Reinforcing
403	02	850	Reinforcing
414	01	693	Assumed
414	02	693	Assumed
435	04	830	Reinforcing
459	02	500	Reinforcing
488	01	862	Assumed
495	08	999	Reinforcing
495	04	862	Questioned
526	02	782	Mixed
540	01	862	Questioned
546	01	862	Assumed
530	02	512	Assumed
532	05	862	Reinforcing
533	08	862	Assumed
538	02	862	Assumed
543	02	681	Assumed
543	02	681	Reinforcing
544	02	697	Reinforcing
544	04	697	Reinforcing
546	01	612	Reinforcing
553	05	905	Reinforcing
577	02	600	Reinforcing
582	05	905	Reinforcing
593	02	862	Assumed
593	04	862	Assumed
602	02	661	Reinforcing
577	02	872	Assumed
627	01	862	Deflating
618	01	526	Assumed
620	01	608	Assumed
628	05	862	Reinforcing
637	02	862	Deflating
637	07	862	Reinforcing
653	02	862	Reinforcing
655	01	862	Reinforcing
662	04	862	Questioned
662	03	862	Questioned
666	02	555	Assumed
667	06	862	Assumed
675	02	862	Mixed
679	06	733	Assumed
680	05	710	Reinforcing
681	01	830	Mixed
688	04	862	Questioned
692	01	862	Questioned
692	06	862	Assumed
692	07	862	Assumed
695	01	500	Assumed
696	08	731	Reinforcing
706	01	862	Mixed
706	01	526	Assumed
708	02	902	Reinforcing
708	08	998	Assumed
709	02	849	Reinforcing
709	05	905	Assumed
713	06	862	Assumed
715	04	862	Questioned
724	02	602	Reinforcing
727	02	501	Reinforcing
727	01	501	Reinforcing
740	08	849	Assumed
745	05	710	Reinforcing
750	06	739	Assumed
750	02	849	Reinforcing
750	01	607	Assumed
752	01	862	Mixed
752	06	862	Mixed
752	04	862	Mixed
755	02	850	Reinforcing
758	08	640	Reinforcing
764	01	862	Assumed
764	02	862	Assumed
769	02	862	Reinforcing
778	08	640	Reinforcing
780	01	697	Reinforcing
786	06	871	Assumed
787	08	814	Reinforcing
793	02	501	Reinforcing
801	02	862	Assumed
805	02	501	Reinforcing
816	03	500	Assumed
637	06	862	Reinforcing
639	02	850	Reinforcing
650	01	607	Assumed
653	04	862	Reinforcing
662	08	862	Assumed
663	01	607	Reinforcing
670	03	791	Assumed
670	01	791	Assumed
827	06	730	Assumed
827	06	862	Deflating
833	02	612	Reinforcing
835	02	850	Assumed
837	01	862	Questioned
837	02	862	Questioned
675	07	862	Assumed
853	06	862	Assumed
857	08	640	Assumed
859	02	620	Reinforcing
865	02	501	Assumed
869	02	862	Reinforcing
871	08	862	Reinforcing
872	02	850	Assumed
873	02	522	Reinforcing
873	08	803	Assumed
875	02	850	Reinforcing
876	02	850	Assumed
899	02	862	Assumed
902	02	681	Reinforcing
905	02	850	Mixed
916	08	667	Reinforcing
929	02	676	Reinforcing
939	02	862	Assumed
943	03	500	Assumed
947	02	697	Reinforcing
952	08	849	Assumed
953	06	905	Assumed
953	08	905	Assumed
954	08	801	Assumed
955	05	739	Assumed
955	08	905	Reinforcing
959	02	862	Assumed
962	02	677	Reinforcing
972	02	862	Assumed
972	02	697	Assumed
978	08	730	Assumed
984	02	620	Assumed
985	08	905	Reinforcing
992	02	697	Reinforcing
998	02	697	Reinforcing
998	02	862	Reinforcing
998	01	862	Reinforcing
1006	01	697	Reinforcing
1006	02	697	Reinforcing
1017	08	656	Reinforcing
1027	02	850	Assumed
1037	01	730	Deflating
1038	06	733	Assumed
1038	05	998	Assumed
1041	02	862	Mixed
1041	08	862	Reinforcing
1045	08	831	Assumed
1048	03	831	Assumed
679	03	739	Assumed
1048	08	831	Assumed
787	03	998	Assumed
1055	02	697	Assumed
1004	05	656	Reinforcing
1056	02	831	Assumed
1057	08	643	Reinforcing
793	01	543	Questioned
902	02	850	Assumed
916	03	667	Questioned
1057	02	862	Assumed
1064	08	868	Reinforcing
1064	08	731	Reinforcing
1072	08	862	Assumed
1077	06	774	Assumed
1081	02	697	Reinforcing
1083	07	862	Mixed
1092	06	862	Assumed
952	03	818	Assumed
972	02	850	Mixed
972	02	697	Assumed
992	02	862	Reinforcing
992	05	862	Deflating
1046	08	831	Assumed
1057	02	850	Assumed
1112	01	862	Assumed
1113	01	500	Reinforcing
1114	02	850	Assumed
1115	02	670	Reinforcing
801	04	862	Assumed
1119	02	501	Assumed
1120	02	697	Reinforcing
1128	03	730	Deflating
1128	06	730	Assumed
1133	05	862	Assumed
1133	01	862	Mixed
1134	08	862	Assumed
1331	04	500	Assumed
1340	02	697	Reinforcing
1342	02	677	Reinforcing
1347	02	862	Assumed
1348	02	862	Assumed
1349	02	862	Assumed
1360	02	862	Assumed
1366	06	641	Assumed
1368	02	697	Assumed
1373	08	640	Reinforcing
1374	08	862	Reinforcing
1377	02	862	Assumed
1382	08	925	Reinforcing
1134	08	540	Assumed
1135	01	830	Assumed
1137	08	830	Assumed
1137	02	863	Assumed
1137	08	730	Assumed
1137	02	764	Questioned
1138	06	733	Assumed
1141	08	863	Assumed
1141	06	863	Assumed
1141	03	863	Deflating
1142	02	849	Assumed
1142	08	740	Assumed
1143	05	862	Assumed
1144	02	697	Reinforcing
1144	03	862	Assumed
1144	02	862	Assumed
1144	06	862	Assumed
1149	02	862	Assumed
1155	01	862	Assumed
435	02	830	Reinforcing
131	05	540	Assumed
210	01	525	Assumed
387	01	832	Mixed
1162	01	501	Reinforcing
1166	02	862	Reinforcing
1168	02	697	Assumed
1175	02	670	Assumed
1184	02	862	Assumed
1195	02	697	Assumed
1201	06	730	Assumed
1202	02	862	Deflating
1220	02	862	Reinforcing
1223	04	645	Deflating
1223	02	862	Deflating
1239	08	644	Reinforcing
1239	08	645	Reinforcing
1240	04	862	Questioned
285	04	600	Assumed
285	02	862	Questioned
1247	01	862	Assumed
1247	01	697	Assumed
1251	01	862	Mixed
1263	08	850	Reinforcing
1264	02	998	Questioned
1267	02	543	Deflating
1271	01	501	Reinforcing
1278	01	862	Assumed
1295	08	644	Reinforcing
1299	02	862	Assumed
1312	02	850	Assumed
1251	02	649	Mixed
1267	08	730	Assumed
1313	02	850	Assumed
391	01	527	Reinforcing
582	03	905	Questioned
670	04	791	Reinforcing
674	02	600	Assumed
680	02	710	Mixed
681	01	830	Mixed
681	01	830	Mixed
692	01	781	Questioned
695	02	500	Reinforcing
708	03	815	Questioned
722	02	500	Assumed
739	01	862	Assumed
745	04	830	Reinforcing
755	06	850	Assumed
758	01	600	Assumed
1382	06	925	Assumed
1397	02	850	Deflating
1399	06	645	Reinforcing
1409	08	664	Assumed
1415	06	862	Mixed
1420	02	600	Reinforcing
1420	01	600	Reinforcing
1423	02	500	Assumed
1433	05	850	Assumed
1436	08	667	Assumed
1459	02	500	Assumed
1469	06	850	Assumed
1469	02	862	Mixed
1497	08	645	Assumed
1514	02	850	Reinforcing
768	02	862	Assumed
784	01	607	Reinforcing
787	01	816	Assumed
799	01	907	Assumed
801	01	600	Reinforcing
801	02	500	Reinforcing
810	02	862	Assumed
831	04	862	Deflating
881	03	500	Assumed
1142	08	849	Assumed
1142	08	849	Assumed
1142	08	849	Assumed
1549	02	693	Assumed
1550	02	862	Reinforcing
1555	01	862	Deflating
1555	08	862	Assumed
1562	06	862	Reinforcing
1562	08	862	Reinforcing
1562	02	862	Questioned
1565	08	862	Reinforcing
1572	02	862	Reinforcing
1583	03	831	Assumed
1595	08	640	Assumed
1596	08	802	Assumed
1597	03	600	Reinforcing
1600	02	850	Deflating
1600	08	645	Assumed
1608	08	862	Assumed
1616	08	739	Assumed
1620	06	862	Mixed
1620	01	862	Questioned
1620	05	862	Assumed
1625	02	693	Assumed
1625	02	600	Assumed
1641	02	500	Assumed
1664	05	660	Assumed
1664	05	667	Assumed
1664	05	663	Reinforcing
1666	05	663	Assumed
1675	02	500	Assumed
1697	03	906	Reinforcing
1698	02	862	Assumed
1702	02	693	Assumed
1713	02	697	Assumed
1716	06	862	Questioned
1716	02	862	Reinforcing
1727	02	693	Assumed
1727	01	693	Assumed
1728	02	862	Assumed
1730	02	693	Assumed
1730	08	655	Assumed
1740	07	862	Reinforcing
1740	02	600	Reinforcing
1740	06	862	Reinforcing
1754	02	500	Assumed
1754	01	500	Assumed
1769	04	862	Questioned
1769	02	862	Questioned
1769	06	862	Assumed
1769	01	862	Questioned
1794	02	862	Questioned
1794	03	862	Questioned
1806	02	675	Assumed
1811	02	600	Reinforcing
1835	02	600	Reinforcing
1866	04	600	Reinforcing
1872	06	905	Reinforcing
1872	08	849	Reinforcing
1903	02	500	Reinforcing
1913	02	600	Reinforcing
1917	02	645	Deflating
1939	02	862	Assumed
1942	02	500	Assumed
1942	02	600	Assumed
1974	02	500	Reinforcing
1985	08	830	Reinforcing
1995	02	831	Reinforcing
1995	03	831	Assumed
2001	02	500	Reinforcing
2016	02	619	Assumed
2019	02	500	Assumed
2021	02	673	Assumed
2029	02	850	Questioned
2030	02	500	Reinforcing
2049	02	553	Assumed
2049	03	862	Assumed
2050	03	999	Assumed
2056	01	862	Assumed
2056	02	862	Assumed
2056	02	600	Assumed
2057	03	862	Assumed
2084	03	831	Assumed
2089	05	664	Assumed
2106	05	862	Assumed
2110	08	811	Reinforcing
2129	03	803	Deflating
2141	08	772	Assumed
2148	04	591	Deflating
2148	05	830	Reinforcing
2148	01	830	Deflating
2149	02	862	Mixed
2149	04	862	Mixed
2175	01	730	Deflating
2179	05	811	Assumed
2197	08	711	Reinforcing
2197	05	814	Reinforcing
2209	02	697	Reinforcing
2212	08	663	Reinforcing
2215	01	862	Assumed
2222	06	849	Assumed
2231	08	905	Reinforcing
2239	01	862	Assumed
2239	02	862	Assumed
2251	02	697	Reinforcing
2263	02	850	Deflating
2272	06	850	Reinforcing
2274	06	862	Assumed
2274	05	862	Assumed
2274	02	600	Assumed
2279	03	831	Assumed
2283	02	600	Reinforcing
2292	02	692	Reinforcing
2292	02	862	Assumed
2293	02	697	Assumed
2297	08	831	Reinforcing
2302	01	862	Questioned
2302	03	862	Questioned
2308	02	850	Questioned
2331	06	850	Reinforcing
2337	01	600	Assumed
2343	08	849	Reinforcing
2348	08	667	Reinforcing
2352	02	862	Assumed
