ID	Date	Newspaper	Page	First Head?	Head Size	Text Size	Continuation Size	Number of Columns	Top Half?	External source credited?	Gender: reporter1	Gender: reporter2	Reporter location	Embedded reporter used?	Story Type	Story setting/ occasion	Overall tone of story	Reporter Disdain?	Reporter Correction?	Prognosis1	Prognosis2	Prognosis3	Prognosis4	Prognosis5	Prognosis6	Prognosis7	Prognosis8	Prognosis9	Prognosis10	Prognosis11	Prognosis12	Prognosis13	Prognosis14	Prognosis15	Prognosis16
1	17/3/2003 00:00:00	The Sun	1	Game Over	57.23	37.20		1	1	None	1	9	Other: No location	9	Straight: events over last 24 hours	Political: International Event/ Summit	40	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
2	17/3/2003 00:00:00	The Sun	4	Moment of Truth	294.15	187.22		4	1	None	1	9	Summit of International leaders	9	Straight: events over last 24 hours	Political: International Event/ Summit	40	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
3	17/3/2003 00:00:00	The Sun	4	MP wobblers back off	32.30	105.45		5	0	None	1	9	Other: No location	9	Comment: Reporter evaluation	Political: Legislative	25	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
4	17/3/2003 00:00:00	The Sun	5	I'm really proud, says youngest squaddie	26.00	78.00		1	1	None	1	9	Other: No location	9	Straight: events over last 24 hours	Other causes or occasions	33	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
5	17/3/2003 00:00:00	The Sun	6	30,000 Saddam troops go AWOL	278.46	165.50		3	1	None	1	1	CentCom/Qatar/ Kuwait	9	Straight: events over last 24 hours	Conflict zone: Mil briefing/ rpt. from Centcom	11	No/ N/A	No/ N/A	4	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
6	17/3/2003 00:00:00	The Sun	8	Time's Up	4.50	95.14		1	1	None	9	9	Other: No location	9	Editorial	Media: Journalist rpt./ News analysis	48	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
7	17/3/2003 00:00:00	The Sun	8	Loose Talk	4.80	56.10		1	0	None	9	9	Other: No location	9	Editorial	Media: Journalist rpt./ News analysis	15	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
8	17/3/2003 00:00:00	The Sun	8	In time it takes to read this headline, our new Minimi gun can fire 75 rounds	270.83	209.76		4	1	None	1	9	Kuwaiti desert	8	Straight: events over last 24 hours	Conflict zone: Report from battle/action	33	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
9	17/3/2003 00:00:00	The Sun	8	Divers dice with death	27.30	55.20		3	0	None	1	9	Aircraft carrier/ Military ship	1	Straight: events over last 24 hours	Conflict zone: Report from battle/action	33	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
10	17/3/2003 00:00:00	Daily Mirror	1	Moment of madness	365.76	0.00		0	1	None	9	9	Cartoon/photo/graphic	9	Photo (+ headline) only	Political: International Event/ Summit	16	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
11	17/3/2003 00:00:00	Daily Mirror	2	'160 MPs' will join rebellion	12.00	70.95		1	1	None	2	9	Other: No location	9	Straight: events over last 24 hours	Political: Legislative	17	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
12	17/3/2003 00:00:00	Daily Mirror	2	One day left	261.36	216.40		2	1	None	1	9	Summit of International leaders	9	Straight: events over last 24 hours	Political: International Event/ Summit	32	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
