ID	Subject of photo	Photos of particular interest
5	38	The Sun backs our Boys - poster to put up, soldier with gun and UK flag in background
10	230	Bush, Blair and Aznar with the sub heading, 'hear no peace, see no peace, speak no peace' - with their smiling faces. No text.
13	205	Daily Mirror unfurl 'Stop the War' banner on the Azores where the Bush and Blair planes fly over.
14	63	Five photos across the top of the page, all show planes or bombs with threatening messages to Saddam painted on them.
30	142	Photo is well known image of a man with a baby in his arms, killed by chemical attack at Halabja, 15 years ago today.
34	40	Iraqi troops in Baghdad standing guard, chat and smile with Iraqi boy. Noted because we see very few photos like this.
38	38	Shows UK soldiers on some kind of vehicle with the UK flag, all have their heads bowed, the caption says they are 'at worship' but unhappy with their humanitarian role. Strange image with lowered heads.
44	200	Protester sits among daffodils with banners, 'Don't attack Iraq' and 'Not in our Name', girl is pretty though with 'crusty' dress!
73	38	Same photo of UK soldiers praying under UK flag. See ID 38.
83	38	Same photo of soldiers praying.
92	141	Victims of Halabja chemical attack. Young girl and baby. Not sure if library footage should be coded historical. See also ID 30.
100	38	Another poster by the Sun, this time 'The Sun backs our Girls', with female soldier in front of Union Jack.
104	999	Noted because this is a picture of a gnome next to photo of Robin Cook opn the day he resigns.
124	62	Tank in the desert at sunset - a strangely cinematic photo to announce anti-war stance.
132	241	This is two-page spread including various maps and weapons. Coded as mixed for tone though this colourful montage is quite powerful.
137	142	As before, man holding baby at Halabja - should this be from 'historic' category rather than casulaties?
152	59	Scottish bagpipe player silhouetted in the sunset, with sun shining through Scottish flag.
182	62	US tank in the desert sunset.
204	59	Bagpipe player with sun shining through Scottish flag
224	38	Couple meeting in the desert, very similar to photo in the Mail (145). How much is this story a set-up?
255	38	'This guy's a hot shot'. Para wearing bandolier of bullets, naked chest showing spider web tattoo. Nice!
265	281	Clare Short, whole page, with 'revolting' across her photo.
271	372	Young boys laugh and play among sandbags in Baghdad
271	40	Two Iraqi soldiers smiling and waving for camera in Baghdad
278	38	Soldier does bayonet practice in the 40c desert heat
278	26	Armoured car with union flag - again sun shining through flag at sunset in desert.
288	26	Tank in the desert with sunset shining through union falg - seen before.
298	38	Same photo as 255.
304	205	Picture shows woman waving Kalashnikov at a rally in Iraq, but doesn't say what the rally is for, nothing in text either. It must be pro-Saddam but this is omitted from story.
340	281	Strange photo of Calre Short leaving in her car, with the relfections of protestors and police in the window.
351	41	Leaflet warning against use of chemical weapons which have been dropped by coalition aircraft in Iraq.
372	203	Photo shows 'No War' painted on Sydney Opera House by UK protestor.
395	62	Armed guard bars access to US B52 bomber in Gloucester.
412	401	Montage shows soldier aiming gun, with sun behind him, right at Saddam's head! Headline above says, 'wanted dead or alive
412	63	Photo and diagrams showing how the POMINS mine clearing system works.
413	34	Caption reads, 'we're coming to get you...' photo shows paras on exercise, one has gun pointing right at camera
419	53	Two large photos, one of helicopter at sunrise, other of Harrier as it 'slices through the night sky..ready for battle'
424	62	Cruise missiles being loaded onto B52s at RAF Fairford.
436	53	This is same photo as used in the Sun, Harrier over Iraq at night, the caption here is 'Deadly: An RAF Harrier flies over Iraqi airfields'
440	61	'photo of possible target taken by Harrier pilot' could count as credit to military'. Looks like a square of lights, slightly blue haze.
440	53	Harrier plane in green night vision light
452	200	Both photos not only show protestors, but also have police dragging people away - image of conflict rather than simply protest.
458	26	Shows soldier (Irish guard) on guard with union flag flying above him, sky is orange, headline down whole page on the left.
459	26	Same photo as the Mirror (in story not coded, by McNab). Also soldier in gas mask is the same.
466	91	Picture here of Iraqis POWs from first Gulf War, used to authenticate this story of surrendering soldiers now.
471	200	Two photos show teenage girls being taken away by police, with a St Trinians look about them (one has short skirt and face covered by hair). Third is 11-year old boy with 'peace' written on his chest.
476	10	In this case the guard with sand bags is only a boy (looks like set up photo)
477	26	Same photo of Irish Rangers in desert, orange light, panoramic.
488	10	Civil guards take up positions in Baghdad, boy in the middle is the same one pictured in the Mail.
495	202	Protesters burn effigy of Bush at protest in Peshawar (not obviously an effigy at first sight)
503	200	In contrast to tabloids, photo here shows school girls sitting on the grass peacefully protesting
507	26	Same as 477 - panormaic shot of Irish rangers in orange light of desert
520	350	Picture shows a watch with Saddam on it - time running out.
528	200	Schoolboy bares his chest with 'Peace' written on, at protest in London.
561	200	Shows protesters lying across the road in Edinburgh.
566	49	Same photo as 459 - soldier wearing gas mask, with gun in desert.
568	53	Two of interest: helicopter in sunset, and harrier plane at night (from 440). Both in black and white here.
585	200	Police trying to move pupils blocking road in Parl Square. Confrontational.
596	59	Behind headline, blurred picture of a fire or explosion, no further explanation.
598	53	Shows soldiers arriving in helicopters, running across the desert.
600	7	While none of these pictures of Baghdad burning are credited, one shows TV captions in the top corners, though I can't tell which channel
605	111	Shows reporter in protective chemical suit following gas alert.
619	7	Picture shows Baghdad on fire - headline 'mass destruction' is play on coalition claims so coded as somewhat-anti. Picture goes onto back page as well.
620	53	One photo shows US Hornet taking off from USS Kitty, and other shows fighter jet in orange sunlight.
632	200	Photo shows girl blonde girl being removed by police.
650	401	Strange storyboard type graphic detailing the decision to change plans and attempt to 'decapitate' regime.
651	36	Cruise missile launched from Bunker Hill warship. Could be 'battle: other: outgoing fire'.
651	145	Cute girl wounded - caption derogatory; 'said to have been hit by shrapnel, now a pawn in the publicity war'.
