ID	1 - Subject of photo	2 - Event Initiator	3 - Alternative source credited?	4 - Size of Photo
63	038	03	N/A no other source	M
65	372	51	AP	M
67	074	53	N/A no other source	M
70	372	74	N/A no other source	M
71	241	53	N/A no other source	S
73	038	03	Other UK media source	M
79	290	71	N/A no other source	M
79	300	71	N/A no other source	M
83	038	11	N/A no other source	S
83	038	11	N/A no other source	L
86	241	53	N/A no other source	L
89	063	03	N/A no other source	M
92	141	53	Getty Images	S
92	372	53	N/A no other source	M
95	026	03	N/A no other source	XL
97	371	52	N/A no other source	S
99	063	74	N/A no other source	S
99	300	09	N/A no other source	S
99	036	03	N/A no other source	M
99	053	03	N/A no other source	M
99	062	71	N/A no other source	M
99	062	01	N/A no other source	M
99	026	01	N/A no other source	XL
100	038	53	N/A no other source	XL
101	999	53	N/A no other source	M
101	999	53	N/A no other source	S
101	999	53	N/A no other source	S
104	281	11	N/A no other source	S
104	999	53	N/A no other source	S
105	281	11	N/A no other source	S
112	280	53	N/A no other source	XL
123	300	09	N/A no other source	M
124	062	74	N/A no other source	XL
125	290	53	N/A no other source	L
125	038	53	N/A no other source	L
126	300	09	N/A no other source	XL
126	351	13	Iraqi State TV/ media	M
126	285	09	N/A no other source	S
126	281	11	N/A no other source	S
126	231	15	N/A no other source	S
129	280	11	Other UK media source	M
129	281	11	N/A no other source	S
129	999	11	N/A no other source	M
132	241	53	N/A no other source	XL
132	062	53	N/A no other source	L
132	063	53	N/A no other source	M
132	241	53	N/A no other source	M
132	241	53	N/A no other source	M
133	039	53	N/A no other source	S
133	076	53	N/A no other source	S
135	053	03	N/A no other source	XL
632	203	41	N/A no other source	S
135	026	03	N/A no other source	S
136	350	53	N/A no other source	S
137	142	53	N/A no other source	L
138	040	07	N/A no other source	L
143	026	03	N/A no other source	XL
145	038	04	N/A no other source	XL
145	038	04	N/A no other source	M
145	038	04	N/A no other source	S
147	281	12	Reuters	L
147	999	12	N/A no other source	S
147	999	12	N/A no other source	S
148	300	09	N/A no other source	S
150	372	52	N/A no other source	L
150	372	52	N/A no other source	M
152	059	03	N/A no other source	XL
152	026	03	N/A no other source	M
152	062	03	N/A no other source	S
159	281	11	N/A no other source	L
161	281	11	N/A no other source	M
161	281	53	N/A no other source	S
161	999	11	N/A no other source	S
164	372	52	PA	M
164	372	52	EPA	S
170	231	15	N/A no other source	M
173	026	03	N/A no other source	M
176	281	11	PA	M
177	240	53	N/A no other source	M
178	300	09	EPA	M
180	231	11	EPA	M
182	062	01	Reuters	L
185	281	11	N/A no other source	L
192	062	03	N/A no other source	M
195	241	53	N/A no other source	L
197	281	11	N/A no other source	L
202	200	37	N/A no other source	M
204	059	03	Reuters	L
204	403	53	N/A no other source	S
217	200	37	Reuters	M
220	094	15	AP	M
221	241	53	N/A no other source	L
224	038	04	N/A no other source	M
225	241	53	N/A no other source	S
227	281	11	N/A no other source	L
230	280	11	N/A no other source	M
232	062	01	Reuters	M
234	026	03	N/A no other source	S
235	231	71	N/A no other source	S
243	363	52	Reuters	M
244	372	52	AP	M
247	290	11	N/A no other source	S
249	111	53	N/A no other source	M
250	290	11	N/A no other source	S
254	363	52	N/A no other source	L
254	232	18	N/A no other source	M
254	094	16	N/A no other source	M
302	363	52	N/A no other source	M
302	363	52	N/A no other source	S
304	372	52	N/A no other source	XL
304	205	51	N/A no other source	M
305	351	13	Iraqi State TV/ media	S
307	290	11	N/A no other source	M
308	363	52	Reuters	S
