ID	Reporters' Comments
181	01
181	01
181	01
181	01
181	01
182	98
182	32
183	04
183	03
183	04
183	04
183	04
184	08
184	32
184	08
184	08
185	01
185	25
185	25
185	32
186	01
186	01
186	05
186	01
186	05
186	05
187	25
187	07
187	07
191	05
191	05
191	05
191	05
191	05
192	08
192	32
192	08
192	08
192	08
192	08
192	08
192	07
192	07
193	01
193	01
193	01
193	01
194	08
194	08
194	27
194	08
194	01
195	07
195	07
195	27
195	27
195	03
195	27
195	03
195	27
195	07
197	01
197	07
197	01
197	04
197	01
197	01
200	05
200	05
200	05
201	26
201	07
202	05
202	05
202	05
202	05
203	25
204	08
204	08
204	08
204	08
204	07
204	01
204	25
205	40
206	07
206	07
206	07
206	05
209	01
209	01
209	01
209	05
209	05
209	25
211	02
211	02
211	26
216	25
216	32
217	01
217	25
217	01
217	01
218	25
219	18
220	32
220	28
220	04
220	02
220	02
220	08
220	04
220	03
221	32
221	25
221	27
222	01
222	01
222	01
223	08
223	04
224	01
224	01
224	01
224	01
225	07
225	07
225	19
225	07
225	27
225	07
225	31
225	07
226	23
226	25
227	01
227	25
227	01
227	01
227	01
227	25
228	02
228	03
228	04
228	02
228	01
228	07
228	07
229	25
229	05
229	07
230	01
230	25
232	02
232	02
232	02
232	02
232	02
233	25
234	33
234	33
234	01
235	25
235	32
235	23
235	20
236	08
236	32
237	01
237	25
237	04
237	01
237	04
237	01
237	17
242	01
369	17
369	25
369	25
369	01
369	05
369	05
370	01
370	05
370	05
370	01
371	03
371	03
371	02
371	07
371	07
371	07
371	02
371	07
372	05
372	07
372	05
373	31
373	07
373	31
373	31
373	31
375	08
375	01
375	01
375	01
375	01
375	01
375	02
375	01
375	01
376	08
376	08
377	07
378	08
378	08
378	32
379	33
379	26
379	31
380	31
380	07
380	03
380	31
381	07
381	02
382	33
382	21
383	25
383	01
383	01
383	01
383	01
385	01
386	02
386	03
388	01
388	01
388	25
388	01
388	01
388	01
388	01
391	07
391	05
391	05
391	01
391	01
391	01
391	01
391	05
391	05
391	01
391	01
391	01
391	01
391	01
391	01
391	05
391	07
391	01
392	25
392	25
392	25
392	01
392	01
392	01
392	01
393	01
393	25
393	05
393	01
393	05
393	05
394	01
394	07
394	07
394	01
395	08
395	01
395	40
396	02
396	26
396	02
396	02
396	02
396	26
396	03
397	31
397	02
397	07
400	27
400	02
400	26
401	26
402	02
402	26
402	02
402	05
402	02
403	07
403	19
403	07
403	07
406	07
406	19
407	19
407	27
408	33
408	25
409	01
409	23
409	23
409	25
409	15
410	33
410	11
411	19
411	19
412	19
412	03
412	01
412	19
412	08
413	33
413	25
413	01
413	01
413	01
413	01
414	01
414	98
415	01
419	01
420	01
420	01
420	01
420	01
420	01
421	01
421	01
424	08
425	23
425	23
425	33
425	01
425	01
425	07
426	07
426	07
426	05
427	41
428	33
428	15
429	33
430	15
430	07
431	07
432	02
436	08
437	08
437	02
437	08
437	03
437	03
437	08
437	02
437	19
437	08
437	08
437	05
437	07
437	04
438	01
438	07
438	07
438	01
438	07
439	07
440	08
440	08
441	01
441	01
441	33
441	01
441	01
441	01
442	01
442	17
442	25
442	07
443	08
445	01
445	01
446	05
446	05
448	25
448	18
448	33
449	99
449	19
449	07
449	03
450	10
451	16
451	09
451	45
451	04
451	17
451	16
451	16
451	16
452	05
453	27
454	03
454	03
