ID	Reporting restrictions
678	None mentioned
679	None mentioned
680	None mentioned
681	None mentioned
682	None mentioned
683	None mentioned
684	None mentioned
685	None mentioned
686	None mentioned
687	None mentioned
688	None mentioned
689	None mentioned
690	None mentioned
691	None mentioned
692	None mentioned
693	None mentioned
694	None mentioned
695	None mentioned
696	None mentioned
697	None mentioned
698	None mentioned
701	None mentioned
702	‘Embedded’ reporter
703	None mentioned
704	None mentioned
706	None mentioned
707	None mentioned
708	None mentioned
709	None mentioned
710	None mentioned
711	None mentioned
712	None mentioned
713	None mentioned
715	None mentioned
716	None mentioned
718	None mentioned
720	None mentioned
721	None mentioned
722	None mentioned
723	None mentioned
724	None mentioned
725	‘Embedded’ reporter
727	None mentioned
728	None mentioned
729	None mentioned
730	‘Embedded’ reporter
732	None mentioned
733	None mentioned
734	None mentioned
735	None mentioned
737	None mentioned
738	None mentioned
739	None mentioned
740	None mentioned
741	‘Embedded’ reporter
743	None mentioned
744	‘Embedded’ reporter
745	None mentioned
746	None mentioned
747	None mentioned
748	None mentioned
750	None mentioned
751	None mentioned
754	None mentioned
755	None mentioned
756	None mentioned
757	None mentioned
758	None mentioned
759	None mentioned
760	None mentioned
761	None mentioned
764	None mentioned
765	None mentioned
766	None mentioned
767	‘Embedded’ reporter
768	None mentioned
769	None mentioned
770	None mentioned
771	None mentioned
772	‘Embedded’ reporter
184	None mentioned
185	None mentioned
186	None mentioned
187	None mentioned
191	None mentioned
192	None mentioned
193	‘Embedded’ reporter
194	None mentioned
195	None mentioned
197	None mentioned
200	None mentioned
201	None mentioned
202	None mentioned
203	None mentioned
204	None mentioned
205	None mentioned
206	None mentioned
209	None mentioned
211	‘Embedded’ reporter
213	None mentioned
216	None mentioned
217	None mentioned
218	None mentioned
219	None mentioned
220	None mentioned
221	None mentioned
222	None mentioned
223	None mentioned
224	‘Embedded’ reporter
225	None mentioned
226	None mentioned
227	None mentioned
228	None mentioned
229	None mentioned
230	None mentioned
232	‘Embedded’ reporter
233	None mentioned
234	‘Embedded’ reporter
235	None mentioned
236	None mentioned
237	None mentioned
242	None mentioned
243	None mentioned
244	None mentioned
245	None mentioned
246	None mentioned
247	None mentioned
248	None mentioned
249	None mentioned
250	None mentioned
251	None mentioned
252	None mentioned
254	None mentioned
255	None mentioned
256	‘Embedded’ reporter
257	None mentioned
260	None mentioned
261	None mentioned
262	None mentioned
263	None mentioned
264	None mentioned
265	None mentioned
266	None mentioned
267	None mentioned
268	None mentioned
269	None mentioned
270	None mentioned
271	None mentioned
272	None mentioned
273	None mentioned
275	None mentioned
276	None mentioned
278	None mentioned
279	None mentioned
281	None mentioned
282	None mentioned
283	None mentioned
284	None mentioned
285	None mentioned
286	None mentioned
388	None mentioned
391	None mentioned
392	None mentioned
393	None mentioned
394	None mentioned
395	None mentioned
396	None mentioned
397	None mentioned
400	None mentioned
401	None mentioned
402	None mentioned
403	None mentioned
406	None mentioned
407	None mentioned
408	None mentioned
409	None mentioned
410	None mentioned
411	None mentioned
412	None mentioned
413	‘Embedded’ reporter
414	None mentioned
415	None mentioned
419	None mentioned
420	None mentioned
421	None mentioned
424	None mentioned
425	None mentioned
426	None mentioned
427	None mentioned
428	None mentioned
429	None mentioned
430	None mentioned
431	None mentioned
432	None mentioned
436	None mentioned
437	None mentioned
438	None mentioned
439	None mentioned
440	None mentioned
441	‘Embedded’ reporter
442	None mentioned
443	None mentioned
445	None mentioned
446	None mentioned
448	None mentioned
449	None mentioned
450	None mentioned
