ID	Length	Source
468	14	693
469	6	522
470	7	522
471	9	830
471	5	730
471	6	730
471	11	920
471	6	921
472	4	514
476	2	850
476	3	640
476	6	644
476	7	656
477	5	607
477	3	641
477	19	500
478	1	850
478	1	850
479	2	697
479	1	850
479	5	697
479	9	681
479	2	681
480	6	764
480	10	517
481	3	697
481	5	697
481	5	697
481	1	831
485	9	774
486	3	692
486	7	692
486	7	692
488	1	890
488	5	770
489	7	641
489	7	620
490	4	612
490	10	611
492	14	801
492	6	514
492	2	800
492	6	999
492	8	804
494	15	780
494	7	803
494	10	801
494	9	802
495	3	849
495	12	849
496	7	907
496	5	792
497	4	999
497	6	902
497	10	905
497	15	905
497	12	905
499	2	500
499	26	506
499	13	543
499	4	543
499	5	543
500	6	543
500	4	500
500	8	517
500	1	526
501	5	555
501	13	500
501	5	527
501	7	517
503	5	730
503	4	730
503	6	999
504	16	531
504	7	770
506	13	500
507	8	697
507	3	681
507	4	608
507	10	607
508	4	850
508	9	850
508	9	646
511	22	781
511	11	801
511	8	802
511	12	803
512	2	805
512	6	805
512	5	774
512	7	620
515	3	850
515	7	850
515	16	665
515	6	665
516	1	774
517	16	522
517	12	764
518	6	500
518	7	526
518	10	543
518	2	501
519	3	500
522	5	770
522	11	772
523	2	620
523	14	925
523	3	999
523	3	999
523	7	999
523	3	619
525	37	697
526	11	782
526	10	782
526	9	782
526	12	782
526	23	782
526	3	783
526	4	783
526	4	783
527	11	764
527	3	620
527	3	693
527	8	764
528	6	730
528	7	730
528	4	730
529	4	770
529	7	543
529	8	543
530	27	500
530	5	503
530	11	527
530	5	527
530	6	527
530	12	555
530	10	801
530	7	512
530	6	506
530	7	514
530	15	907
530	2	907
530	6	907
531	16	783
531	14	783
532	2	676
533	1	543
533	2	832
533	1	832
534	3	534
534	16	696
534	3	680
534	5	664
534	1	607
535	4	999
535	6	526
535	5	731
536	10	801
536	5	514
536	2	801
536	5	526
536	7	804
537	14	607
537	11	641
537	8	818
537	7	500
538	6	612
538	2	770
538	4	611
317	11	694
317	2	676
318	4	697
321	31	801
321	3	801
322	2	998
323	9	800
324	4	850
324	6	676
324	19	640
324	8	901
324	3	656
325	9	645
325	11	658
325	4	644
325	3	855
325	2	782
326	17	600
327	10	620
327	16	761
329	2	500
330	24	500
330	2	620
330	3	526
330	2	506
330	3	509
330	3	543
331	2	850
331	5	782
331	17	850
331	6	782
331	3	782
331	5	782
333	9	619
333	7	623
333	3	999
333	12	766
334	11	891
335	15	801
335	4	801
335	8	802
335	7	721
335	13	803
336	8	640
336	8	667
336	3	667
336	2	656
336	4	541
336	2	998
338	6	601
339	3	512
339	2	500
339	3	526
339	3	526
339	3	512
339	5	543
339	1	543
339	2	543
339	5	527
339	4	545
339	5	514
339	4	512
339	3	543
340	5	526
340	6	543
340	3	543
340	51	509
340	2	514
340	8	764
341	8	544
341	3	512
341	2	543
341	2	543
342	3	543
342	6	526
344	45	543
344	46	550
344	57	580
344	13	527
