Story ID	Ranking	Subject (What)	Event Initiator	Tone
221	1	94	53	40
221	M	60	53	40
221	M	407	53	32
222	1	96	71	32
222	1	60	71	32
223	1	90	71	32
224	1	26	04	33
225	1	384	52	19
225	M	451	52	19
226	1	350	53	33
226	1	241	53	25
226	1	137	53	33
227	1	242	11	17
227	1	350	11	25
228	1	90	71	40
228	1	291	74	32
229	1	241	11	17
229	1	350	11	17
230	1	242	11	25
230	M	136	11	25
232	1	27	01	26
232	M	392	01	34
233	1	98	03	25
233	1	181	03	25
233	1	60	03	25
234	1	19	03	33
234	1	26	03	33
235	1	291	74	32
236	1	291	53	24
237	1	137	11	33
237	1	138	53	17
242	1	351	04	23
243	1	400	13	19
243	1	451	52	19
244	1	466	52	07
244	1	386	15	04
245	1	148	53	40
245	M	137	53	40
245	M	146	53	40
246	1	290	17	40
247	1	350	11	41
248	1	90	13	19
249	1	186	53	39
250	1	350	11	33
250	1	360	11	41
250	1	148	11	33
251	1	350	53	33
251	1	241	53	21
251	1	242	53	25
252	1	392	11	33
252	1	350	11	33
254	1	466	52	32
254	M	90	74	32
255	1	384	03	11
255	M	29	03	33
256	1	70	74	25
257	1	1	03	33
260	1	90	13	19
260	1	435	13	11
261	1	390	09	42
262	1	26	03	33
262	M	17	03	33
263	1	187	53	33
264	1	148	53	41
264	M	360	53	41
264	M	392	53	41
265	1	242	11	15
266	1	241	11	17
266	M	350	11	17
266	M	242	11	17
267	1	242	11	17
268	1	64	71	08
269	1	350	11	17
269	M	241	11	17
270	1	351	53	09
270	M	242	53	17
271	1	466	52	24
271	1	90	71	24
272	1	386	15	24
272	M	133	15	24
273	1	102	01	27
273	M	64	01	27
275	1	290	71	24
275	M	291	74	24
275	M	90	74	27
276	1	354	71	32
276	M	60	71	32
276	M	61	71	32
278	1	1	03	33
278	M	17	03	33
278	M	384	09	32
279	1	26	03	33
380	1	51	07	31
381	1	292	09	08
381	1	51	74	08
382	1	350	53	33
382	1	360	53	33
382	1	241	53	21
383	1	350	11	33
383	M	242	11	25
383	S	241	11	25
385	1	300	53	33
386	1	90	09	32
386	1	386	09	32
388	1	242	11	25
391	1	350	11	25
391	1	148	11	25
392	1	241	11	25
393	1	242	11	17
394	1	350	11	25
394	M	148	11	25
395	1	96	71	40
395	S	60	71	40
395	S	384	71	19
396	1	430	09	26
396	S	401	09	26
397	1	483	20	26
397	1	292	20	26
400	1	1	53	40
400	M	14	53	19
400	S	464	53	18
401	1	353	53	26
401	M	291	53	18
401	M	405	53	18
402	1	370	53	26
402	M	90	09	26
402	M	148	09	34
403	1	451	52	19
403	1	384	52	19
403	1	400	52	19
406	1	466	53	19
406	M	463	53	19
406	M	166	53	19
406	M	400	53	19
407	1	166	57	19
407	M	432	57	19
408	1	350	53	33
408	1	360	53	33
409	1	242	53	25
409	M	136	53	25
410	1	14	03	11
410	M	17	03	33
411	1	16	24	11
411	S	72	71	40
412	1	1	71	40
412	M	64	71	40
412	S	90	71	19
413	1	17	03	33
413	M	131	03	33
414	1	384	03	19
414	1	446	03	19
415	1	26	04	25
419	1	64	03	01
420	1	231	11	33
420	1	96	11	40
420	1	60	11	40
165	M	231	11	33
421	1	420	11	33
424	1	64	03	40
425	1	284	17	23
425	1	273	18	23
426	1	290	17	40
426	M	137	17	40
427	1	187	53	41
427	M	420	53	33
428	1	284	53	15
429	1	17	53	33
430	1	284	53	15
430	M	176	53	23
430	M	277	53	15
431	1	486	75	07
432	1	301	55	40
432	M	173	55	40
436	1	90	71	24
437	1	90	71	32
437	1	1	71	40
437	S	16	06	19
438	1	396	11	25
438	1	351	11	25
438	1	386	11	25
439	1	186	53	07
440	1	2	71	32
441	1	17	03	33
414	M	400	03	19
1	1	90	11	40
1	1	270	71	40
2	1	90	71	40
2	1	270	71	40
2	1	148	71	40
3	1	350	53	25
3	1	360	53	25
4	1	26	65	33
4	1	420	65	33
5	1	16	24	19
5	M	18	24	19
6	S	148	53	40
6	1	284	53	40
6	1	350	53	33
7	1	350	53	15
7	1	292	53	15
8	1	64	03	33
9	1	39	03	33
10	1	270	71	16
11	1	241	11	17
11	M	350	11	17
13	1	265	53	16
13	1	186	53	24
