Story ID	Ranking	Subject (Whom)	Tone
59	P	514	Straight
61	M	681	Straight
61	S	649	Straight
61	P	693	Straight
61	P	640	Straight
62	M	681	Straight
62	M	697	Straight
62	S	522	Straight
62	P	640	Straight
63	M	697	Straight
63	P	640	Straight
63	P	831	Straight
63	S	815	Straight
63	P	522	Straight
64	M	783	Straight
64	S	782	Straight
64	S	620	Straight
64	S	802	Straight
64	S	801	Straight
64	S	601	Straight
64	P	640	Straight
64	S	656	Straight
64	S	781	Straight
64	S	518	Straight
65	M	603	Straight
65	S	640	Straight
65	P	600	Straight
65	P	886	Straight
65	P	649	Straight
67	S	681	Straight
67	S	697	Straight
67	P	805	Straight
67	S	640	Straight
67	M	693	Straight
67	P	642	Straight
67	P	645	Straight
67	P	658	Straight
68	M	681	Straight
68	M	697	Straight
68	P	640	Straight
68	M	700	Straight
68	M	817	Straight
68	S	772	Straight
68	P	694	Straight
68	S	739	Straight
68	P	532	Straight
69	M	664	Straight
69	M	805	Straight
28	M	697	Straight
85	S	656	Straight
85	S	658	Straight
126	P	763	Straight
126	S	608	Straight
126	S	612	Straight
126	S	500	Straight
126	S	503	Straight
126	P	543	Straight
126	S	540	Straight
126	S	801	Straight
126	P	802	Straight
126	S	803	Straight
126	S	532	Straight
126	S	621	Straight
126	S	780	Straight
126	S	601	Straight
126	P	658	Straight
126	S	644	Straight
126	S	805	Straight
126	S	635	Straight
126	P	518	Straight
126	P	620	Straight
126	P	850	Straight
127	M	999	Straight
127	S	528	Straight
127	M	525	Straight
127	S	784	Straight
127	M	770	Straight
127	M	766	Straight
127	P	640	Straight
128	M	868	Straight
128	M	500	Straight
128	P	600	Straight
128	M	832	Straight
129	M	540	Reinforcing
129	S	543	Straight
129	S	500	Mixed
129	P	600	Deflating
129	S	509	Mixed
129	P	635	Straight
129	P	503	Straight
129	S	830	Straight
130	M	540	Heavily reinforcing
130	P	555	Straight
130	P	999	Straight
130	S	543	Straight
130	S	500	Deflating
130	S	502	Straight
132	S	640	Straight
132	M	681	Straight
132	M	697	Straight
132	S	665	Straight
132	S	649	Straight
133	M	670	Mixed
133	P	600	Straight
133	S	602	Mixed
133	S	612	Straight
133	S	999	Straight
133	S	841	Straight
134	M	677	Straight
134	P	640	Straight
134	S	697	Straight
134	S	690	Straight
135	M	697	Straight
135	P	600	Straight
135	P	640	Straight
135	P	820	Straight
136	M	640	Heavily deflating
136	S	784	Straight
136	P	732	Mixed
136	S	801	Deflating
136	S	803	Deflating
137	S	640	Heavily deflating
137	M	600	Heavily deflating
137	P	500	Straight
137	P	603	Deflating
137	P	605	Deflating
137	P	801	Reinforcing
137	P	999	Straight
138	M	659	Mixed
138	S	600	Straight
138	S	500	Straight
138	S	928	Straight
138	S	640	Straight
138	P	820	Straight
139	M	697	Straight
139	M	765	Straight
140	M	813	Straight
140	S	681	Straight
142	M	862	Reinforcing
142	P	697	Straight
142	M	772	Straight
142	M	774	Straight
143	S	681	Straight
143	S	697	Straight
143	S	600	Straight
143	P	640	Deflating
143	P	620	Straight
143	S	500	Straight
143	S	540	Straight
143	P	509	Deflating
143	P	518	Straight
143	P	832	Straight
143	S	805	Straight
143	P	526	Straight
143	S	512	Straight
143	S	801	Straight
143	S	503	Straight
143	P	501	Straight
143	P	506	Straight
143	P	527	Straight
143	P	525	Straight
143	S	531	Straight
143	S	532	Straight
143	S	607	Straight
144	M	509	Deflating
144	S	500	Straight
144	P	600	Straight
144	S	543	Straight
145	M	697	Straight
145	P	999	Straight
147	M	540	Mixed
147	M	500	Straight
147	P	527	Straight
147	P	503	Straight
147	S	784	Straight
148	M	600	Straight
148	S	640	Deflating
148	P	782	Straight
148	S	780	Straight
148	S	607	Straight
148	P	620	Straight
148	S	644	Straight
148	S	601	Straight
148	S	532	Straight
148	S	801	Straight
148	P	731	Straight
149	M	783	Mixed
149	M	770	Straight
149	S	640	Deflating
149	S	600	Straight
150	M	850	Straight
150	S	640	Straight
150	P	658	Straight
150	P	651	Deflating
150	P	659	Mixed
150	S	664	Straight
150	P	652	Straight
152	M	697	Reinforcing
152	S	681	Straight
152	P	774	Straight
153	M	525	Straight
153	M	543	Straight
153	S	500	Straight
153	S	784	Straight
154	M	697	Straight
155	S	697	Straight
155	S	677	Straight
155	M	693	Straight
155	S	690	Straight
155	S	692	Straight
155	P	500	Straight
155	P	501	Straight
156	S	783	Straight
156	M	500	Mixed
156	M	540	Straight
156	P	801	Straight
156	P	803	Straight
156	P	640	Straight
156	P	503	Straight
156	P	600	Straight
156	P	782	Straight
156	P	763	Straight
156	S	509	Straight
156	P	833	Straight
156	P	699	Straight
156	P	543	Straight
158	M	600	Straight
158	M	640	Straight
158	M	601	Straight
158	P	782	Straight
158	P	999	Straight
158	S	500	Straight
158	S	509	Straight
158	S	780	Straight
158	S	532	Straight
158	P	801	Straight
159	M	540	Straight
159	M	500	Straight
159	S	509	Straight
159	S	525	Straight
159	S	514	Straight
159	S	543	Straight
160	P	782	Straight
160	S	600	Straight
160	S	640	Straight
160	S	540	Straight
160	S	612	Straight
160	P	681	Straight
160	P	697	Straight
160	P	820	Straight
160	S	999	Straight
160	P	783	Straight
161	M	540	Mixed
161	S	545	Straight
161	M	500	Straight
161	S	502	Straight
161	P	504	Straight
161	S	999	Straight
161	P	507	Straight
161	P	868	Straight
161	P	509	Straight
161	P	503	Straight
162	S	543	Straight
162	S	502	Straight
162	S	512	Straight
162	S	503	Straight
162	S	500	Straight
162	P	801	Straight
162	P	640	Straight
162	S	527	Straight
162	P	509	Mixed
162	P	526	Straight
163	S	500	Straight
163	P	512	Straight
163	P	502	Straight
163	P	503	Straight
163	P	504	Straight
163	P	501	Straight
163	P	521	Straight
163	S	505	Straight
163	S	509	Straight
163	P	514	Straight
164	S	850	Straight
164	S	640	Mixed
164	S	782	Straight
164	S	658	Straight
164	P	500	Straight
164	P	600	Straight
164	S	901	Straight
164	P	804	Straight
164	P	733	Straight
164	S	642	Straight
164	P	525	Straight
165	S	640	Straight
165	M	514	Straight
165	P	783	Straight
165	S	856	Straight
166	M	782	Straight
166	S	908	Straight
166	S	783	Straight
166	P	884	Straight
166	P	886	Straight
166	P	640	Straight
166	S	658	Straight
166	S	780	Straight
166	S	643	Straight
166	P	850	Straight
166	S	999	Straight
166	S	804	Straight
165	P	929	Straight
166	P	620	Straight
166	P	907	Straight
167	M	601	Mixed
167	P	640	Straight
167	S	600	Straight
167	S	603	Straight
167	S	602	Mixed
167	P	500	Mixed
167	P	801	Straight
168	M	801	Straight
168	S	526	Straight
168	S	782	Straight
168	S	640	Straight
168	S	531	Straight
168	P	887	Straight
168	P	867	Straight
169	M	791	Straight
169	S	600	Straight
169	M	737	Straight
169	S	790	Straight
169	P	907	Straight
169	M	804	Straight
170	M	783	Mixed
170	S	532	Mixed
170	S	780	Straight
170	P	782	Straight
170	P	526	Straight
170	P	600	Straight
170	P	620	Straight
170	S	781	Straight
170	S	801	Straight
170	S	802	Straight
170	S	621	Deflating
170	P	784	Straight
171	M	525	Straight
171	P	500	Straight
171	S	583	Straight
171	P	640	Straight
171	P	782	Straight
172	M	889	Straight
172	S	600	Mixed
172	M	610	Straight
172	P	640	Straight
172	S	774	Straight
172	S	783	Straight
172	P	764	Straight
173	M	697	Straight
174	P	640	Straight
174	S	518	Straight
174	S	532	Straight
174	S	849	Straight
174	S	620	Straight
174	S	616	Straight
175	M	500	Mixed
175	S	783	Straight
175	P	800	Straight
175	P	810	Straight
175	P	782	Straight
175	S	600	Deflating
175	S	640	Mixed
175	S	801	Mixed
175	S	540	Reinforcing
175	P	697	Straight
176	M	540	Straight
176	S	500	Straight
176	S	509	Mixed
176	P	514	Straight
176	P	924	Straight
176	P	600	Straight
176	P	630	Straight
176	P	502	Straight
176	P	503	Straight
176	P	801	Straight
176	P	525	Straight
176	P	512	Straight
176	P	504	Straight
176	P	543	Straight
176	P	998	Straight
177	M	832	Straight
177	M	500	Reinforcing
177	P	600	Mixed
177	P	528	Straight
177	P	557	Straight
125	M	500	Deflating
41	P	867	Straight
41	S	920	Straight
41	P	866	Straight
42	M	525	Straight
42	P	640	Straight
42	P	500	Straight
42	S	780	Straight
42	S	583	Straight
42	S	502	Straight
42	P	867	Straight
42	S	512	Straight
42	S	503	Straight
42	S	790	Straight
