ID	Subject (what)
532	405
532	050
532	450
532	345
532	016
532	324
532	325
532	096
532	130
533	370
534	002
534	045
534	090
534	021
534	018
536	274
537	050
537	231
537	014
537	131
537	134
537	045
538	405
538	049
538	288
538	384
540	402
540	383
540	406
540	408
540	405
540	166
540	411
540	135
542	166
542	082
542	384
543	072
543	090
543	016
543	234
543	312
544	392
544	234
544	384
544	050
545	407
545	064
545	090
546	134
546	082
547	291
547	405
549	303
549	243
550	405
550	285
551	407
551	443
551	131
551	082
551	403
552	354
552	451
552	345
553	254
553	050
554	130
555	354
556	405
556	448
529	131
529	141
537	048
538	400
542	400
561	234
557	231
557	242
560	241
560	420
560	386
561	148
563	407
563	291
563	234
563	469
563	165
564	090
564	002
564	421
565	060
565	019
567	243
567	050
567	079
567	288
567	148
568	038
568	016
568	096
568	405
568	384
568	021
568	019
569	292
569	405
569	124
569	451
570	072
574	002
574	019
576	274
576	270
576	136
577	136
577	353
577	360
580	354
580	320
582	090
582	292
582	286
584	242
586	060
588	173
588	300
588	160
590	386
591	302
591	163
593	405
593	407
593	408
593	050
593	292
593	395
593	409
593	273
593	016
598	407
598	037
598	051
598	290
598	039
598	017
599	405
599	064
599	165
599	005
599	191
600	400
600	034
601	144
604	072
604	174
604	405
604	064
605	160
606	300
606	292
606	050
607	284
607	060
607	407
611	050
613	090
613	048
613	009
613	166
615	408
615	386
616	002
617	274
620	079
620	060
620	045
620	094
620	014
622	039
622	016
622	002
622	060
622	386
620	386
622	045
622	017
624	400
624	014
625	029
626	050
626	060
626	300
627	420
627	135
627	138
627	393
627	300
627	011
628	241
628	350
628	243
628	356
628	360
628	411
631	037
631	016
631	060
631	064
631	005
631	003
632	290
632	138
632	450
632	264
632	262
632	254
632	234
633	405
633	160
599	048
602	131
606	144
606	146
625	384
633	014
633	017
634	090
634	048
634	014
634	166
636	409
636	406
636	386
636	433
636	131
637	408
637	407
637	164
638	090
639	002
639	175
639	386
639	345
641	090
641	002
643	218
643	134
643	148
643	017
643	037
643	014
643	396
643	016
643	400
643	320
643	430
644	094
643	094
644	400
644	016
645	039
645	405
645	384
645	400
645	084
645	407
647	060
647	408
647	407
648	405
648	011
648	002
650	288
650	021
650	186
650	166
650	226
650	060
651	060
651	232
652	462
653	005
653	234
653	300
653	356
653	131
653	392
653	134
655	384
655	100
655	430
655	406
656	351
658	409
660	173
660	405
660	407
660	016
661	045
661	005
661	014
661	163
661	405
661	060
661	037
661	166
661	384
661	290
662	408
662	226
662	231
662	136
663	021
663	166
663	288
663	164
663	050
663	014
663	163
663	270
663	226
663	037
663	003
663	045
663	005
663	016
665	300
665	163
665	453
665	324
665	146
666	050
667	407
667	050
667	102
667	143
667	263
668	431
668	014
669	029
669	405
669	064
669	045
669	002
670	450
670	453
670	050
670	234
670	288
670	289
670	325
670	134
671	019
671	131
671	234
671	050
671	446
671	291
671	138
672	405
672	285
674	017
645	480
652	166
665	144
670	145
674	019
679	148
674	131
674	018
674	080
674	410
675	170
675	037
675	270
675	134
675	391
675	234
675	353
675	130
676	408
676	136
678	017
678	148
679	483
679	290
680	277
680	285
680	450
680	234
680	226
680	138
680	300
681	026
682	234
682	060
683	274
683	411
683	325
683	147
684	400
684	405
686	170
686	075
686	407
686	304
687	405
687	002
687	351
687	075
687	100
688	302
688	410
688	411
688	164
689	386
689	408
690	408
690	405
692	234
692	325
692	050
692	285
692	324
692	146
692	407
692	165
692	231
