Subject (What)	Main Category	Sub Category
1	Battle	Ground combat/ ongoing battle/ military situation
2	Battle	Air attack 
3	Battle	Coalition aircraft losses
4	Battle	Iraqi aircraft losses (relevant?)
5	Battle	Coalition battle gains
6	Battle	Coalition battle losses
7	Battle	Iraqi battle gains
8	Battle	Iraqi battle losses
9	Battle	Death/ capture of Iraqi leadership (not Saddam)
10	Battle	Coalition attack: general
11	Battle	Coalition attack: effective
12	Battle	Coalition attack: ineffective
13	Battle	Coalition attack: delay/ bad weather
14	Battle	Iraqi resistance: general
15	Battle	Iraqi resistance: fierce/ effective
16	Battle	Iraqi resistance: ineffective/ lack of/ surrender
17	Battle	Coalition troops morale
18	Battle	Iraqi troops morale
19	Battle	Coalition troops expertise
20	Battle	Iraqi troops expertise
21	Battle	Coalition military intelligence
22	Battle	Iraqi military intelligence
23	Battle	Relations between coalition troops
24	Battle	Relations between coalition and Iraqi troops
25	Battle	Relations between Iraqi troops
26	Battle	Daily life of UK troops/human interest
27	Battle	Daily life of US troops/human interest
28	Battle	Daily life of Iraqi troops/human interest
29	Battle	Coalition: specialist equipment/body armour, chemical suits
30	Battle	Iraqis: specialist equipment/body armour, chemical suits
31	Battle	Destruction of homes attributed to coalition
32	Battle	Destruction of homes attributed to Iraqi military
33	Battle	Destruction of homes attributed to non-regular forces
34	Battle	Destruction of infrastructure attributed to coalition
35	Battle	Destruction of infrastructure attributed to Iraqi military
36	Battle	Destruction of infrastructure attributed to non-regular forces
37	Battle	Burning oil fields
38	Battle	Protection of oil fields/ ministry
39	Battle	Removal of mines
40	Battle	Delay: danger of mines
41	Battle	Dolphins or other animals for military purposes
42	Battle	Encounters with civilians: Iraqi troops
43	Battle	Encounters with civilians: coalition troops (UK/US)
44	Battle	Iraqi troop movements
45	Battle	Coalition troop movements
46	Battle	Logistics/ supplies
47	Battle	Post attack/ devastation (emergency workers)
48	Battle	Collapse of regime
49	Battle	War crimes
50	Battle	Length of war
51	Battle	Other: battle: no appropriate code
60	Battle/Weapons	Military technology: air: precision
61	Battle/Weapons	Military technology: air: non-precision
62	Battle/Weapons	Military technology: ground: precision
63	Battle/Weapons	Military technology: ground: non-precision
64	Battle/Weapons	Weapons/technology: other/general
70	Battle/ Tactics	Suicide bomb/ attacks 
71	Battle/ Tactics	Car bomb
72	Battle/ Tactics	Psych-ops Coalition (leaflets/radio broadcasts)
73	Battle/ Tactics	Psych-ops Coalition: playing cards
74	Battle/ Tactics	Psych-ops Iraqi
75	Battle/ Tactics	Attack on media outlet attributed to coalition
76	Battle/ Tactics	Attack on media outlet attributed to Iraqi military
77	Battle/ Tactics	Attack on media outlet attributed to non-regular forces
78	Battle/ Tactics	Depleted Uranium
79	Battle/ Tactics	Cluster bombs
80	Battle/ Tactics	Use of human shields/ citizens by Iraq authorities
81	Battle/ Tactics	Guerrilla tactics
82	Battle/ Tactics	Other Iraqi non-conventional/dubious tactics
83	Battle/ Tactics	Other Coalition non-conventional/dubious tactics
84	Battle/ Tactics	Distinction made between UK and US military methods
85	Battle/ Tactics	Battle/ Tactics: other/general
90	Strategy	Deadlines for action/war
91	Strategy	Distinction made between UK and US strategy
92	Strategy	Distinction made between UK and US goals
93	Strategy	Unification/synchronisation of coalition strategy
94	Strategy	Description of 'Shock and Awe' (explicit mention)
95	Strategy	Evaluation of 'Shock and Awe'
96	Strategy	Description of Coalition military strategy
97	Strategy	Description of Coalition military goals
98	Strategy	Description of UK military strategy
99	Strategy	Description of UK military goals
100	Strategy	Description of US military strategy
101	Strategy	Description of US military goals
102	Strategy	Description of Iraqi military strategy
103	Strategy	Description of Iraqi military goals
104	Strategy	Success of Coalition military strategy
105	Strategy	Failure of Coalition military strategy
106	Strategy	Success of Coalition military goals
107	Strategy	Failure of Coalition military goals
108	Strategy	Success of UK military strategy
109	Strategy	Failure of UK military strategy
110	Strategy	Success of UK military goals
111	Strategy	Failure of UK military goals
112	Strategy	Success of US military strategy
113	Strategy	Failure of US military strategy
114	Strategy	Success of US military goals
115	Strategy	Failure of US military goals
116	Strategy	Success of Iraqi military strategy
117	Strategy	Failure of Iraqi military strategy
118	Strategy	Success of Iraqi military goals
119	Strategy	Failure of Iraqi military goals
120	Strategy	Evaluation of coalition strategy, ground and general
121	Strategy	Evaluation of coalition air attack
122	Strategy	Evaluation of Iraqi strategy, ground and general
123	Strategy	Evaluation of Iraqi air attack (relevant?)
124	Strategy	Deployment of troops/ sufficient numbers
125	Strategy	Strategy: other/general
130	Rationale	Rationale: humanitarian general
131	Rationale	Regime change: Humanitarian argument for change
132	Rationale	Regime change: war will worsen situation
133	Rationale	Rationale: WMDs general
134	Rationale	WMD as justification/ threat to UK/ 45 mins
135	Rationale	WMD threat does not exist
136	Rationale	Rationale: Legal argument general/ UN 
137	Rationale	Legal basis: Iraq's failure to comply with UN resolutions
138	Rationale	Legal basis: no UN or legal mandate
139	Rationale	Rationale: Coalition self interest general
140	Rationale	Self Interest/ imperialist aims UK
141	Rationale	Self Interest/ imperialist aims US
142	Rationale	Rationale: oil rights general
143	Rationale	Oil rights as reason for war
144	Rationale	Oil in trust fund for Iraqi people
145	Rationale	Rationale: regional stability general
146	Rationale	Regional stability as outcome of war
147	Rationale	Regional instability as outcome of war
148	Rationale	Rationale: other/general
160	Media	Embedded reporter(s) as subject
163	Media	UK media strategy (spin, briefings)
164	Media	US media strategy
165	Media	Coalition media strategy
166	Media	Iraqi media strategy
167	Media	Media technology
168	Media	Internet
169	Media	Censorship by Iraqi leadership
170	Media	Censorship by coalition
171	Media	Inaccuracy of media report
172	Media	UK media coverage
173	Media	US media coverage
174	Media	Arab media coverage
175	Media	Iraqi media coverage
176	Media	About other international coverage
177	Media	24/7 media coverage - mechanisms
178	Media	24/7 media coverage: effects on perceptions of events
179	Media	24/7 media coverage: effects on perception of length of war
180	Media	Media story
181	Media	Government's sensitivity to media coverage
182	Media	Media casualties, no attribution of responsibility
183	Media	Media casualties, responsibility of coalition
184	Media	Media casualties, responsibility of Iraqi military
185	Media	Media casualties, responsibility of non-regular forces
186	Media	Media: other/general
187	Media	Media support/campaign for troops
190	POW	Prisoners of war/ MIA: coalition
191	POW	Prisoners of war/ MIA: Iraqi
192	POW	Kidnapping/ murder of civilians
193	POW	Kidnapping/ murder of coalition military
194	POW	Kidnapping/ murder of Iraqi military
195	POW	Torture or abuse: coalition POWs
196	POW	Torture or abuse: Iraqi POWs
197	POW	Torture or abuse: civilians
198	POW	POWs/ MIAs: other/general
200	Casualties	Overall Body Count/ or as an issue
201	Casualties	UK military casualties, no attribution of responsibility
202	Casualties	UK military casualties, responsibility of coalition
203	Casualties	UK military casualties, responsibility of Iraqi military
204	Casualties	UK military casualties, responsibility of non-regular forces
205	Casualties	UK military casualties: personalization/obituary
206	Casualties	UK military casualties: statistical information only
207	Casualties	UK military casualties: family reaction supportive of war
208	Casualties	UK military casualties: family reaction critical of war
209	Casualties	US military casualties, no attribution of responsibility
210	Casualties	US military casualties, responsibility of coalition
211	Casualties	US military casualties, responsibility of Iraqi military
212	Casualties	US military casualties, responsibility of non-regular forces
