.	Main Category	Sub Category
1	Battle	Live: air attack
2	Battle	Not live: air attack
3	Battle	Live footage: battlefield Baghdad: incoming fire
4	Battle	Live footage: battlefield Baghdad: outgoing fire
5	Battle	Live footage: battlefield Baghdad: mix of firing
6	Battle	Live footage: Baghdad: no firing/ soldiers patrolling
7	Battle	Not live/unclear: battlefield Baghdad: incoming fire
8	Battle	Not live/unclear: battlefield Baghdad: outgoing fire
9	Battle	Not live/unclear: battlefield Baghdad: mix of firing
10	Battle	Not Live: Baghdad: no firing/ soldiers patrolling
11	Battle	Live: battlefield Basra: incoming fire
12	Battle	Live: battlefield Basra: outgoing fire
13	Battle	Live: battlefield Basra: mix of firing
14	Battle	Live: battlefield Basra: no firing/ soldiers patrolling
15	Battle	Not live: battlefield Basra: incoming fire
16	Battle	Not live: battlefield Basra: outgoing fire
17	Battle	Not live: battlefield Basra: mix of firing
18	Battle	Not live: Basra: no firing/ soldiers patrolling
19	Battle	Live: battlefield desert: incoming fire
20	Battle	Live: battlefield desert: outgoing fire
21	Battle	Live: battlefield desert: mix of firing
22	Battle	Live: battlefield desert: no firing/ soldiers patrolling
23	Battle	Not live: battlefield desert: incoming fire
24	Battle	Not live: battlefield desert: outgoing fire
25	Battle	Not live: battlefield desert: mix of firing
26	Battle	Not live: battlefield desert: no firing/ soldiers patrolling
27	Battle	Live: battlefield other: incoming fire
28	Battle	Live: battlefield other: outgoing fire
29	Battle	Live: battlefield other: mix of firing
30	Battle	Live: battlefield other: no firing/ soldiers patrolling
31	Battle	Not live: battlefield other: incoming fire
32	Battle	Not live: battlefield other: outgoing fire
33	Battle	Not live: battlefield other: mix of firing
34	Battle	Not live: battlefield other: no firing/ soldiers patrolling
35	Battle	Live: Aircraft carrier/ship
36	Battle	Not live: Aircraft carrier/ship
37	Battle	Battlefield: bad weather/ no advance
38	Battle	UK troops/ interview/daily life/focus
39	Battle	US troops/ interview/daily life/focus
40	Battle	Iraqi troops/ interview/daily life/focus
41	Battle	Psych-ops (leaflet distribution/ radio broadcasts/cards)
42	Battle	Guerrilla tactics/Fedayeen 
43	Battle	Suicide bombing
44	Battle	Car bomb
45	Battle	Damage to infrastructure by Iraqis
46	Battle	Damage to infrastructure by Coalition  
47	Battle	Damage to media outlet by Iraqis
48	Battle	Damage to media outlet by Coalition  
49	Battle	Body armour/chemical protection: coalition soldiers wearing
50	Battle	Body armour/chemical protection: Iraqi soldiers wearing
51	Battle	Body armour/ chemical protection: lack of/ concern
52	Battle	Dolphins or other animals for military purposes
53	Battle	Airplanes/helicopters taking off/landing
54	Battle	Site of missile attack/ post attack scenes
55	Battle	Encounters between Iraqi troops and civilians
56	Battle	Encounters between Coalition troops and civilians
57	Battle	Soldiers searching property
58	Battle	Downed aircraft
59	Battle	Battle: other
60	Battle/Weapons	Visuals focusing on precision bombing
61	Battle/Weapons	Coalition footage/slides of bomb targets
62	Battle/Weapons	Military hardware/ tanks
63	Battle/Weapons	Weapons: other
70	Strategy	Coalition civilian leader on military policy/ goals
71	Strategy	Coalition military leader on military policy/ goals
72	Strategy	Iraqi civilian leader on military policy/ goals
73	Strategy	Iraqi military leader on military policy/ goals
74	Strategy	Visuals/Maps used to demonstrate tactics (not weapons)
75	Strategy	UK military leader as focus
76	Strategy	US military leader as focus
77	Strategy	Iraqi military leader as focus
78	Strategy	Strategy: other
90	Rationale/Historical	Library footage of WMDs
91	Rationale/Historical	Library footage of past Gulf War/ other conflict
92	Rationale/Historical	Library footage of past humanitarian crises
93	Rationale/Historical	Torture chambers/ prisons
94	Rationale/Historical	Weapons inspectors/ interview
95	Rationale/Historical	Rationale/Historical: other
110	Media	Reporter under fire
111	Media	Own reporter as main subject
112	Media	Other UK reporter/media as main subject
113	Media	Other US reporter/media as main subject
114	Media	Other Iraqi reporter/media as main subject
115	Media	Arab reporter/media outlet as subject
