ID	Source
1	509
2	509
6	850
6	640
6	901
7	849
7	640
8	803
8	801
8	525
8	784
9	527
11	693
14	832
16	608
18	640
23	640
23	600
23	500
1	503
23	833
23	509
24	801
24	802
25	600
25	863
27	640
28	640
29	681
33	832
34	801
34	512
35	658
37	677
38	677
38	608
38	623
38	801
39	518
40	500
41	509
41	500
42	832
43	736
43	736
44	612
44	602
44	677
44	696
45	500
45	527
45	543
46	813
48	889
50	527
52	998
53	833
53	527
55	843
55	620
56	640
56	783
56	801
56	526
56	620
57	528
57	998
58	514
60	998
63	850
63	677
63	640
64	643
64	850
64	850
64	641
64	998
65	677
65	815
66	681
67	815
69	805
69	608
69	680
70	533
70	526
73	526
74	514
75	677
75	620
75	526
77	677
79	620
79	901
80	693
81	612
81	522
83	645
85	805
85	693
85	677
85	696
87	518
87	800
91	998
92	608
95	693
95	692
96	645
96	681
97	620
97	656
99	868
100	620
100	620
101	514
102	901
102	697
102	612
102	681
103	533
106	804
106	792
106	739
106	803
106	721
106	804
107	802
110	526
110	801
110	518
111	901
113	905
115	656
116	901
116	656
120	645
122	693
122	830
124	607
124	600
124	602
125	803
127	998
127	833
129	677
129	697
129	693
130	643
132	805
133	608
134	612
134	693
135	602
135	503
135	697
135	693
136	522
136	697
139	907
141	612
141	608
143	600
143	500
143	998
145	693
145	612
145	674
145	696
146	602
146	612
148	804
149	850
150	643
151	612
151	645
152	643
153	697
154	697
156	681
157	697
158	880
158	886
159	681
159	645
160	612
160	998
161	612
162	693
162	623
162	645
162	882
163	602
164	500
164	526
164	501
167	600
167	640
173	693
174	693
176	522
176	612
176	664
178	602
178	608
178	805
179	710
179	720
181	620
182	620
183	681
184	681
185	681
186	600
186	998
186	612
186	901
188	730
188	731
189	730
191	832
191	868
194	850
194	681
195	681
196	612
197	656
197	645
198	620
198	526
199	649
199	697
199	998
199	645
200	677
200	602
200	612
200	674
202	677
203	652
203	681
203	645
203	643
203	645
204	645
204	677
205	600
205	526
205	501
206	672
207	645
207	864
207	881
207	522
208	522
208	500
209	677
209	850
209	645
209	764
210	681
212	697
212	693
213	670
213	602
215	640
215	620
217	832
217	868
218	677
219	620
219	526
220	803
222	774
224	905
224	811
224	677
226	905
227	620
228	677
229	500
229	697
230	670
231	681
236	640
237	501
238	643
238	620
238	612
239	774
241	543
244	526
244	620
244	656
244	697
244	783
245	677
247	522
247	693
248	641
249	656
250	762
253	651
255	608
255	998
258	620
258	526
259	693
259	645
259	500
260	697
261	697
262	697
263	602
263	697
264	680
265	602
265	645
266	697
267	697
269	998
270	500
270	812
270	605
271	804
272	998
272	841
274	830
274	830
274	832
274	841
277	697
278	681
280	901
282	850
282	697
283	500
283	998
284	602
285	693
285	656
288	645
289	692
291	677
292	697
293	677
297	522
298	833
299	500
300	645
300	677
300	850
300	901
300	850
302	762
302	677
303	693
304	681
305	903
305	693
305	696
305	901
306	681
306	681
306	680
307	693
308	649
308	783
309	620
309	850
310	902
310	612
311	998
311	784
312	514
312	801
314	522
315	543
316	905
318	514
318	832
319	887
320	677
321	677
322	681
323	998
324	697
327	850
329	903
329	500
331	612
333	677
336	677
336	601
338	697
340	677
341	998
343	645
343	645
343	677
344	998
344	612
346	907
348	600
348	500
348	612
349	697
350	683
351	612
352	998
352	697
353	522
353	612
353	873
353	903
354	641
354	907
354	501
354	500
354	620
354	602
355	612
356	656
358	901
358	677
359	677
359	620
359	998
359	681
359	693
360	502
363	998
365	677
367	500
367	868
367	612
368	850
369	612
371	683
372	677
372	850
373	501
374	850
375	697
375	850
377	697
378	765
378	645
378	677
378	850
379	998
380	697
381	645
382	677
383	677
383	612
384	608
384	811
385	676
385	602
388	500
388	514
389	697
391	850
391	850
391	850
392	677
393	677
395	697
395	697
400	903
402	612
404	612
405	998
406	693
406	697
406	600
406	850
407	677
407	620
407	693
407	681
407	677
408	697
408	640
410	608
411	676
411	677
411	623
412	602
412	811
413	783
413	603
413	619
413	692
413	764
414	697
415	803
417	905
417	665
418	998
418	765
418	677
420	620
420	612
420	645
421	693
421	656
422	600
422	850
423	514
423	696
423	765
423	643
423	850
424	645
424	526
424	620
425	832
425	602
426	620
426	665
429	842
431	645
431	514
432	620
432	693
432	850
432	998
433	620
434	677
434	821
434	998
435	677
435	998
436	670
436	891
436	602
437	504
441	681
441	998
441	816
441	656
441	620
441	901
442	998
442	643
442	850
443	501
443	692
444	531
445	692
445	531
445	697
447	623
447	842
447	612
448	811
448	816
449	886
449	600
450	677
451	693
451	850
453	693
453	998
456	811
456	602
456	905
457	602
457	526
460	522
463	998
463	677
463	891
463	600
464	697
464	656
466	640
466	764
466	656
466	620
466	903
467	645
468	601
468	998
468	600
468	614
468	503
470	739
471	998
471	999
471	640
472	640
472	600
473	503
474	500
474	612
474	681
474	850
475	674
476	656
476	891
477	816
477	640
478	640
478	643
1276	677
480	656
480	681
481	805
482	541
482	832
483	999
484	674
484	602
484	500
484	514
