ID	Coding frame used	Tone
1	Not applicable	
2	Not applicable	
3	Not applicable	
4	Not applicable	
5	Not applicable	
6	Not applicable	
7	Not applicable	
8	Not applicable	
9	Not applicable	
10	Not applicable	
11	Not applicable	
12	Strategy	19
13	Not applicable	
14	Not applicable	
15	Not applicable	
17	Strategy	40
18	Not applicable	
19	Not applicable	
20	Not applicable	
21	Not applicable	
22	Not applicable	
23	Not applicable	
24	Not applicable	
25	Not applicable	
26	Not applicable	
27	Not applicable	
28	Not applicable	
29	Not applicable	
30	Not applicable	
31	Not applicable	
32	Not applicable	
33	Not applicable	
34	Not applicable	
35	Not applicable	
36	Justification: Humanitarian (Blairite)	19
36	Battle	40
38	Justification: WMDs	26
39	Not applicable	
40	Not applicable	
41	Not applicable	
42	Not applicable	
43	Not applicable	
44	Civilian casualties	32
45	Not applicable	
46	Not applicable	
47	Not applicable	
48	Not applicable	
49	Not applicable	
50	Not applicable	
51	Not applicable	
52	Not applicable	
53	Not applicable	
54	Justification: WMDs	19
55	Not applicable	
56	Not applicable	
57	Not applicable	
58	Not applicable	
59	Not applicable	
60	Not applicable	
61	Not applicable	
63	Not applicable	
64	Not applicable	
65	Justification: WMDs	25
66	Not applicable	
67	Not applicable	
68	Not applicable	
69	Not applicable	
70	Not applicable	
71	Not applicable	
72	Not applicable	
73	Not applicable	
74	Not applicable	
75	Not applicable	
76	Not applicable	
77	Strategy	27
78	Not applicable	
79	Not applicable	
80	Not applicable	
81	Battle	40
82	Not applicable	
83	Not applicable	
84	Not applicable	
85	Strategy	32
86	Not applicable	
87	Not applicable	
88	Not applicable	
89	Not applicable	
90	Not applicable	
91	Not applicable	
92	Not applicable	
93	Battle	40
94	Battle	40
95	Battle	25
95	Justification: WMDs	27
96	Battle	27
97	Battle	32
98	Not applicable	
99	Strategy	40
100	Not applicable	
101	Not applicable	
102	Battle	32
103	Not applicable	
104	Not applicable	
105	Not applicable	
106	Not applicable	
107	Not applicable	
108	Strategy	26
109	Not applicable	
110	Not applicable	
111	Battle	40
112	Battle	40
113	Battle	25
114	Not applicable	
115	Battle	40
116	Battle	27
117	Battle	26
117	Justification: WMDs	19
118	Battle	34
119	Battle	34
120	Battle	35
120	Justification: WMDs	19
121	Battle	40
122	Not applicable	
123	Not applicable	
124	Not applicable	
125	Not applicable	
126	Not applicable	
127	Not applicable	
129	Battle	40
130	Battle	40
131	Battle	40
132	Not applicable	
133	Battle	40
134	Battle	40
135	Battle	32
136	Battle	40
137	Battle	32
138	Battle	34
139	Not applicable	
140	Not applicable	
141	Battle	34
142	Not applicable	
143	Battle	34
144	Battle	40
145	Strategy	26
145	Battle	40
146	Strategy	40
147	Not applicable	
148	Not applicable	
149	Battle	40
150	Battle	40
151	Battle	40
152	Battle	40
153	Battle	40
154	Battle	33
154	Coalition military casualties	25
155	Coalition military casualties	25
155	Battle	25
156	Battle	34
157	Battle	40
158	Not applicable	
159	Battle	34
160	Not applicable	
161	Strategy	34
162	Not applicable	
163	Strategy	40
164	Civilian casualties	25
164	Coalition military casualties	25
165	Not applicable	
166	Battle	40
167	Battle	40
168	Battle	40
169	Not applicable	
170	Battle	40
171	Battle	32
172	Battle	34
173	Battle	40
174	Not applicable	
175	Coalition military casualties	25
176	Strategy	40
177	Not applicable	
178	Not applicable	
179	Not applicable	
180	Not applicable	
181	Battle	40
182	Battle	40
183	Battle	32
184	Battle	34
185	Battle	26
186	Not applicable	
187	Coalition military casualties	32
188	Not applicable	
189	Not applicable	
190	Not applicable	
191	Not applicable	
192	Not applicable	
193	Battle	32
194	Battle	40
195	Battle	34
196	Battle	32
197	Battle	40
197	Civilian casualties	24
198	Battle	32
199	Battle	32
199	Coalition military casualties	24
199	Civilian casualties	24
200	Coalition military casualties	18
201	Coalition military casualties	24
202	Coalition military casualties	32
203	Battle	35
204	Battle	32
205	Battle	24
206	Battle	24
207	Not applicable	
208	Battle	32
208	Coalition military casualties	17
209	Battle	24
210	Battle	34
211	Battle	32
212	Battle	24
213	Battle	27
214	Not applicable	
215	Not applicable	
216	Battle	26
217	Not applicable	
218	Not applicable	
219	Battle	25
220	Not applicable	
221	Not applicable	
222	Not applicable	
223	Not applicable	
224	Civilian casualties	18
225	Not applicable	
226	Justification: Humanitarian (Blairite)	24
227	Not applicable	
228	Not applicable	
229	Not applicable	
230	Battle	32
231	Battle	35
232	Battle	35
233	Battle	40
234	Civilian casualties	01
235	Battle	33
236	Battle	32
237	Not applicable	
238	Coalition military casualties	18
239	Battle	32
240	Battle	40
241	Justification: Humanitarian (Blairite)	33
242	Not applicable	
243	Not applicable	
244	Battle	25
245	Battle	34
246	Battle	26
247	Battle	25
248	Battle	32
249	Not applicable	
250	Not applicable	
251	Battle	08
252	Battle	32
252	Strategy	32
253	Battle	27
253	Strategy	27
254	Coalition military casualties	18
255	Not applicable	
256	Coalition military casualties	25
257	Not applicable	
258	Battle	32
259	Battle	25
260	Battle	25
261	Battle	25
262	Battle	25
263	Battle	32
263	Justification: Humanitarian (Blairite)	33
264	Battle	26
265	Not applicable	
266	Battle	32
266	Strategy	32
267	Strategy	32
268	Not applicable	
269	Not applicable	
270	Not applicable	
271	Not applicable	
272	Strategy	26
273	Strategy	26
274	Not applicable	
275	Battle	25
275	Justification: Humanitarian (Blairite)	33
276	Battle	25
277	Justification: Humanitarian (Blairite)	19
277	Strategy	25
278	Battle	26
279	Battle	26
280	Civilian casualties	32
281	Battle	32
281	Strategy	32
282	Justification: Humanitarian (Blairite)	33
283	Not applicable	
284	Coalition military casualties	26
285	Coalition military casualties	32
286	Coalition military casualties	25
287	Coalition military casualties	25
288	Battle	33
289	Strategy	25
290	Justification: Humanitarian (Blairite)	40
291	Battle	32
292	Battle	40
292	Justification: Humanitarian (Blairite)	40
293	Strategy	32
294	Battle	40
295	Not applicable	
296	Not applicable	
297	Coalition military casualties	25
1118	Not applicable	
298	Not applicable	
299	Strategy	32
300	Civilian casualties	24
301	Civilian casualties	26
302	Civilian casualties	26
303	Battle	32
304	Battle	18
305	Battle	25
306	Battle	34
307	Humanitarian issues (aid delivery)	25
308	Humanitarian issues (aid delivery)	33
309	Justification: Humanitarian (Blairite)	19
310	Civilian casualties	26
311	Not applicable	
312	Not applicable	
313	Not applicable	
