ID	Justification	Subject (Whom)	Tone
1	22	509	Assumed
1	22	540	Reinforcing
1	01	512	Reinforcing
2	14	998	Assumed
2	09	512	Reinforcing
2	01	512	Reinforcing
2	25	512	Reinforcing
3	13	780	Reinforcing
3	01	601	Assumed
3	14	801	Reinforcing
5	19	801	Assumed
5	12	801	Reinforcing
6	15	640	Reinforcing
8	12	801	Reinforcing
8	12	774	Reinforcing
8	01	525	Reinforcing
8	12	774	Reinforcing
9	01	525	Assumed
15	14	540	Assumed
15	22	540	Assumed
16	13	780	Assumed
16	01	601	Assumed
23	22	540	Assumed
23	22	509	Assumed
23	01	503	Reinforcing
24	14	802	Assumed
24	22	801	Assumed
24	01	601	Assumed
30	22	540	Reinforcing
32	22	540	Reinforcing
33	22	830	Questioned
33	01	830	Reinforcing
33	01	830	Deflating
34	09	500	Reinforcing
34	22	543	Assumed
34	10	500	Reinforcing
34	31	543	Reinforcing
34	31	500	Deflating
34	11	500	Reinforcing
34	31	543	Assumed
34	22	540	Assumed
37	11	692	Reinforcing
40	22	509	Assumed
41	01	506	Reinforcing
41	25	506	Reinforcing
48	10	500	Reinforcing
48	11	500	Reinforcing
48	09	550	Reinforcing
48	14	580	Reinforcing
48	19	543	Assumed
51	07	600	Reinforcing
69	21	802	Reinforcing
69	12	803	Reinforcing
69	01	621	Assumed
69	01	532	Reinforcing
86	26	500	Reinforcing
86	25	500	Assumed
88	31	849	Assumed
88	31	849	Reinforcing
89	02	830	Reinforcing
89	21	830	Assumed
106	03	791	Reinforcing
109	33	830	Reinforcing
126	26	500	Reinforcing
126	27	500	Reinforcing
126	02	550	Reinforcing
126	28	550	Reinforcing
126	10	500	Assumed
141	27	600	Reinforcing
141	02	600	Reinforcing
143	02	615	Reinforcing
143	23	615	Reinforcing
179	21	720	Assumed
180	21	830	Assumed
189	15	541	Reinforcing
189	13	730	Assumed
221	25	500	Assumed
223	33	925	Reinforcing
227	30	818	Assumed
227	02	818	Deflating
241	02	500	Reinforcing
257	02	830	Deflating
283	02	500	Reinforcing
290	02	500	Reinforcing
318	02	500	Reinforcing
331	02	600	Reinforcing
335	02	600	Reinforcing
335	02	500	Reinforcing
354	02	512	Reinforcing
354	03	512	Reinforcing
355	02	600	Reinforcing
355	02	500	Reinforcing
355	10	500	Reinforcing
363	02	500	Reinforcing
363	02	603	Reinforcing
363	02	862	Questioned
363	12	998	Assumed
364	02	667	Deflating
364	02	611	Reinforcing
366	02	600	Reinforcing
386	33	738	Reinforcing
386	31	816	Reinforcing
412	13	811	Reinforcing
412	19	811	Assumed
425	04	774	Assumed
425	05	774	Assumed
425	10	774	Reinforcing
429	02	841	Assumed
429	07	840	Reinforcing
435	02	602	Reinforcing
456	12	811	Assumed
461	02	830	Assumed
469	12	541	Reinforcing
470	12	739	Assumed
482	12	541	Assumed
493	12	999	Assumed
537	21	862	Reinforcing
537	12	543	Assumed
537	21	543	Assumed
537	07	512	Assumed
537	03	512	Assumed
537	02	527	Reinforcing
537	12	543	Reinforcing
537	21	543	Reinforcing
592	31	818	Reinforcing
611	23	611	Assumed
647	23	500	Assumed
664	02	600	Reinforcing
664	23	500	Reinforcing
675	02	503	Reinforcing
676	10	603	Reinforcing
682	23	667	Questioned
688	10	840	Reinforcing
688	10	840	Reinforcing
688	02	602	Reinforcing
689	33	849	Assumed
689	30	902	Assumed
702	02	600	Reinforcing
702	02	500	Assumed
719	23	500	Assumed
719	23	600	Assumed
719	23	661	Assumed
737	02	602	Reinforcing
749	31	925	Assumed
749	13	730	Reinforcing
756	21	730	Assumed
759	15	645	Reinforcing
771	02	771	Assumed
771	02	601	Reinforcing
832	02	850	Reinforcing
839	02	600	Reinforcing
839	07	608	Reinforcing
845	07	608	Reinforcing
852	25	607	Assumed
890	12	541	Reinforcing
900	02	667	Reinforcing
917	26	500	Reinforcing
920	01	601	Reinforcing
920	14	801	Assumed
920	12	780	Assumed
923	01	503	Reinforcing
923	02	540	Questioned
926	19	802	Assumed
935	02	500	Reinforcing
936	19	802	Assumed
936	22	803	Reinforcing
939	26	500	Reinforcing
939	27	500	Reinforcing
957	12	818	Assumed
962	02	601	Reinforcing
963	02	602	Reinforcing
982	02	500	Reinforcing
992	23	692	Reinforcing
1002	11	601	Reinforcing
1002	02	601	Reinforcing
1002	23	601	Reinforcing
1042	02	500	Reinforcing
1042	25	500	Reinforcing
1053	02	862	Assumed
1060	23	600	Reinforcing
1060	23	500	Reinforcing
1065	29	850	Reinforcing
1067	02	602	Reinforcing
1079	03	601	Reinforcing
1083	02	602	Reinforcing
1084	02	600	Reinforcing
1088	11	500	Reinforcing
1089	02	830	Assumed
1103	23	500	Reinforcing
1110	02	500	Reinforcing
1111	07	675	Reinforcing
1117	10	500	Reinforcing
1118	10	500	Reinforcing
1118	11	500	Assumed
1118	03	550	Reinforcing
1118	13	543	Assumed
1118	12	543	Assumed
1118	21	543	Assumed
1142	03	506	Reinforcing
1142	02	506	Reinforcing
1142	01	506	Assumed
1143	12	730	Assumed
1151	26	500	Reinforcing
1151	27	500	Reinforcing
1151	10	500	Reinforcing
1151	07	500	Reinforcing
1151	02	500	Reinforcing
1151	23	500	Reinforcing
1151	25	500	Reinforcing
1221	02	600	Assumed
1223	21	540	Assumed
1252	23	611	Assumed
1253	02	500	Reinforcing
1272	02	600	Reinforcing
1286	02	500	Assumed
