ID	Justification	Subject (Whom)	Tone
4	03	801	Deflating
11	01	692	Reinforcing
15	05	540	Assumed
15	01	540	Questioned
3	01	532	Assumed
16	01	532	Assumed
24	01	532	Assumed
33	08	722	Reinforcing
35	08	640	Reinforcing
35	08	644	Reinforcing
38	01	862	Mixed
38	01	801	Mixed
43	03	791	Reinforcing
43	05	736	Reinforcing
44	02	773	Assumed
48	02	500	Assumed
54	02	676	Assumed
56	08	640	Reinforcing
65	01	862	Mixed
86	02	500	Assumed
89	02	830	Assumed
90	01	600	Assumed
97	08	640	Reinforcing
101	02	503	Assumed
106	08	739	Reinforcing
106	06	739	Reinforcing
141	03	600	Assumed
143	01	615	Reinforcing
175	03	500	Assumed
189	05	730	Reinforcing
212	02	697	Assumed
221	02	500	Reinforcing
226	08	905	Reinforcing
226	05	905	Reinforcing
240	02	672	Reinforcing
245	02	681	Assumed
247	02	697	Reinforcing
257	05	830	Reinforcing
265	08	645	Reinforcing
282	02	862	Assumed
291	08	643	Reinforcing
296	02	600	Reinforcing
296	03	600	Reinforcing
296	01	600	Reinforcing
302	02	655	Deflating
307	02	692	Reinforcing
312	02	600	Assumed
328	02	676	Reinforcing
330	02	500	Reinforcing
346	08	849	Reinforcing
355	01	500	Reinforcing
357	08	656	Reinforcing
363	02	602	Reinforcing
364	05	667	Reinforcing
364	05	611	Deflating
366	02	500	Reinforcing
375	02	703	Assumed
386	08	849	Reinforcing
388	02	500	Reinforcing
398	02	600	Reinforcing
403	02	830	Mixed
403	02	830	Assumed
403	08	830	Assumed
403	04	845	Deflating
415	03	803	Deflating
417	02	665	Assumed
422	08	850	Assumed
425	05	774	Assumed
425	08	774	Assumed
437	08	540	Assumed
441	04	816	Questioned
448	04	816	Questioned
461	02	830	Assumed
466	08	765	Reinforcing
468	04	619	Assumed
472	08	812	Assumed
496	08	998	Assumed
497	02	817	Reinforcing
497	01	817	Assumed
498	04	774	Questioned
1280	02	850	Questioned
509	02	850	Assumed
527	08	644	Reinforcing
533	02	600	Reinforcing
537	08	730	Assumed
537	05	512	Deflating
543	02	692	Assumed
544	02	862	Assumed
561	02	830	Assumed
565	02	500	Assumed
591	02	611	Assumed
612	02	862	Assumed
623	01	501	Reinforcing
626	02	690	Assumed
634	02	850	Assumed
644	02	697	Assumed
647	02	600	Assumed
648	06	733	Reinforcing
648	06	862	Assumed
650	02	862	Reinforcing
665	02	862	Mixed
672	06	850	Reinforcing
672	05	850	Assumed
672	02	850	Mixed
672	02	850	Reinforcing
673	02	850	Assumed
673	05	850	Assumed
674	02	862	Assumed
676	02	602	Assumed
681	02	850	Reinforcing
684	02	862	Assumed
687	02	862	Assumed
702	05	902	Assumed
702	08	849	Assumed
702	05	849	Assumed
702	08	850	Assumed
703	02	611	Reinforcing
703	05	817	Assumed
707	02	681	Assumed
707	02	681	Assumed
712	02	600	Assumed
712	02	500	Assumed
725	02	850	Questioned
725	02	512	Reinforcing
729	02	600	Reinforcing
729	01	600	Reinforcing
746	01	645	Deflating
749	08	730	Assumed
756	06	543	Reinforcing
756	04	925	Deflating
763	08	730	Assumed
769	02	600	Assumed
785	03	697	Assumed
796	02	500	Assumed
799	02	772	Assumed
807	02	619	Assumed
807	05	619	Deflating
807	05	850	Assumed
808	02	600	Assumed
819	02	660	Assumed
826	02	500	Reinforcing
833	02	850	Deflating
833	02	862	Questioned
842	02	862	Mixed
857	02	600	Assumed
857	01	690	Reinforcing
861	05	850	Assumed
862	06	733	Assumed
866	05	661	Deflating
910	03	676	Reinforcing
915	04	730	Deflating
919	01	500	Assumed
924	01	540	Deflating
924	03	500	Assumed
924	02	500	Assumed
936	01	803	Deflating
942	02	602	Reinforcing
950	01	601	Reinforcing
957	03	818	Deflating
962	01	601	Assumed
982	02	600	Reinforcing
984	02	697	Assumed
1002	01	601	Reinforcing
1002	04	601	Reinforcing
1011	08	541	Reinforcing
1036	02	601	Reinforcing
1042	01	500	Assumed
1045	02	697	Assumed
1046	02	681	Assumed
1048	02	681	Reinforcing
1053	02	693	Assumed
1059	02	862	Reinforcing
1060	01	500	Assumed
1065	02	850	Assumed
1067	02	674	Assumed
1070	02	667	Assumed
1070	02	667	Mixed
1075	02	850	Assumed
1084	01	600	Assumed
1094	02	681	Assumed
1096	02	619	Assumed
1100	02	697	Assumed
1101	02	697	Assumed
1103	02	500	Assumed
1111	04	620	Assumed
1118	02	500	Reinforcing
1118	04	500	Assumed
1118	05	543	Assumed
1119	02	600	Reinforcing
1119	01	600	Reinforcing
1134	01	849	Assumed
1135	01	600	Reinforcing
1135	02	600	Reinforcing
1135	03	600	Reinforcing
1142	03	506	Reinforcing
1176	02	500	Assumed
1188	08	540	Reinforcing
1203	01	600	Reinforcing
1203	02	600	Reinforcing
1206	02	862	Assumed
1213	02	862	Assumed
1216	08	730	Assumed
1222	02	862	Questioned
1252	05	862	Mixed
1255	04	675	Reinforcing
1255	04	774	Questioned
1255	04	862	Questioned
191	05	925	Assumed
1268	02	611	Assumed
1268	02	850	Questioned
1271	02	509	Assumed
1286	02	676	Assumed
