ID	Date	Programme	Item number	Headline story?	First Head?	Length	Predominant format	Gender: anchor	Gender: anchor2	Gender: reporter1	Gender: reporter2	Reporter location	Embedded reporter used?	Story Type	Story setting/ occasion	Overall tone of story	Reporter Disdain?	Reporter Correction?	Prognosis1	Prognosis2	Prognosis3	Prognosis4	Prognosis5	Prognosis6	Prognosis7	Prognosis8	Prognosis9	Prognosis10	Prognosis11	Prognosis12	Prognosis13	Prognosis14	Prognosis15	Prognosis16
1	17/3/2003 00:00:00	Ch47	1	1	1	292	9	1	9	2	9	Parliament	9	Straight: events over last 24 hours	Political: Legislative	25	UK military	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
2	17/3/2003 00:00:00	Ch47	2	0	0	376	30	1	9	9	9	No location: In studio	9	Feature: profile, interview	Media: interviews	25	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
3	17/3/2003 00:00:00	Ch47	3	1	0	305	9	1	9	1	9	White House	9	Straight: events over last 24 hours	Political: International Event/ Summit	24	US administration	No/ N/A	9	9	9	2	9	9	9	9	9	9	9	9	9	9	9	9
4	17/3/2003 00:00:00	Ch47	4	0	0	24	2	1	9	9	9	No location: In studio	9	Straight: events over last 24 hours	Political: Press conference	24	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	2	9	9	9	9	9	9	9
5	17/3/2003 00:00:00	Ch47	5	0	0	109	9	1	9	2	9	New York	9	Straight: events over last 24 hours	Political: International Event/ Summit	25	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
6	17/3/2003 00:00:00	Ch47	6	1	0	237	9	1	9	2	9	Baghdad	2	Straight: events over last 24 hours	Conflict zone: Report from battle/action	27	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
7	17/3/2003 00:00:00	Ch47	7	0	0	64	61	1	9	2	9	Baghdad	2	Straight: events over last 24 hours	Conflict zone: Report from battle/action	27	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
8	17/3/2003 00:00:00	Ch47	8	0	0	247	12	1	9	1	9	Analysis: not applicable	9	Analysis: info from different points in time	Media: Journalist rpt./ News analysis	25	No/ N/A	No/ N/A	9	9	2	9	9	9	9	9	9	9	9	9	9	9	9	9
9	17/3/2003 00:00:00	Ch47	9	1	0	209	12	1	9	1	9	Parliament	9	Straight: events over last 24 hours	Political: Government	25	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
10	17/3/2003 00:00:00	Ch47	10	0	0	20	3	1	9	9	9	No location: In studio	9	Straight: events over last 24 hours	Conflict zone: Report from battle/action	01	No/ N/A	No/ N/A	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
