ID	Reporters' Comments
282	19
282	19
283	01
283	01
283	01
283	01
284	02
284	02
284	26
284	02
284	26
285	08
286	01
286	01
286	01
287	07
288	01
288	01
288	01
288	01
289	01
289	01
289	01
289	01
289	01
289	01
290	01
290	01
290	01
290	07
290	01
291	02
291	02
291	02
291	03
291	07
292	08
293	08
293	08
293	08
293	08
294	01
295	01
295	01
295	08
295	08
295	32
296	02
296	02
296	26
296	02
297	01
297	01
298	07
298	07
298	07
298	07
298	07
298	01
298	07
299	08
299	32
299	08
299	32
299	08
299	32
300	08
300	07
300	32
300	03
300	07
301	02
301	04
302	08
302	19
302	19
303	08
303	19
304	02
304	26
304	07
304	26
305	01
305	25
305	03
305	25
305	07
305	03
306	02
306	02
306	02
306	02
307	25
307	01
307	25
308	01
308	01
308	17
308	01
308	04
309	03
309	19
309	03
309	03
309	27
310	02
311	01
311	01
312	01
312	02
312	26
312	26
312	18
312	25
312	26
312	32
312	24
313	02
313	36
313	18
313	32
314	01
315	01
315	01
315	01
316	07
317	07
318	08
318	25
318	25
318	25
319	03
319	01
320	08
320	32
320	08
320	03
321	08
322	02
322	26
322	07
322	26
323	01
323	01
323	07
323	08
324	03
324	03
325	07
326	01
327	19
327	19
327	03
327	03
327	01
328	02
328	02
328	02
329	01
330	01
331	02
331	02
331	02
331	08
332	08
333	02
334	01
335	08
335	08
335	01
335	32
335	32
336	08
336	32
336	08
336	32
337	01
338	08
338	01
338	01
338	01
339	02
339	02
339	39
339	07
339	07
340	02
341	02
342	02
342	02
342	02
342	26
343	08
343	07
343	03
343	27
344	02
344	02
344	26
346	07
346	07
346	07
346	07
346	07
347	01
347	01
347	01
347	25
348	08
348	32
348	08
348	32
349	01
349	25
349	01
349	01
349	17
349	25
350	02
350	26
350	26
351	02
351	02
351	02
351	02
351	02
352	01
353	01
353	01
353	07
353	07
353	07
353	07
354	01
354	03
354	27
354	32
354	02
354	03
354	08
354	07
355	08
355	40
355	08
355	08
355	18
355	17
355	26
355	32
355	32
356	07
357	02
357	02
358	03
358	07
358	07
358	07
358	03
358	07
358	07
358	07
359	08
359	32
359	02
359	08
359	08
359	32
360	01
361	08
362	05
363	01
363	08
363	32
363	01
363	08
364	08
364	19
364	07
364	07
364	08
364	07
365	08
366	08
366	08
366	02
366	01
366	08
367	08
367	32
367	08
367	32
368	01
368	01
369	02
369	02
369	34
369	26
370	02
371	02
371	26
371	26
372	02
372	07
372	32
372	07
373	01
374	01
374	01
374	07
374	07
375	01
375	33
376	07
377	01
377	01
377	07
378	07
378	07
378	07
378	07
378	07
379	01
379	01
379	01
379	03
379	01
380	01
380	25
381	07
381	03
381	07
381	03
382	08
383	02
383	02
383	02
383	02
384	02
384	02
384	02
384	02
385	02
385	02
385	02
385	02
386	07
386	07
386	07
386	27
386	06
386	07
387	04
387	01
387	01
387	01
388	01
388	01
388	01
388	01
388	25
389	01
391	03
391	07
391	07
391	08
392	08
393	02
393	02
393	07
393	02
394	03
395	01
395	01
395	03
395	01
396	03
396	08
396	03
396	03
397	01
398	02
398	26
398	02
398	02
398	08
399	02
399	02
399	02
399	02
400	07
401	08
401	08
401	08
401	08
402	03
402	03
402	02
402	03
403	07
403	07
403	07
403	07
403	07
403	07
404	07
404	27
404	08
404	25
405	07
405	31
405	07
405	31
406	08
406	25
406	25
407	08
407	01
407	02
407	02
407	26
408	03
409	02
409	02
410	08
410	01
410	01
410	01
410	25
410	25
411	02
411	02
411	02
411	26
411	02
411	02
412	06
412	06
412	06
413	04
413	17
413	01
413	17
413	25
414	01
414	01
414	01
414	01
414	01
415	07
416	05
417	07
417	07
417	07
417	07
418	07
418	07
418	08
418	18
418	07
418	07
418	07
418	07
419	01
419	01
419	01
297	01
297	01
297	01
420	03
420	03
420	03
420	02
421	01
421	08
421	07
422	07
422	25
422	07
422	07
423	01
423	07
423	07
423	07
423	07
424	07
424	07
424	03
424	03
424	03
1276	02
424	03
425	02
425	02
425	06
425	02
425	26
425	06
425	07
426	08
427	01
428	01
429	02
429	02
429	02
429	02
429	02
429	02
430	02
430	02
430	26
431	08
431	03
431	08
431	01
430	02
432	02
432	25
432	01
432	25
433	02
433	02
433	02
434	02
434	02
434	02
434	03
434	01
434	01
435	02
435	18
435	02
435	02
435	26
436	07
436	08
436	08
437	05
437	01
438	01
438	01
438	01
439	05
440	07
440	07
440	07
440	39
440	39
441	08
441	08
441	08
441	08
442	08
442	08
442	03
442	08
443	25
443	01
443	01
443	01
443	01
443	25
444	08
444	26
444	01
444	08
444	32
445	01
445	01
445	25
445	32
445	25
445	01
445	25
446	01
447	02
447	26
447	02
447	02
447	02
447	26
448	06
448	02
448	02
448	01
448	06
448	01
448	02
448	08
448	08
449	07
450	07
450	07
450	07
450	07
450	07
450	07
451	01
451	01
451	01
451	01
451	01
452	01
452	01
453	01
453	01
453	01
453	01
454	08
454	08
455	08
456	02
456	02
456	06
456	02
457	02
457	26
457	02
457	02
457	01
457	01
458	03
458	03
458	03
459	02
459	02
460	08
460	26
460	01
460	01
460	01
460	01
461	07
461	08
461	07
461	07
461	07
461	01
462	08
462	08
462	02
462	26
463	02
159	08
159	08
159	02
159	02
160	02
160	02
160	02
160	02
161	02
161	02
161	02
161	02
162	03
162	03
162	03
162	03
162	03
163	08
163	08
163	08
163	08
164	01
164	25
164	03
164	25
164	01
164	25
165	07
165	02
166	08
167	32
167	07
168	08
168	08
168	07
168	08
169	01
169	01
169	01
169	01
170	08
170	07
170	03
171	08
171	08
172	02
172	02
173	08
173	08
174	01
174	01
174	01
174	01
175	01
176	08
176	32
176	32
177	08
177	08
178	02
178	02
178	02
178	02
179	05
180	07
180	07
180	07
180	07
180	07
180	07
181	08
181	08
182	08
183	08
183	08
184	02
184	02
184	02
184	02
185	02
185	02
186	02
186	02
187	08
188	05
189	05
189	05
189	05
189	05
190	05
190	01
190	21
190	05
190	05
191	05
191	05
191	05
191	05
191	05
192	07
192	07
193	03
193	03
193	32
193	07
194	08
194	40
194	08
194	02
194	19
194	03
195	02
195	02
195	02
195	02
196	08
196	08
196	02
196	02
197	08
197	08
197	03
197	07
198	07
198	08
199	08
199	08
199	08
199	08
200	02
200	02
200	02
200	02
201	08
201	08
201	08
201	08
201	08
202	08
202	08
202	08
202	32
202	08
202	08
203	03
203	03
203	03
203	03
203	03
203	03
204	03
204	03
204	03
204	27
205	08
205	08
205	25
205	25
205	25
205	25
206	01
206	25
207	07
208	08
208	08
209	08
209	08
209	08
209	08
209	08
210	02
210	02
210	02
211	01
212	32
212	08
212	08
213	02
214	02
215	03
215	03
215	03
215	03
215	03
215	03
215	03
215	03
216	02
216	02
216	02
216	07
216	07
217	01
218	02
219	01
219	08
219	03
219	03
219	32
219	32
219	08
220	02
220	02
220	02
220	02
220	07
220	02
220	02
220	02
220	02
221	03
221	07
221	03
221	27
221	27
221	25
221	26
221	26
222	18
222	18
222	18
222	26
222	26
223	07
223	07
223	07
223	07
223	07
223	07
224	06
225	05
226	07
226	07
226	07
226	07
226	07
226	07
226	07
226	07
227	07
227	07
228	02
229	01
229	01
230	08
231	02
231	26
232	01
232	01
233	02
233	02
233	02
233	02
234	01
235	01
236	08
236	03
236	08
237	27
238	03
238	02
238	02
238	02
238	02
238	02
238	02
238	02
239	08
239	08
239	08
239	08
240	01
240	01
241	01
241	25
241	01
241	01
241	01
242	07
242	07
242	07
242	07
243	05
243	05
243	07
243	07
244	08
244	03
244	07
244	01
244	01
244	01
245	02
245	02
245	02
246	02
246	03
246	02
246	02
247	01
247	25
247	01
247	01
248	03
248	03
248	03
249	02
250	03
250	27
250	08
250	03
1118	08
1	01
1	01
1	01
1	01
1	05
1	25
2	25
2	25
2	25
2	01
2	01
2	25
2	17
2	25
2	25
3	08
3	24
3	18
3	32
3	31
3	32
3	26
3	26
4	07
5	04
5	07
5	28
6	03
6	07
6	07
6	03
6	07
6	03
6	04
7	07
7	07
7	03
7	03
8	01
8	01
8	04
8	01
8	01
9	01
9	01
9	05
9	05
9	25
9	01
10	01
11	01
11	01
11	25
11	01
12	03
12	03
12	03
12	07
12	19
12	03
12	03
12	07
12	03
12	03
13	07
14	01
14	25
14	01
14	25
14	01
14	01
15	01
15	01
15	25
15	01
15	01
16	01
16	32
16	04
16	02
16	28
17	08
18	07
18	03
19	08
19	01
19	01
19	01
20	01
20	08
21	01
21	01
21	01
22	01
22	01
22	01
22	01
22	01
23	08
23	01
23	31
23	25
23	01
23	25
23	37
23	01
24	08
24	01
24	32
24	07
24	02
24	04
25	02
25	02
25	02
25	02
26	08
26	01
26	01
26	01
26	01
27	07
27	03
27	07
27	07
27	04
28	03
28	03
28	04
29	08
