ID	Reporting restrictions
535	None mentioned
536	None mentioned
537	None mentioned
538	None mentioned
539	None mentioned
540	None mentioned
541	None mentioned
542	None mentioned
543	None mentioned
544	None mentioned
545	‘Embedded’ reporter
546	None mentioned
547	None mentioned
548	None mentioned
549	None mentioned
550	None mentioned
551	None mentioned
552	None mentioned
553	Monitoring from Coalition
553	Location sensitive
553	‘Embedded’ reporter
554	None mentioned
555	None mentioned
556	‘Embedded’ reporter
557	None mentioned
558	None mentioned
559	None mentioned
560	None mentioned
561	None mentioned
562	None mentioned
563	None mentioned
564	‘Embedded’ reporter
565	Monitoring from Coalition
566	None mentioned
567	‘Embedded’ reporter
568	None mentioned
569	None mentioned
570	None mentioned
571	None mentioned
572	None mentioned
573	None mentioned
574	None mentioned
575	None mentioned
576	None mentioned
577	None mentioned
578	‘Embedded’ reporter
579	None mentioned
580	None mentioned
581	‘Embedded’ reporter
582	None mentioned
583	None mentioned
584	‘Embedded’ reporter
584	Location sensitive
585	Monitoring from Baghdad
586	‘Embedded’ reporter
587	None mentioned
588	None mentioned
589	None mentioned
590	None mentioned
591	None mentioned
592	None mentioned
593	None mentioned
594	None mentioned
595	‘Embedded’ reporter
596	None mentioned
597	None mentioned
598	None mentioned
599	Other
600	None mentioned
601	‘Embedded’ reporter
602	None mentioned
603	Monitoring from Coalition
603	‘Embedded’ reporter
604	‘Embedded’ reporter
605	None mentioned
456	None mentioned
457	None mentioned
458	None mentioned
459	None mentioned
460	None mentioned
461	None mentioned
462	None mentioned
463	None mentioned
464	None mentioned
465	None mentioned
466	None mentioned
467	None mentioned
468	None mentioned
469	None mentioned
470	None mentioned
471	None mentioned
472	None mentioned
473	None mentioned
474	‘Embedded’ reporter
475	None mentioned
476	Warning of disturbing images
477	None mentioned
478	None mentioned
479	None mentioned
480	None mentioned
481	None mentioned
482	None mentioned
483	None mentioned
484	None mentioned
485	None mentioned
486	‘Embedded’ reporter
487	None mentioned
488	None mentioned
489	Warning of disturbing images
489	Monitoring from Baghdad
490	None mentioned
491	Monitoring from Coalition
492	None mentioned
493	None mentioned
494	None mentioned
495	None mentioned
496	None mentioned
497	None mentioned
498	None mentioned
499	None mentioned
500	None mentioned
501	None mentioned
502	None mentioned
503	None mentioned
504	None mentioned
505	Other
506	None mentioned
507	None mentioned
508	None mentioned
509	‘Embedded’ reporter
510	None mentioned
511	None mentioned
512	‘Embedded’ reporter
513	None mentioned
514	None mentioned
515	None mentioned
516	Monitoring from Baghdad
517	None mentioned
518	None mentioned
519	None mentioned
520	None mentioned
521	None mentioned
522	None mentioned
523	None mentioned
524	None mentioned
525	None mentioned
526	None mentioned
527	Monitoring from Baghdad
528	None mentioned
529	None mentioned
530	‘Embedded’ reporter
531	None mentioned
532	None mentioned
607	None mentioned
608	None mentioned
1	None mentioned
2	None mentioned
3	None mentioned
4	None mentioned
5	None mentioned
6	None mentioned
7	None mentioned
8	None mentioned
9	None mentioned
10	None mentioned
11	Monitoring from Coalition
12	None mentioned
13	None mentioned
14	None mentioned
15	None mentioned
16	None mentioned
17	None mentioned
18	None mentioned
19	‘Embedded’ reporter
20	‘Embedded’ reporter
21	‘Embedded’ reporter
22	None mentioned
23	None mentioned
24	None mentioned
25	None mentioned
26	‘Embedded’ reporter
27	None mentioned
28	None mentioned
29	‘Embedded’ reporter
30	None mentioned
31	None mentioned
32	None mentioned
33	None mentioned
34	None mentioned
35	None mentioned
36	None mentioned
37	Monitoring from Coalition
38	None mentioned
39	None mentioned
40	None mentioned
41	None mentioned
42	None mentioned
43	None mentioned
44	None mentioned
45	None mentioned
46	None mentioned
47	None mentioned
48	None mentioned
49	None mentioned
50	None mentioned
51	None mentioned
52	None mentioned
53	None mentioned
54	‘Embedded’ reporter
55	None mentioned
56	None mentioned
57	None mentioned
58	None mentioned
59	None mentioned
60	None mentioned
61	None mentioned
63	None mentioned
64	None mentioned
65	Monitoring from Coalition
66	‘Embedded’ reporter
67	‘Embedded’ reporter
68	None mentioned
69	None mentioned
70	None mentioned
71	None mentioned
72	None mentioned
73	None mentioned
74	None mentioned
