ID	Length	Source
681	23	774
681	10	902
681	19	667
682	119	667
684	6	850
684	7	681
684	5	681
688	4	667
688	11	840
688	9	840
688	22	602
689	18	849
689	12	902
692	8	681
693	23	681
695	17	850
695	7	850
696	9	805
696	17	607
697	4	661
697	19	611
697	31	631
698	43	774
699	104	774
701	10	509
701	15	780
701	12	783
701	18	764
701	14	783
702	13	500
702	15	600
702	17	849
702	12	849
702	16	771
703	159	817
703	128	611
707	12	681
707	17	681
708	20	771
711	4	697
715	13	681
718	15	673
719	10	500
719	11	600
719	6	661
722	5	667
722	7	667
722	13	667
722	7	667
724	13	850
724	9	850
724	11	805
725	2	850
725	5	850
725	10	765
725	8	850
725	12	512
725	20	532
725	8	675
725	6	692
726	23	850
726	10	850
726	8	850
726	6	850
726	4	850
726	17	681
729	36	600
730	21	675
730	12	512
893	23	643
894	26	651
897	15	697
897	14	697
900	12	667
900	10	667
900	10	667
900	9	667
901	4	681
901	3	681
901	16	681
901	10	850
901	20	850
901	3	850
902	7	850
902	30	681
902	8	681
902	9	850
902	7	681
902	22	681
903	1	850
903	5	850
903	5	850
905	7	855
905	15	664
906	8	886
906	11	612
906	7	840
906	9	840
906	21	603
906	4	655
907	4	850
909	3	697
909	11	697
909	6	697
910	5	607
910	22	676
913	18	643
915	7	730
915	11	730
915	10	999
915	5	730
915	10	730
918	14	774
919	9	600
920	17	601
920	18	532
920	18	801
920	12	780
921	7	802
921	15	643
921	6	649
923	29	512
923	17	503
923	36	540
925	22	692
927	7	681
927	21	681
933	11	681
933	24	676
933	14	681
934	61	641
935	14	550
935	39	500
936	9	802
936	19	801
936	8	803
936	17	621
937	3	681
937	7	999
939	30	500
942	30	602
942	15	600
943	15	774
943	11	774
943	20	533
944	9	849
944	11	849
944	9	697
947	19	670
947	8	675
947	11	697
949	24	500
950	40	601
952	9	850
952	11	640
952	17	645
953	10	681
955	26	697
955	13	681
957	4	739
958	25	681
958	13	681
959	16	863
959	19	692
960	116	601
962	16	880
962	113	601
963	71	602
965	2	681
304	5	850
305	19	692
305	17	692
305	8	850
305	27	850
306	22	681
306	11	681
307	14	697
307	16	692
308	138	692
309	55	771
309	47	771
311	16	500
311	25	509
312	49	600
312	6	780
312	21	774
313	138	615
315	13	831
315	11	500
318	31	500
321	23	501
322	7	850
322	5	850
323	15	697
323	14	692
327	11	850
327	9	850
328	8	676
330	20	500
331	24	600
332	21	615
335	39	600
335	29	500
338	12	697
338	5	697
339	20	664
341	11	681
341	15	681
341	17	681
342	2	681
344	9	772
344	2	602
346	6	850
346	18	849
346	14	801
347	11	502
347	17	772
349	5	697
349	15	697
349	10	697
349	6	850
350	7	681
350	18	681
350	5	681
351	11	681
351	9	681
351	7	681
351	20	664
353	16	500
353	19	903
353	28	690
353	18	501
353	13	692
354	201	512
355	57	500
355	53	600
356	27	801
358	17	850
1	68	512
1	12	540
1	9	500
1	18	543
1	15	527
2	270	512
3	29	603
3	21	532
3	21	801
3	20	780
3	15	601
3	4	883
4	17	801
5	23	801
5	9	532
6	18	850
8	31	774
8	26	774
9	21	543
9	8	510
9	36	527
9	26	527
9	16	527
11	55	692
12	8	645
12	117	772
12	6	645
13	65	800
15	35	540
15	11	512
16	20	532
16	16	780
16	17	601
18	7	850
18	5	850
19	10	697
19	13	697
20	6	697
21	3	681
21	7	681
21	8	681
22	10	517
22	11	849
22	8	849
23	16	512
23	34	503
23	17	540
24	21	532
24	11	621
24	11	780
24	15	601
26	14	692
26	10	692
27	6	850
27	5	999
29	12	681
30	35	540
32	12	540
33	11	730
33	13	722
33	10	830
33	6	830
33	10	830
34	122	500
34	27	543
34	17	543
34	14	550
34	17	580
34	25	555
34	28	543
34	24	540
35	18	640
35	16	644
36	16	850
36	17	660
36	19	665
37	75	692
37	12	697
38	20	635
38	11	607
38	11	772
38	6	600
39	8	849
39	7	849
40	140	509
41	164	506
43	20	791
43	1	736
44	40	773
44	18	761
48	28	509
48	107	500
48	26	550
48	25	580
48	11	543
48	27	543
48	18	543
51	28	600
51	10	630
54	16	676
56	11	850
56	14	644
59	5	526
59	9	526
63	93	850
63	26	732
63	7	735
63	20	643
63	4	645
63	2	645
65	11	697
65	23	697
66	26	681
67	68	692
68	11	676
69	14	607
69	22	801
69	2	781
69	23	802
69	20	803
69	15	532
69	13	621
70	5	730
70	10	730
70	5	730
70	6	730
72	25	517
74	15	543
74	45	500
74	9	801
75	19	607
75	20	774
76	155	783
77	14	773
78	30	641
79	8	643
79	12	903
80	11	697
80	3	681
80	8	676
83	17	645
85	22	693
85	11	773
86	3	730
86	2	526
86	5	550
86	28	500
88	8	711
88	8	849
88	10	849
89	8	830
89	6	830
89	15	863
89	7	830
89	8	830
90	18	672
90	5	600
95	22	692
97	20	640
97	24	643
97	9	645
97	7	600
99	125	772
100	9	607
100	5	620
100	50	602
101	16	501
101	11	555
101	24	503
358	10	645
358	7	850
358	16	850
358	10	850
363	10	603
363	4	855
363	3	500
363	8	850
363	4	602
363	23	770
363	15	774
364	101	611
364	135	667
366	48	500
366	26	600
369	13	681
369	13	664
371	7	681
371	17	681
371	5	681
372	2	850
374	3	850
374	2	697
375	16	703
377	33	831
377	18	831
378	6	855
378	6	855
378	3	850
379	18	697
379	12	692
383	6	674
383	14	692
384	10	600
384	22	602
386	16	739
386	7	739
386	14	849
386	11	816
387	10	692
387	5	850
388	10	831
388	3	831
388	17	500
388	8	512
391	3	855
391	9	850
391	2	855
393	14	681
393	2	850
395	15	692
395	14	697
398	3	998
398	14	677
398	43	600
399	12	602
399	16	772
402	13	774
403	7	830
403	8	830
403	7	830
403	7	830
403	9	830
403	8	830
403	9	840
403	6	845
406	15	692
407	4	697
407	27	692
407	16	676
407	21	602
410	181	692
411	3	880
411	26	602
411	6	674
411	12	619
411	5	603
411	5	880
412	77	811
413	153	509
414	6	500
414	8	831
414	10	831
414	14	521
417	13	665
417	8	665
417	10	649
417	8	649
419	13	697
420	14	645
420	20	673
420	22	672
420	15	697
421	17	697
421	13	675
422	13	850
423	17	850
423	14	850
423	13	765
425	158	774
425	106	774
429	2	681
429	29	831
429	50	840
429	9	840
429	11	840
430	55	676
431	153	773
432	15	697
432	19	697
433	61	681
434	13	670
434	22	602
434	25	647
434	12	697
435	3	677
435	21	670
435	45	602
435	6	850
436	137	772
437	6	540
437	28	505
438	34	697
440	32	862
440	22	866
440	12	999
441	14	645
441	7	681
443	17	697
443	5	692
443	11	697
443	4	999
443	11	697
444	80	697
444	21	692
445	220	512
446	24	501
447	13	601
447	13	602
448	106	811
448	142	611
448	177	532
449	17	880
450	160	764
451	13	697
451	9	999
451	7	850
456	17	601
456	12	773
458	14	611
458	13	643
460	20	697
460	7	697
460	7	774
460	26	831
461	10	830
461	9	830
461	13	830
461	8	830
461	7	830
461	6	830
463	16	681
463	11	880
463	32	675
463	10	681
464	10	697
464	16	697
464	9	850
465	124	692
466	29	765
468	13	601
468	3	661
468	5	619
468	28	774
469	14	541
469	22	512
471	26	773
471	44	774
472	46	773
472	164	812
472	96	619
473	29	503
473	33	906
473	10	675
473	20	910
474	18	681
474	5	681
474	20	681
475	17	602
476	10	681
476	10	674
476	18	770
476	15	503
479	16	692
479	8	697
482	17	541
482	21	543
482	29	505
483	15	999
483	12	999
485	19	681
485	30	675
488	39	773
488	35	675
489	22	850
489	24	765
489	20	850
491	3	850
491	24	697
491	15	850
491	8	697
492	22	500
493	13	999
493	6	512
496	6	841
496	7	841
496	7	619
496	21	772
496	8	772
496	11	601
497	171	817
498	85	774
499	150	533
502	7	675
502	11	681
503	9	645
505	8	675
506	5	880
506	7	841
506	7	841
506	5	841
509	6	850
509	18	850
509	9	697
510	18	774
514	6	675
516	7	850
517	14	697
517	12	697
517	6	697
517	5	697
519	11	580
519	12	500
519	21	503
519	16	554
521	3	880
521	12	841
521	4	841
521	15	774
523	17	675
525	8	681
525	21	675
526	26	675
526	25	770
527	21	643
527	14	850
527	8	850
527	31	644
528	195	690
530	8	697
530	4	697
530	9	765
533	6	681
533	41	600
533	28	601
534	106	503
535	17	999
535	23	601
536	25	501
537	9	730
537	3	730
537	4	730
537	31	543
537	48	512
537	31	527
537	41	543
540	17	675
542	17	600
543	16	692
543	4	765
544	22	850
545	6	697
547	8	999
547	12	601
548	20	667
553	10	681
554	11	675
554	18	674
555	5	681
557	24	600
557	9	841
557	13	841
558	15	601
558	12	801
558	8	503
559	1	765
560	13	501
560	11	761
561	9	830
561	11	830
561	11	830
561	10	830
561	8	730
561	9	830
563	16	681
565	14	697
565	8	697
565	16	694
565	7	697
566	20	645
566	12	850
566	17	640
567	17	681
569	23	773
569	5	910
569	16	675
570	121	692
571	25	805
572	3	665
573	141	611
573	67	660
574	7	641
575	13	863
578	13	681
581	17	681
583	5	850
583	11	841
584	17	681
585	7	765
587	13	674
587	11	675
588	16	694
588	10	697
591	11	611
591	14	660
591	8	660
592	8	849
592	19	818
594	25	880
594	23	676
596	19	643
596	10	640
598	17	676
599	20	697
600	10	697
604	28	681
604	21	681
605	15	765
605	16	643
608	6	764
610	118	692
611	40	611
611	5	500
611	19	773
612	9	697
615	12	697
618	7	681
618	11	681
620	24	643
623	7	681
623	20	675
623	34	880
623	14	501
624	35	692
624	7	697
624	8	697
624	13	850
624	10	850
626	326	690
627	18	780
629	139	532
630	23	643
631	4	681
632	17	602
634	13	692
634	8	850
634	8	850
637	13	765
637	13	764
641	6	643
641	34	763
643	15	903
643	22	675
644	27	697
644	17	697
645	81	692
647	74	600
647	24	500
648	27	923
648	20	773
648	2	733
648	14	774
648	20	621
649	7	681
649	21	681
650	15	850
650	5	850
650	2	850
650	8	850
651	7	643
652	9	681
652	6	880
652	6	600
653	16	774
655	14	643
656	20	774
657	25	697
658	16	600
658	11	500
660	15	643
661	12	676
664	46	600
664	26	500
666	12	681
666	12	604
668	16	675
670	15	660
672	5	850
672	20	850
672	26	681
672	28	681
672	6	850
672	6	850
672	3	998
674	17	643
675	218	503
676	10	883
676	35	603
676	6	883
676	7	645
676	14	602
679	15	675
680	148	667
681	16	850
681	48	774
681	19	667
681	20	774
681	39	667
730	16	692
662	13	692
662	8	850
732	7	850
734	6	850
734	9	850
735	8	765
735	5	850
736	12	850
737	50	602
738	17	503
740	15	675
740	9	670
742	14	774
742	13	773
742	12	509
743	6	831
743	7	697
743	8	831
743	2	831
743	8	697
744	20	850
744	15	850
744	15	850
746	16	645
746	16	850
746	11	675
746	7	664
746	10	664
747	110	783
748	99	692
749	12	730
749	7	925
749	3	730
749	11	730
749	9	730
749	14	730
749	3	730
749	13	730
749	2	730
750	8	752
750	8	752
750	5	880
750	3	880
750	8	602
750	4	734
752	8	850
752	13	850
752	3	850
753	8	850
753	4	850
753	5	850
753	2	855
756	8	730
756	7	543
756	12	925
758	4	765
758	24	850
759	20	645
762	19	675
764	5	850
765	18	601
765	15	811
766	10	880
766	40	670
769	1	841
769	3	774
769	24	600
769	20	602
769	3	880
769	2	888
770	121	811
772	8	765
773	4	681
773	10	841
773	5	841
773	9	600
777	3	850
777	10	850
777	5	681
779	11	601
779	11	607
779	10	602
779	13	550
779	29	500
783	5	850
783	6	765
784	2	693
784	15	619
784	9	503
785	20	831
785	15	501
786	9	681
787	23	850
787	15	850
789	4	850
790	128	763
792	4	831
792	8	697
794	18	500
794	9	601
794	15	501
794	13	503
794	24	773
795	119	532
796	25	500
797	319	763
798	51	773
798	56	770
799	159	772
799	113	772
801	6	850
802	8	850
802	4	681
802	13	850
802	20	765
804	21	602
804	8	500
805	22	831
805	12	501
806	10	765
806	19	774
807	10	611
807	11	619
808	19	600
809	11	681
809	19	763
817	11	765
819	2	850
819	8	850
824	22	831
825	5	765
825	4	850
826	12	780
826	18	500
827	4	855
828	15	675
828	9	999
828	16	774
831	5	602
832	5	850
832	6	850
832	35	850
832	5	850
832	17	850
833	5	850
833	17	681
834	116	676
835	14	765
837	30	500
837	12	801
838	123	532
839	2	620
839	6	631
840	161	811
841	53	774
841	25	771
841	34	774
842	12	681
844	17	765
845	12	999
846	7	739
846	14	500
849	14	765
849	16	850
850	12	681
851	14	850
851	25	850
851	17	850
851	7	850
852	36	607
852	14	500
852	11	780
852	13	631
852	3	801
854	14	765
856	49	850
856	9	850
857	16	676
857	11	690
857	11	781
859	18	640
859	12	850
859	11	763
861	132	902
862	9	766
862	5	880
862	12	619
862	3	733
864	14	863
864	20	774
864	22	543
864	17	527
865	30	850
865	22	850
865	11	850
866	8	663
866	13	661
866	11	850
866	17	681
866	3	850
868	4	863
868	12	675
869	14	697
870	4	830
870	6	830
870	15	774
871	15	697
872	6	645
874	17	697
874	23	697
875	75	692
876	10	697
877	7	681
877	6	681
878	25	697
878	5	697
878	18	772
880	6	681
880	2	681
880	10	681
881	8	765
881	8	676
882	8	643
884	19	772
886	17	697
887	72	692
889	15	681
889	7	681
889	6	681
890	14	541
890	8	527
890	5	830
890	5	830
890	5	830
891	23	509
101	8	866
104	3	730
104	8	730
105	24	512
106	6	791
106	4	736
106	6	849
106	7	736
108	20	602
108	57	770
109	13	830
109	19	774
109	17	710
109	32	722
117	15	681
117	7	681
120	4	697
120	2	697
120	17	697
120	11	697
123	14	600
123	12	622
123	2	733
123	19	602
126	48	500
126	11	550
126	14	580
131	35	643
131	8	765
131	14	850
131	4	855
136	10	693
136	14	692
136	3	855
140	17	500
141	6	674
141	74	602
141	10	880
141	12	880
141	4	883
141	11	873
141	17	600
141	19	601
143	251	615
145	13	691
145	24	773
146	163	774
160	29	602
160	10	607
162	7	501
162	13	774
162	9	774
162	10	773
163	104	772
167	10	649
169	16	692
169	8	697
174	7	693
174	6	697
175	20	500
176	17	602
180	9	830
180	10	831
180	9	831
180	7	831
180	9	830
187	13	692
189	10	730
189	14	541
189	16	920
189	11	731
189	13	730
189	9	730
189	6	730
189	10	730
190	11	770
190	23	731
190	10	533
191	127	925
192	63	863
194	7	850
194	7	850
194	14	681
194	10	697
195	13	681
197	8	765
199	10	850
199	2	697
200	38	600
201	13	692
201	23	773
201	18	770
201	8	681
202	128	672
203	21	643
205	17	681
205	7	697
205	4	697
207	20	861
209	19	697
209	26	692
209	4	855
209	3	681
210	25	681
211	20	500
212	33	692
213	30	670
215	15	901
215	2	850
215	32	640
215	66	643
216	15	620
216	24	677
216	40	664
219	144	501
220	13	880
220	4	681
220	2	880
220	6	841
220	9	841
220	8	670
220	12	611
220	5	880
221	3	887
221	3	681
221	5	681
221	4	649
221	5	649
221	2	681
221	18	645
221	23	697
221	8	550
221	12	500
221	11	762
221	17	774
222	128	619
223	6	999
223	20	925
223	13	999
223	2	999
223	26	999
226	39	771
226	17	905
226	16	905
226	14	902
233	21	692
233	6	681
238	13	841
238	4	681
238	4	681
238	2	681
238	10	841
238	2	681
239	11	670
239	15	772
240	94	672
241	60	500
242	12	555
242	16	500
242	10	861
243	16	925
243	8	999
243	8	999
244	4	855
244	16	692
244	5	697
245	9	681
248	10	640
250	15	764
250	5	643
252	14	670
253	4	681
253	9	681
253	9	774
254	9	841
254	20	774
254	9	925
254	13	840
254	5	840
254	9	999
256	10	500
257	11	830
257	5	830
257	10	830
257	7	830
257	9	731
259	12	697
259	5	697
259	15	692
263	4	681
263	4	681
263	13	697
263	12	850
263	37	692
263	20	863
263	5	697
265	3	855
265	15	645
265	18	645
265	3	855
265	39	641
266	11	674
266	17	676
268	10	850
268	10	850
269	17	500
270	134	532
272	16	670
272	22	600
272	41	772
272	40	611
272	16	611
272	6	601
273	195	772
274	11	619
274	8	830
274	7	830
274	11	830
274	12	830
278	8	681
278	7	681
280	15	641
281	24	772
282	14	697
283	36	500
284	12	600
284	7	841
284	12	841
286	12	697
286	14	722
287	16	926
288	8	697
288	16	693
288	10	697
290	2	697
290	13	660
290	17	500
290	13	667
291	12	681
291	9	681
291	17	643
293	29	602
294	25	500
295	15	500
296	21	600
296	15	770
297	5	697
297	4	697
297	7	830
297	8	697
298	9	830
298	8	830
298	8	830
298	10	830
298	7	830
298	10	830
298	7	830
298	9	831
300	18	850
300	7	850
300	15	643
300	5	855
301	10	677
301	21	780
302	90	655
304	7	850
965	7	681
965	10	681
1118	59	500
1118	15	550
1118	13	543
965	9	681
965	14	676
965	12	675
967	7	763
967	20	645
972	24	697
972	11	850
972	9	850
977	8	681
977	16	681
977	23	681
979	23	664
980	56	602
982	8	600
982	30	500
985	8	850
985	6	850
991	11	697
992	19	692
995	21	681
995	5	681
995	13	681
997	15	697
997	23	999
997	11	697
998	67	600
1001	3	850
1001	3	850
1001	7	641
1001	3	884
1002	374	601
1003	27	675
1004	40	681
1004	10	665
1005	16	640
1005	42	607
1006	40	674
1007	5	850
1007	5	850
1007	7	850
1007	7	850
1007	14	640
1008	15	672
1008	9	697
1009	17	697
1010	11	697
1010	11	697
1010	9	697
1011	29	503
1011	19	541
1012	20	697
1012	9	697
1013	7	697
1013	9	697
1013	7	850
1013	13	697
1015	5	850
1016	6	651
1016	13	765
1018	22	602
1019	15	765
1019	3	850
1020	19	841
1020	11	841
1022	12	675
1024	28	860
1025	3	697
1026	10	665
1033	13	697
1033	21	697
1033	10	697
1034	21	850
1034	11	697
1034	10	697
1034	4	850
1035	13	640
1036	27	604
1036	25	601
1038	20	681
1038	12	681
1039	9	651
1039	16	675
1041	4	697
1041	11	697
1041	11	697
1041	6	850
1042	42	500
1045	20	697
1045	13	697
1046	19	681
1046	29	681
1046	7	880
1047	34	643
1050	17	697
1050	22	850
1053	11	697
1054	10	765
1054	10	643
1056	8	681
1057	3	850
1057	4	850
1057	14	681
1058	14	697
1059	15	850
1059	6	850
1059	3	850
1059	9	850
1060	26	600
1060	40	500
1061	19	780
1062	16	681
1062	24	674
1062	19	604
1063	20	772
1064	59	831
1065	4	850
1065	9	850
1065	6	850
1065	19	850
1065	10	681
1065	11	681
1066	43	655
1066	10	880
1067	10	674
1067	19	602
1067	16	607
1069	9	850
1069	7	850
1069	13	697
1069	23	850
1069	7	690
1070	13	667
1070	27	667
1070	17	667
1070	16	667
1070	6	667
1072	23	850
1072	22	681
1075	14	681
1075	11	850
1075	2	850
1075	12	681
1075	5	849
1076	33	681
1079	83	601
1080	17	850
1081	12	681
1081	8	681
1081	14	681
1082	19	850
1083	73	602
1084	19	600
1086	17	675
1086	2	670
1087	9	850
