Story ID	Ranking	Subject (Whom)	Tone
8	P	697	Straight
11	P	532	Straight
22	P	697	Straight
22	P	649	Straight
22	P	783	Straight
23	P	600	Straight
23	P	640	Straight
23	S	500	Straight
23	M	540	Reinforcing
23	S	512	Mixed
23	S	509	Mixed
23	P	801	Straight
23	P	730	Straight
23	P	833	Straight
23	S	503	Mixed
23	S	783	Straight
23	P	800	Straight
24	S	532	Straight
24	S	621	Straight
24	S	780	Straight
24	S	601	Straight
24	S	801	Straight
24	S	783	Straight
24	P	782	Straight
24	P	790	Straight
24	P	802	Straight
24	P	640	Straight
24	P	600	Straight
24	P	645	Straight
9	M	540	Straight
9	M	509	Mixed
9	S	525	Straight
9	P	801	Straight
9	P	512	Straight
9	S	500	Straight
9	S	543	Straight
9	S	510	Straight
9	M	527	Straight
10	M	697	Straight
11	M	697	Straight
11	M	692	Straight
11	P	645	Straight
11	P	649	Straight
11	P	862	Straight
11	P	702	Straight
11	P	693	Straight
11	P	830	Straight
12	M	640	Mixed
12	M	772	Straight
12	M	645	Straight
12	P	622	Straight
12	S	649	Straight
12	P	681	Straight
12	P	693	Straight
12	P	677	Straight
13	M	800	Straight
13	P	999	Straight
13	S	620	Straight
13	M	526	Straight
13	S	801	Straight
13	P	802	Straight
13	P	783	Straight
14	M	500	Straight
14	S	801	Straight
14	M	509	Mixed
14	M	540	Mixed
14	P	863	Straight
14	P	503	Straight
14	P	868	Straight
14	S	832	Straight
15	P	693	Straight
15	P	783	Straight
15	S	500	Straight
15	S	512	Straight
15	M	540	Reinforcing
15	P	801	Straight
15	S	509	Mixed
15	P	503	Straight
15	P	834	Straight
15	S	640	Straight
15	P	543	Straight
15	P	730	Straight
15	P	800	Straight
16	S	532	Straight
16	S	780	Straight
16	S	600	Straight
16	P	790	Straight
16	S	783	Straight
16	S	601	Straight
16	P	681	Straight
16	P	844	Straight
16	S	640	Straight
16	P	608	Straight
17	S	600	Straight
17	S	500	Straight
17	P	697	Straight
17	P	681	Straight
17	P	649	Straight
18	M	850	Straight
18	S	649	Straight
18	S	640	Straight
18	P	802	Straight
18	P	782	Straight
18	P	783	Straight
18	P	620	Straight
19	P	681	Straight
19	M	697	Straight
19	P	620	Straight
19	P	649	Straight
20	M	697	Straight
20	S	681	Straight
20	P	649	Straight
21	M	681	Straight
22	S	517	Straight
22	M	849	Straight
25	M	600	Straight
25	S	622	Straight
25	S	783	Straight
25	S	608	Straight
25	P	844	Straight
25	P	640	Straight
25	P	863	Straight
26	M	697	Straight
