Story ID	Ranking	Subject (What)	Event Initiator	Tone
159	M	005	01	34
159	S	191	24	19
159	S	046	71	40
160	1	048	09	34
160	M	430	09	34
160	M	002	09	34
161	M	121	01	34
161	1	100	01	34
161	S	072	01	34
162	1	430	53	32
162	S	166	53	27
162	S	164	53	32
163	1	095	53	40
163	1	060	53	40
163	1	121	53	40
164	1	360	53	25
164	M	234	53	25
164	S	430	53	25
164	S	091	53	32
158	1	160	55	39
165	1	160	55	39
165	1	027	01	34
166	1	011	71	40
166	M	002	71	40
166	S	045	01	34
166	S	005	71	40
167	1	002	71	40
167	S	430	13	27
167	S	028	24	35
167	S	466	52	32
168	1	002	71	40
168	S	121	53	32
168	S	234	53	32
169	1	002	03	33
169	M	093	71	40
170	1	001	74	40
170	M	002	71	40
170	M	082	05	19
171	1	001	71	32
172	1	045	01	34
172	S	011	01	34
173	1	001	74	40
173	S	201	04	17
173	S	209	02	18
173	S	045	71	40
173	S	016	24	19
173	S	005	71	40
173	S	011	71	40
173	S	093	71	40
173	S	225	74	32
174	1	064	03	33
174	M	045	03	33
174	S	201	04	25
175	1	205	09	25
176	1	120	53	40
176	1	001	53	40
176	M	060	53	40
176	M	002	53	32
176	S	005	53	40
176	S	014	53	27
177	1	096	53	32
177	S	234	53	24
177	S	048	53	40
178	S	072	53	26
178	S	370	53	26
178	M	483	53	18
178	1	353	53	26
179	1	243	37	05
179	1	312	37	05
180	1	300	53	25
180	1	420	53	25
181	1	001	74	40
181	M	002	71	40
181	S	045	71	40
181	S	201	04	17
181	S	016	24	19
181	S	026	03	33
182	1	001	71	40
182	M	045	71	40
183	1	001	71	32
183	M	096	71	32
183	S	081	05	27
184	1	001	01	34
184	M	011	01	34
184	S	016	24	19
184	S	064	01	34
184	S	045	01	34
185	1	001	74	26
185	M	014	05	27
186	1	430	09	26
187	1	201	04	25
187	1	209	02	26
188	M	264	41	29
188	S	243	37	29
188	1	265	41	29
188	S	262	41	29
189	1	243	37	37
189	S	241	37	37
189	S	234	37	37
189	S	148	37	37
190	1	243	37	29
190	M	021	37	25
190	S	248	49	21
191	1	240	53	37
191	S	300	53	17
191	M	283	53	18
191	S	351	53	17
191	S	280	53	17
192	1	182	74	31
192	S	185	07	31
193	M	430	13	35
193	M	166	13	27
193	M	002	71	32
194	1	001	74	40
194	M	014	05	27
194	M	191	24	40
194	S	431	71	40
194	S	465	52	40
194	S	082	05	19
194	S	005	71	40
195	1	011	01	34
195	M	005	01	34
195	M	045	01	34
195	S	382	01	26
196	1	001	71	32
196	M	045	01	34
196	M	096	71	32
196	S	081	72	24
197	1	002	71	32
197	M	011	71	40
197	M	226	72	24
197	S	082	05	27
198	1	002	71	32
198	S	034	71	32
199	1	001	74	32
199	M	211	02	24
199	S	195	05	19
199	S	166	13	19
199	S	015	05	35
199	M	226	72	24
199	S	002	71	32
200	M	211	10	18
200	M	190	10	18
200	1	353	09	18
200	S	164	09	26
201	1	202	02	24
201	1	233	02	24
201	M	405	53	24
201	M	064	02	24
