ID	1 - Subject of visual	2 - Event Initiator	3 - Alternative source credited?
160	279	09	N/A no other source
162	002	01	N/A no other source
162	007	01	N/A no other source
162	350	13	Iraqi State TV/ media
162	351	13	Iraqi State TV/ media
162	242	53	N/A no other source
162	288	13	N/A no other source
162	354	13	Iraqi State TV/ media
163	002	71	N/A no other source
163	007	71	N/A no other source
163	002	71	Al Jazeera
163	007	71	Al Jazeera
163	002	71	Abu Dhabi
163	007	71	Abu Dhabi
163	054	71	N/A no other source
163	054	71	Abu Dhabi
165	039	01	US reporter from other media source
166	053	71	N/A no other source
166	002	71	N/A no other source
166	007	71	N/A no other source
166	241	53	N/A no other source
167	002	71	Abu Dhabi
167	007	71	Abu Dhabi
167	002	71	N/A no other source
167	007	71	N/A no other source
167	350	13	Iraqi State TV/ media
167	114	57	Iraqi State TV/ media
167	288	13	Iraqi State TV/ media
167	254	23	N/A no other source
167	040	23	N/A no other source
167	054	74	N/A no other source
167	372	52	N/A no other source
167	354	13	N/A no other source
168	006	74	N/A no other source
168	002	71	Abu Dhabi
168	007	71	Abu Dhabi
169	053	03	N/A no other source
169	038	03	N/A no other source
170	033	74	N/A no other source
170	002	71	N/A no other source
170	059	74	N/A no other source
170	059	07	N/A no other source
170	034	05	N/A no other source
170	110	23	N/A no other source
172	034	01	N/A no other source
173	241	53	N/A no other source
173	038	03	N/A no other source
173	053	03	N/A no other source
173	025	74	N/A no other source
173	135	24	UK Military/ Government
173	144	74	N/A no other source
173	026	03	N/A no other source
173	059	02	N/A no other source
173	062	03	UK Military/ Government
1	290	11	N/A no other source
1	278	11	N/A no other source
1	281	11	N/A no other source
3	300	09	N/A no other source
3	285	09	Other US media source
3	231	15	N/A no other source
3	279	09	N/A no other source
3	285	09	N/A no other source
3	039	55	Other US media source
5	231	11	N/A no other source
5	231	17	N/A no other source
6	372	52	N/A no other source
6	114	59	Iraqi State TV/ media
6	372	52	N/A no other source
6	062	05	N/A no other source
6	230	13	Iraqi State TV/ media
6	232	15	N/A no other source
8	281	11	N/A no other source
8	091	53	N/A no other source
8	094	53	N/A no other source
8	231	53	N/A no other source
8	300	53	N/A no other source
8	062	03	N/A no other source
8	038	22	N/A no other source
9	281	11	N/A no other source
9	095	53	N/A no other source
9	281	11	N/A no other source
10	038	03	N/A no other source
11	038	03	N/A no other source
11	078	03	N/A no other source
11	254	03	N/A no other source
12	091	53	Iraqi State TV/ media
12	091	53	N/A no other source
12	372	53	N/A no other source
12	091	53	Iraqi State TV/ media
12	040	05	N/A no other source
12	350	53	Iraqi State TV/ media
12	999	53	N/A no other source
12	354	05	Iraqi State TV/ media
15	280	11	N/A no other source
15	281	11	N/A no other source
15	281	11	N/A no other source
15	200	37	N/A no other source
15	278	11	N/A no other source
15	290	11	N/A no other source
16	300	09	N/A no other source
16	231	15	N/A no other source
16	279	09	N/A no other source
17	241	53	N/A no other source
18	040	05	N/A no other source
18	372	52	N/A no other source
18	371	52	N/A no other source
18	232	15	N/A no other source
19	038	03	N/A no other source
20	062	03	N/A no other source
20	053	71	N/A no other source
21	039	01	N/A no other source
22	231	15	N/A no other source
22	232	11	N/A no other source
22	999	75	N/A no other source
23	281	11	N/A no other source
23	112	53	N/A no other source
23	281	11	N/A no other source
23	278	11	N/A no other source
23	200	37	N/A no other source
23	290	11	N/A no other source
23	280	11	N/A no other source
24	231	11	N/A no other source
24	279	09	N/A no other source
26	038	03	N/A no other source
26	053	03	N/A no other source
27	350	03	Can’t determine
27	062	05	N/A no other source
27	372	52	N/A no other source
27	232	75	N/A no other source
27	231	15	N/A no other source
29	039	01	N/A no other source
29	053	01	N/A no other source
30	280	11	N/A no other source
32	281	53	N/A no other source
32	280	53	N/A no other source
33	254	36	N/A no other source
33	200	37	N/A no other source
33	095	53	N/A no other source
33	999	75	N/A no other source
34	200	37	N/A no other source
34	205	43	N/A no other source
34	281	11	N/A no other source
34	280	11	N/A no other source
34	242	53	N/A no other source
34	290	11	N/A no other source
35	351	13	Iraqi State TV/ media
35	288	13	Iraqi State TV/ media
35	231	15	N/A no other source
36	241	53	N/A no other source
36	363	52	N/A no other source
36	289	07	N/A no other source
36	059	07	N/A no other source
37	241	53	N/A no other source
37	038	03	N/A no other source
37	037	04	N/A no other source
38	284	09	N/A no other source
38	286	09	N/A no other source
38	321	49	N/A no other source
38	279	09	N/A no other source
38	039	22	N/A no other source
38	091	53	N/A no other source
38	300	09	N/A no other source
38	285	09	N/A no other source
174	038	03	N/A no other source
174	078	03	N/A no other source
39	241	53	N/A no other source
39	999	75	N/A no other source
42	240	53	N/A no other source
43	203	41	N/A no other source
44	242	53	N/A no other source
44	091	53	N/A no other source
44	241	53	N/A no other source
44	062	53	N/A no other source
45	200	37	N/A no other source
46	363	52	N/A no other source
48	290	11	N/A no other source
48	281	11	N/A no other source
48	200	37	N/A no other source
48	280	11	N/A no other source
49	242	53	N/A no other source
50	280	11	N/A no other source
51	287	75	N/A no other source
51	300	09	N/A no other source
51	286	09	N/A no other source
52	280	11	N/A no other source
54	039	01	N/A no other source
54	062	01	N/A no other source
56	232	17	N/A no other source
56	372	52	N/A no other source
56	351	13	Iraqi State TV/ media
56	288	13	N/A no other source
56	231	15	N/A no other source
57	280	11	N/A no other source
59	280	11	N/A no other source
61	242	11	N/A no other source
63	372	52	N/A no other source
63	204	37	N/A no other source
63	288	13	N/A no other source
64	372	52	N/A no other source
65	038	03	N/A no other source
65	037	04	N/A no other source
65	049	03	N/A no other source
65	312	03	N/A no other source
66	039	01	N/A no other source
66	062	01	N/A no other source
68	076	01	N/A no other source
69	285	09	N/A no other source
69	279	09	N/A no other source
69	231	15	N/A no other source
69	113	55	Other US media source
70	200	37	N/A no other source
71	200	37	N/A no other source
72	321	53	N/A no other source
73	095	53	N/A no other source
74	063	03	N/A no other source
74	200	37	N/A no other source
74	280	03	N/A no other source
74	290	11	N/A no other source
74	232	17	N/A no other source
75	039	01	N/A no other source
75	242	53	N/A no other source
75	279	09	N/A no other source
75	372	52	N/A no other source
75	231	15	N/A no other source
75	999	75	N/A no other source
77	242	53	N/A no other source
77	041	71	N/A no other source
77	241	53	N/A no other source
77	040	05	N/A no other source
77	063	05	N/A no other source
78	288	13	Iraqi State TV/ media
79	242	53	N/A no other source
79	288	13	Al Jazeera
79	115	59	Al Jazeera
79	243	59	Al Jazeera
79	059	07	Iraqi State TV/ media
79	300	57	Iraqi State TV/ media
79	354	57	Iraqi State TV/ media
80	038	03	N/A no other source
80	037	04	N/A no other source
80	049	03	N/A no other source
80	039	01	N/A no other source
80	341	66	N/A no other source
80	076	01	N/A no other source
80	062	71	N/A no other source
80	053	71	N/A no other source
81	053	03	UK Military/ Government
83	288	13	N/A no other source
83	372	52	N/A no other source
83	010	05	N/A no other source
84	063	71	N/A no other source
85	091	53	N/A no other source
85	002	03	N/A no other source
85	241	53	N/A no other source
86	200	37	N/A no other source
86	280	11	N/A no other source
86	281	11	N/A no other source
86	290	11	N/A no other source
88	241	53	N/A no other source
88	365	19	N/A no other source
88	253	32	N/A no other source
88	053	71	N/A no other source
88	400	32	N/A no other source
89	999	75	N/A no other source
89	112	53	N/A no other source
90	400	32	N/A no other source
90	115	59	Al Jazeera
90	116	63	N/A no other source
90	075	03	N/A no other source
92	372	52	N/A no other source
93	054	71	N/A no other source
94	024	01	N/A no other source
95	400	20	N/A no other source
95	049	03	N/A no other source
95	032	03	N/A no other source
95	038	03	N/A no other source
95	054	05	N/A no other source
95	111	53	N/A no other source
97	010	53	N/A no other source
97	002	71	N/A no other source
97	007	71	N/A no other source
97	008	05	N/A no other source
97	054	71	N/A no other source
97	114	58	Iraqi State TV/ media
97	351	13	Iraqi State TV/ media
97	288	13	N/A no other source
97	116	63	N/A no other source
97	204	48	N/A no other source
97	288	13	N/A no other source
