ID	Subject of visual	Visuals of particular interest
1	281	Visual of Clare Short walking one way, suddenly realising she is going the wrong way, then turning around and walking in the other direction.
9	281	Another instance of using odd footage of Clare Short. Footage is from a staged event (with Robin Cook) but with a behind-the-scenes element where she looks somewhat confused and out-of-place.
15	281	Same footage of Clare Short "doing a U-turn" (reference made in this report) as she heads one way, realises she's going in the wrong direction, and turns around and laughingly sets off the other way.
23	281	Again, Clare Short's sidewalk change of direction, this time with a mocking (but not malicious) commentary by Andrew Marr - "in, out, what's it all about?" - to emphasise her apparent confusion and indecision.
33	999	Footage of Scottish town and its citizens for a 'UK public opinion on the war' story.
38	321	"Terrorism: other" used for images of US security officers patrolling and searching as part of a heightened national terror alert.
38	91	Footage from previous Gulf War is of flooded and burning oil wells.
39	999	"999" for British and American nationals departing Iraq and some neighbouring countries.
43	203	Three separate "anti-war protest in other locale" codes for visuals of three different protests in Australia, Denmark and the Philippines.
44	91	Library footage of past Gulf War includes images of civilian casualties and visuals emphasising precision bombing (including bomb slides).
65	312	"WMD other" for UK decontamination buggies being tested.
72	321	"Terrorism: other" for mundane visuals relating to Foreign Office advice / warnings of a heightened terror alert.
75	999	Burning oil fields, origin unknown.
79	59	"Battle: other" for foreign Arab militia training, waving guns and chanting for Saddam.
85	91	Devastation caused by US bombing of Chinese embassy and media outlets during Kosovo conflict.
88	365	"Humanitarian: other" for building of refugee camps.
89	999	"999" for UK vox-pops (in Newcastle)
95	111	Alex Thompson does his piece-to-camera wearing an NBC mask.
100	999	Burning oil fields, origin unknown
100	999	US civilians in US city watching Bush deliver address on enormous screen.
103	200	Some images of hostile protestors and a policeman with blood on his face, but shot not very long and does not characterise the story greatly.
106	999	"999" for televised addresses by Australian and Japanese Prime Ministers.
106	312	"WMD: other" for Israeli children carrying gas masks to school.
109	999	"999" for British Muslims going about their business. Previous code - Domestic: other UK interest group - for Muslim community representatives who are not necessarily religious leaders.
115	7	Some Baghdad bombing visuals filmed with a videophone.
120	111	Reporter, Ben Brown, wears gas mask as he delivers report. (Very, very similar to Alex Thompson's report, and apparently from the same location - same commander interviewed.)
136	51	Flag raising in Umm Qasr - still.
145	39	Photo still of flag-raising at Umm Qasr
151	59	Blazing oil wells
155	59	"Oil installations already smoking on the horizon."
158	34	Visual of NBC reporter atop a US armoured vehicle, driving through the desert en route to Baghdad. Trevor McDonald dubs these images "some of the most compelling" of the war thus far.
170	59	Reporter says visual of smokey skyline could be caused by burning oil wells, but can't verify it.
170	59	Kurdish soldiers: focus on / daily life
172	34	Convoy of armoured vehicles "charging through the desert"
173	59	US Marines raise stars and stripes in Umm Qasr (still photo)
180	999	"999" for daily life of the citizens of Catterick, England.
184	62	Footage taken during interview via videophone
190	200	Protestors inflate balloons in a bid to disrupt MoD intelligence operations.
192	112	Footage of killed ITV reporter Terry Lloyd. In one shot he and other journalists are wearing gas masks.
194	59	Burning oil fields.
195	2	Up to now, visuals coded as "002-air attack" have not actually shown the plane in mid-air dropping bombs. Usually they've been explosions (mostly in Baghdad) caused by air attack. This visual IS of a plane dropping / firing bombs.
197	10	Baghdad covered in thick layer of black smoke caused by Iraqis burning oil trenches around the city.
201	91	Footage from 1991 Gulf War and from Afghanistan. The latter shows slides of a US air attack which killed Canadian soldiers. The pilot and someone else can be heard discussing whether or not "bombs away" was a good idea.
205	59	Burning oil fields. Coalition claims that Saddam would sabotage oil wells is a major part of the story and contributes heavily to its overall somewhat anti-coalition tone.
205	152	Coalition troops attend to a "seriously wounded" Iraqi soldier (face not shown).
209	2	Visuals of actual air attacks - plane and helicopter firing upon enemy.
209	149	Visuals relating to Iraqi troop casualties contains one shot focusing on a white flag to emphasise that some of those bombed didn't want to fight.
209	2	Visuals of air attack on Baghdad from the POV of the coalition jets over the city.
216	59	Kurdish forces refusing journalist entry to an airport. Also Kurdish forces: focus on/daily life.
220	999	US stock market
221	95	Footage of Guantanamo POWs.
236	59	Soldiers and/or civilians searching for coalition pilot(s) after claims of a downed aircraft.
244	59	Burning trenches
248	2	Air attack visuals filmed from the air, aboard a US bomber.
250	365	"Humanitarian: other" for Red Cross spokesman.
263	63	Medium close-up of Iraqi landmines.
263		
263	59	UK soldiers searching waters off Umm Qasr for mines.
266	91	Library footage of Republican Guard training.
290	283	Iraqi students in the UK (anti-Saddam exiles).
291	59	Burning oil trenches lit by Iraq to create smokescreen around Baghdad.
298	999	Welsh residents going about their daily business.
309	356	Saddam's sons depicted with slow motion visuals - a technique usually used to connote evil.
328	59	"Battle: other" for Kurdish forces
335	999	Sites of US civil war, monuments and other areas surrounding Camp David.
339	59	Kurdish soldiers marching and patrolling.
340	24	One shot depicts an American artillery vehicle malfunctioning, exploding after trying to fire towards Iraqi targets.
341	172	Wounded US soldiers in Germany hold press conference describing their ordeal.
346	232	"Diplomacy: other" for Jacques Chirac.
346	999	Brief shot of French woman smoking cigarette in café: stereotypically French, unsure if meant to carry anti-French connotations.
347	999	NHS
351	59	US soldiers parachuting into Northern Iraq.
353	2	Air attack visual taken from adjacent jet - not an incoming fire visual.
357	59	Missile launcher misfires, sending US soldiers scurrying away.
358	365	Iraqis trying to deliver flour to Basra.
369	59	US paratroopers parachuting into northern Iraq.
370	59	Tank/missile launcher malfunctions, causing explosion and minor injuries to US soldiers, shown fleeing the burning machinery.
372	110	Reporter(s) not actually under fire, but fleeing after hearing ack ack gunfire/coalition bombing raids.
375	365	UK medical worker treating Iraqi civilians.
375	59	Removal of mines.
378	181	A lot of crying, angry and hysterical Iraqis shown in this report
378	144	A lot of wounded Iraqi civilians depicted, several of them young children.
379	55	Iraqi militia allegedly firing upon civilians.
384	53	Shot of Bush's helicopter taking off. Obviously not a battle-related visual…
411	78	CIA building and interior
386	999	Public meeting in Cairo to discuss/condemn the war.
387	360	Includes army nurse treating an Iraqi child under the relieved and tearful gaze of the child's parents.
389	182	Funeral service for killed UK marines.
393	59	Logistics/supplies
403	999	UK vox-pops in varied locations and situations.
416	202	Protestors burn an effigy of George Bush.
417	50	Iraqi gas masks found (and worn) by Kurdish forces. Not coded as WMD visual because 'evidence' angle not exploited.
419	254	Funeral service on aircraft carrier for UK dead.
