102119;2001-10-17;European Communities (Amendment) Bill
102120;2001-10-23;Ministerial Conduct (DTLR)
102121;2001-10-23;Ministerial Conduct (DTLR)
102122;2001-10-24;Relationships (Civil Registration)
102123;2001-10-24;Sex Discrimination (Election Candidates) Bill
102124;2001-10-25;Student Finance
102125;2001-10-25;Social Security
102126;2001-10-29;Adoption and Children Bill
102127;2001-10-30;Proceeds of Crime Bill
102128;2001-10-31;Election Fraud (Northern Ireland) Bill
102129;2001-11-01;Coalition Against International Terrorism
102130;2001-11-06;Education and Lifelong Learning
102131;2001-11-06;Education and Lifelong Learning
102132;2001-11-08;Export Control Bill
102133;2001-11-08;Export Control Bill
102134;2001-11-12;Animal Health Bill
102135;2001-11-12;Animal Health Bill
102136;2001-11-12;Animal Health Bill
102137;2001-11-12;Animal Health Bill
102138;2001-11-13;Railtrack
102139;2001-11-13;Railtrack
102140;2001-11-13;Stakeholder Pensions
102141;2001-11-13;Stakeholder Pensions
102142;2001-11-14;Deferred Divisions
102143;2001-11-14;Football (Disorder) (Amendment) Bill
102144;2001-11-14;Football (Disorder) (Amendment) Bill
102145;2001-11-15;City of London (Ward Elections) Bill
102146;2001-11-19;Anti-terrorism, Crime and Security Bill
102147;2001-11-19;Anti-terrorism, Crime and Security Bill
102148;2001-11-20;National Health Service Reform and Health Care Professions Bill
102149;2001-11-20;National Health Service Reform and Health Care Professions Bill
102150;2001-11-20;National Health Service Reform and Health Care Professions Bill
102151;2001-11-21;Deferred Divisions
102152;2001-11-21;Anti-terrorism, Crime and Security Bill (Programme) (No. 2)
102153;2001-11-21;Anti-terrorism, Crime and Security Bill
102154;2001-11-21;Anti-terrorism, Crime and Security Bill
102155;2001-11-21;Anti-terrorism, Crime and Security Bill
102156;2001-11-21;Anti-terrorism, Crime and Security Bill
102157;2001-11-21;Anti-terrorism, Crime and Security Bill
102158;2001-11-21;Anti-terrorism, Crime and Security Bill
102159;2001-11-21;Anti-terrorism, Crime and Security Bill
102160;2001-11-21;Anti-terrorism, Crime and Security Bill
102161;2001-11-26;Anti-terrorism, Crime and Security Bill
102162;2001-11-26;Anti-terrorism, Crime and Security Bill
102163;2001-11-26;Anti-terrorism, Crime and Security Bill
102164;2001-11-26;Anti-terrorism, Crime and Security Bill
102165;2001-11-26;Anti-terrorism, Crime and Security Bill
102166;2001-11-26;Anti-terrorism, Crime and Security Bill
102167;2001-11-26;Anti-terrorism, Crime and Security Bill
102168;2001-11-27;Employment Bill
102169;2001-11-27;Employment Bill
102170;2001-11-27;Employment Bill
102171;2001-11-28;Civil Defence (Grant) Bill
102172;2001-11-28;Civil Defence (Grant) Bill
102173;2001-11-28;Civil Defence (Grant) Bill
102174;2001-11-29;Allocation of Time
102175;2001-11-29;Human Reproductive Cloning Bill[Lords]
102176;2001-12-03;Dissemination of Information
102177;2001-12-03;Dissemination of Information
102178;2001-12-03;Public Services
102179;2001-12-03;Public Services
102180;2001-12-04;Education Bill
102181;2001-12-04;Education Bill
102182;2001-12-04;Education Bill
102183;2001-12-04;Education Bill
102184;2001-12-05;Business of the House
102185;2001-12-10;Tax Credits Bill
102186;2001-12-12;Deferred Divisions
102187;2001-12-12;Anti-terrorism, Crime and Security Bill (Programme No. 3)
102188;2001-12-12;Anti-terrorism, Crime and Security Bill
102189;2001-12-12;Anti-terrorism, Crime and Security Bill
102190;2001-12-12;Anti-terrorism, Crime and Security Bill
102191;2001-12-12;Anti-terrorism, Crime and Security Bill
102192;2001-12-13;Animal Health Bill
102193;2001-12-13;Animal Health Bill
102194;2001-12-13;Animal Health Bill
102195;2001-12-13;Anti-terrorism, Crime and Security Bill
102196;2001-12-17;Northern Ireland Arms Decommissioning (Amendment) Bill
102197;2001-12-17;Northern Ireland Arms Decommissioning (Amendment) Bill
102198;2001-12-18;Facilities of the House
102199;2001-12-18;Facilities of the House
102200;2001-12-18;Facilities of the House
102201;2001-12-18;Facilities of the House
102202;2001-12-18;Facilities of the House
102203;2001-12-19;Treason Felony, Act of Settlement and Parliamentary Oath
102204;2002-01-08;Commonhold and Leasehold Reform Bill [Lords]Order for Second Reading read.
102205;2002-01-09;Northern Ireland Arms Decommissioning (Amendment) Bill
102206;2002-01-09;Northern Ireland Arms Decommissioning (Amendment) Bill
102207;2002-01-09;Northern Ireland Arms Decommissioning (Amendment) Bill
102208;2002-01-11;Pension Annuities (Amendment) Bill
102209;2002-01-11;Pension Annuities (Amendment) Bill
102210;2002-01-14;Office of Communications Bill [Lords] (Programme)
102211;2002-01-15;National Health Service Reform and Health Care Professions Bill
102212;2002-01-15;National Health Service Reform and Health Care Professions Bill
102213;2002-01-15;National Health Service Reform and Health Care Professions Bill
102214;2002-01-15;National Health Service Reform and Health Care Professions Bill
102215;2002-01-16;Railways
102216;2002-01-16;Care System
102217;2002-01-16;Care System
102218;2002-01-21;Justice (Northern Ireland) Bill
102219;2002-01-21;Justice (Northern Ireland) Bill
102220;2002-01-22;Public Services
102221;2002-01-22;Public Services
102222;2002-01-23;Identity Card
102223;2002-01-28;Civil Defence (Grant) Bill
102225;2002-01-28;Civil Defence (Grant) Bill
102226;2002-01-28;Civil Defence (Grant) Bill
102228;2002-01-28;City of London (Ward Elections) Bill
102229;2002-01-28;City of London (Ward Elections) Bill
102232;2002-01-29;Post Office
102234;2002-01-29;Post Office
102235;2002-01-30;Local Government Finance
102236;2002-01-31;Travel Concessions (Eligibility) Bill [Lords]
102237;2002-02-04;Asylum Seekers
102238;2002-02-04;Pensions and Benefits
102239;2002-02-04;Pensions and Benefits
102240;2002-02-05;Education Bill
102241;2002-02-05;Education Bill
102242;2002-02-05;Education Bill
102243;2002-02-06;Education Bill
102244;2002-02-06;Education Bill
102245;2002-02-06;Education Bill
102246;2002-02-06;Education Bill
102247;2002-02-06;Education Bill
102248;2002-02-06;Education Bill
102249;2002-02-07;Tax Credits Bill
102250;2002-02-07;Tax Credits Bill
102251;2002-02-07;Tax Credits Bill
102252;2002-02-12;Employment Bill
102253;2002-02-12;Employment Bill
102254;2002-02-25;Homelessness Bill
102255;2002-02-26;Proceeds of Crime Bill
102256;2002-02-26;Proceeds of Crime Bill
102257;2002-02-26;Proceeds of Crime Bill
102258;2002-02-27;Proceeds of Crime Bill
102259;2002-02-27;Proceeds of Crime Bill
102260;2002-02-27;Proceeds of Crime Bill
102261;2002-03-04;Justice (Northern Ireland) Bill
102262;2002-03-04;Justice (Northern Ireland) Bill
102263;2002-03-04;Justice (Northern Ireland) Bill
102264;2002-03-04;Justice (Northern Ireland) Bill
102265;2002-03-04;Justice (Northern Ireland) Bill
102266;2002-03-05;Steel Industry
102267;2002-03-05;Steel Industry
102268;2002-03-05;Nuclear Power
102269;2002-03-05;Nuclear Power
102270;2002-03-06;Office of Communications Bill [Lords]
102271;2002-03-06;Office of Communications Bill [Lords]
102272;2002-03-06;Office of Communications Bill [Lords]
102273;2002-03-11;Commonhold and Leasehold Reform Bill [Lords]
102274;2002-03-11;Commonhold and Leasehold Reform Bill [Lords]
102275;2002-03-11;Commonhold and Leasehold Reform Bill [Lords]
102276;2002-03-11;Commonhold and Leasehold Reform Bill [Lords]
102277;2002-03-12;London and the South-East
102278;2002-03-12;London and the South-East
102279;2002-03-13;Commonhold and Leasehold Reform Bill [Lords]
102280;2002-03-13;Commonhold and Leasehold Reform Bill [Lords]
102281;2002-03-13;Commonhold and Leasehold Reform Bill [Lords]
102282;2002-03-13;Commonhold and Leasehold Reform Bill [Lords]
102283;2002-03-18;Hunting With Dogs
102284;2002-03-18;Hunting With Dogs
102285;2002-03-18;Hunting With Dogs
102286;2002-03-19;Education and Skills Training
102287;2002-03-19;Education and Skills Training
102288;2002-03-25;State Pension Credit Bill [Lords]
102289;2002-03-25;State Pension Credit Bill [Lords]
102290;2002-04-10;Enterprise Bill
102291;2002-04-12;Pensions Annuities (Amendment) Bill
102292;2002-04-12;Pensions Annuities (Amendment) Bill
102293;2002-04-15;Electoral Fraud (Northern Ireland) Bill (Programme)
102294;2002-04-15;City of London (Ward Elections) Bill
102295;2002-04-15;City of London (Ward Elections) Bill
102296;2002-04-15;City of London (Ward Elections) Bill
102297;2002-04-16;Selective Schools (Transitional Arrangements)
102298;2002-04-19;Industrial and Provident Societies Bill
102299;2002-04-23;Budget Resolutions and Economic Situation
102300;2002-04-23;Budget Resolutions and Economic Situation
102301;2002-04-23;Budget Resolutions and Economic Situation
102302;2002-04-23;Budget Resolutions and Economic Situation
102303;2002-04-23;Budget Resolutions and Economic Situation
102304;2002-04-23;Budget Resolutions and Economic Situation
102305;2002-04-24;Nationality, Immigration and Asylum Bill
102306;2002-04-29;Tobacco Advertising and Promotion Bill [Lords]
102307;2002-04-29;Tobacco Advertising and Promotion Bill [Lords]
102308;2002-04-30;Finance Bill
102309;2002-04-30;Finance Bill
102310;2002-05-01;Ways and Means
102311;2002-05-07;Police Reform Bill [Lords]
102312;2002-05-08;Finance Bill
102313;2002-05-08;Finance Bill
102314;2002-05-08;Finance Bill
102315;2002-05-09;Finance Bill
102316;2002-05-09;Finance Bill
102317;2002-05-09;Finance Bill
102318;2002-05-09;Finance Bill
102319;2002-05-09;Finance Bill
102320;2002-05-10;Home Energy Conservation Bill
102321;2002-05-13;National Insurance Contributions Bill
102322;2002-05-14;Modernisation of the House of Commons [Relevant document: The Second Report from the Liaison Committee, HC 692, Session 2001‹02, on Select Committees: Modernisation Proposals.]
102323;2002-05-14;Modernisation of the House of Commons [Relevant document: The Second Report from the Liaison Committee, HC 692, Session 2001‹02, on Select Committees: Modernisation Proposals.]
102324;2002-05-14;Modernisation of the House of Commons [Relevant document: The Second Report from the Liaison Committee, HC 692, Session 2001‹02, on Select Committees: Modernisation Proposals.]
102325;2002-05-14;Modernisation of the House of Commons [Relevant document: The Second Report from the Liaison Committee, HC 692, Session 2001‹02, on Select Committees: Modernisation Proposals.]
102326;2002-05-14;Modernisation of the House of Commons [Relevant document: The Second Report from the Liaison Committee, HC 692, Session 2001‹02, on Select Committees: Modernisation Proposals.]
102327;2002-05-15;Post Office Closures
102328;2002-05-15;Johannesburg Summit
102329;2002-05-16;Adoption and Children Bill
102330;2002-05-16;Adoption and Children Bill
